name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
The Black Olive Pizzeria,15 W. Broad Street,Richmond,VA,23220,USA,food,pizzeria,pizzeria,Pizzeria; listed as a Black-owned downtown Richmond restaurant.,https://venturerichmond.com/listing/the-black-olive-pizzeria/,,,,,https://venturerichmond.com/news/post/xx-black-businesses-and-events-in-downtown-richmond/,Venture Richmond,Black-owned,https://venturerichmond.com/news/post/xx-black-businesses-and-events-in-downtown-richmond/,false,"Source basis: Venture Richmond official tourism guide dated Feb. 2, 2026 explicitly labels these businesses Black-owned and supplies public street addresses/categories; current public destination confirmed via linked Venture Richmond listing page. Not Kinfolk verified."
Jamaica House,416 W. Broad Street,Richmond,VA,23220,USA,food,Caribbean restaurant,Caribbean restaurant,Jamaican restaurant; listed as a Black-owned downtown Richmond restaurant.,https://venturerichmond.com/listing/jamaica-house-restaurant/,,,,,https://venturerichmond.com/news/post/xx-black-businesses-and-events-in-downtown-richmond/,Venture Richmond,Black-owned,https://venturerichmond.com/news/post/xx-black-businesses-and-events-in-downtown-richmond/,false,"Source basis: Venture Richmond official tourism guide dated Feb. 2, 2026 explicitly labels these businesses Black-owned and supplies public street addresses/categories; current public destination confirmed via linked Venture Richmond listing page. Not Kinfolk verified."
Le Cache Dulcet,109 E. Broad Street,Richmond,VA,23219,USA,food,bakery/dessert,bakery dessert,Restaurant/dessert business; listed as a Black-owned downtown Richmond restaurant.,https://venturerichmond.com/listing/le-cache-dulcet/,,,,,https://venturerichmond.com/news/post/xx-black-businesses-and-events-in-downtown-richmond/,Venture Richmond,Black-owned,https://venturerichmond.com/news/post/xx-black-businesses-and-events-in-downtown-richmond/,false,"Source basis: Venture Richmond official tourism guide dated Feb. 2, 2026 explicitly labels these businesses Black-owned and supplies public street addresses/categories; current public destination confirmed via linked Venture Richmond listing page. Not Kinfolk verified."
The Riviere,506 W. Broad Street,Richmond,VA,23220,USA,food,restaurant,restaurant,Restaurant; listed as a Black-owned downtown Richmond restaurant.,https://venturerichmond.com/listing/the-riviere/,,,,,https://venturerichmond.com/news/post/xx-black-businesses-and-events-in-downtown-richmond/,Venture Richmond,Black-owned,https://venturerichmond.com/news/post/xx-black-businesses-and-events-in-downtown-richmond/,false,"Source basis: Venture Richmond official tourism guide dated Feb. 2, 2026 explicitly labels these businesses Black-owned and supplies public street addresses/categories; current public destination confirmed via linked Venture Richmond listing page. Not Kinfolk verified."
Sweet P's,304 W. Broad Street,Richmond,VA,23220,USA,food,restaurant,restaurant,Restaurant; listed as a Black-owned downtown Richmond restaurant.,https://venturerichmond.com/listing/sweet-ps-rva/,,,,,https://venturerichmond.com/news/post/xx-black-businesses-and-events-in-downtown-richmond/,Venture Richmond,Black-owned,https://venturerichmond.com/news/post/xx-black-businesses-and-events-in-downtown-richmond/,false,"Source basis: Venture Richmond official tourism guide dated Feb. 2, 2026 explicitly labels these businesses Black-owned and supplies public street addresses/categories; current public destination confirmed via linked Venture Richmond listing page. Not Kinfolk verified."
Urban Hang Suite,304 E. Broad Street,Richmond,VA,23219,USA,food,coffee shop,coffee shop,Coffee shop; listed as a Black-owned downtown Richmond restaurant.,https://venturerichmond.com/listing/urban-hang-suite/,,,,,https://venturerichmond.com/news/post/xx-black-businesses-and-events-in-downtown-richmond/,Venture Richmond,Black-owned,https://venturerichmond.com/news/post/xx-black-businesses-and-events-in-downtown-richmond/,false,"Source basis: Venture Richmond official tourism guide dated Feb. 2, 2026 explicitly labels these businesses Black-owned and supplies public street addresses/categories; current public destination confirmed via linked Venture Richmond listing page. Not Kinfolk verified."
Barky’s,18 E. Broad Street,Richmond,VA,23219,USA,retail,spiritual store,spiritual store,Spiritual store; listed as a Black-owned downtown Richmond shopping business.,https://venturerichmond.com/listing/barky%e2%80%99s-spiritual-store/,,,,,https://venturerichmond.com/news/post/xx-black-businesses-and-events-in-downtown-richmond/,Venture Richmond,Black-owned,https://venturerichmond.com/news/post/xx-black-businesses-and-events-in-downtown-richmond/,false,"Source basis: Venture Richmond official tourism guide dated Feb. 2, 2026 explicitly labels these businesses Black-owned and supplies public street addresses/categories; current public destination confirmed via linked Venture Richmond listing page. Not Kinfolk verified."
Haqq's Drawer,11 E. Broad Street,Richmond,VA,23219,USA,retail,specialty retail,specialty retail,Specialty shop; listed as a Black-owned downtown Richmond shopping business.,https://venturerichmond.com/listing/haqqs-drawer/,,,,,https://venturerichmond.com/news/post/xx-black-businesses-and-events-in-downtown-richmond/,Venture Richmond,Black-owned,https://venturerichmond.com/news/post/xx-black-businesses-and-events-in-downtown-richmond/,false,"Source basis: Venture Richmond official tourism guide dated Feb. 2, 2026 explicitly labels these businesses Black-owned and supplies public street addresses/categories; current public destination confirmed via linked Venture Richmond listing page. Not Kinfolk verified."
Natroganix,105 E. Broad Street,Richmond,VA,23219,USA,retail,natural products,natural products,Natural products shop; listed as a Black-owned downtown Richmond shopping business.,https://venturerichmond.com/listing/natroganix/,,,,,https://venturerichmond.com/news/post/xx-black-businesses-and-events-in-downtown-richmond/,Venture Richmond,Black-owned,https://venturerichmond.com/news/post/xx-black-businesses-and-events-in-downtown-richmond/,false,"Source basis: Venture Richmond official tourism guide dated Feb. 2, 2026 explicitly labels these businesses Black-owned and supplies public street addresses/categories; current public destination confirmed via linked Venture Richmond listing page. Not Kinfolk verified."
Scoreboard Collectibles,312 Brook Road,Richmond,VA,23220,USA,retail,collectibles,collectibles,Collectibles shop; listed as a Black-owned downtown Richmond shopping business.,https://venturerichmond.com/listing/scoreboard-collectibles/,,,,,https://venturerichmond.com/news/post/xx-black-businesses-and-events-in-downtown-richmond/,Venture Richmond,Black-owned,https://venturerichmond.com/news/post/xx-black-businesses-and-events-in-downtown-richmond/,false,"Source basis: Venture Richmond official tourism guide dated Feb. 2, 2026 explicitly labels these businesses Black-owned and supplies public street addresses/categories; current public destination confirmed via linked Venture Richmond listing page. Not Kinfolk verified."
