name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
Hannibal's Kitchen,16 Blake St,Charleston,SC,29403,USA,food,restaurant,soul food seafood fried fish okra,Soul food restaurant serving the Charleston community.,https://hannibalkitchen.com/,843-722-2256,,,,https://hannibalkitchen.com/about/,Official business site,Black-owned,https://www.exploreblackcharleston.com/plan-your-trip/black-owned-charleston/,false,Official About page confirms current address and phone; current official website confirmed. Explore Black Charleston identifies it in its Black-Owned Charleston guide.
Nana's Seafood & Soul,8 Line St,Charleston,SC,29403,USA,food,restaurant,seafood soul food lowcountry cuisine,Seafood and soul food restaurant.,https://www.nanasseafood.com/,,,,,https://www.nanasseafood.com/,Official business site,Black-owned,https://www.exploreblackcharleston.com/plan-your-trip/black-owned-charleston/,false,Public current address and website documented by Charleston local reporting; official website destination confirmed. Ownership is explicitly documented in cited local source.
Tatum Dentistry,92 Courtenay Dr,Charleston,SC,29403,USA,dental,general dentistry,dentist dental exams cleanings restorative care,General dentistry practice.,https://www.drtatumsmiles.com/,843-577-6453,,,,https://www.drtatumsmiles.com/,Official business site,, ,true,Official site confirms public address and phone; current official website confirmed.
Olliver Lux Hair Society,48 Wentworth St,Charleston,SC,29401,USA,beauty,hair salon,hair salon natural hair styling hair care,Hair salon offering appointment-based hair services.,https://olliverluxhairsociety.com/,,,,,https://olliverluxhairsociety.com/,Official business site,, ,false,Official site confirms Charleston street address; current official website confirmed.
Lovejoy's Barber Shop,2176 Savannah Hwy Suite 121,Charleston,SC,29414,USA,beauty,barber,barber haircut grooming,Barber shop offering hair grooming services.,https://www.facebook.com/LovejoysBarbershop/,843-607-4758,,,,https://www.facebook.com/LovejoysBarbershop/,Official public Facebook profile,, ,false,Public Facebook business profile and local directory result confirm current address and phone; attributable public social destination confirmed.
International African American Museum,14 Wharfside St,Charleston,SC,29401,USA,culture,museum,African American history museum exhibits genealogy,Museum presenting African American history and culture.,https://iaamuseum.org/,843-872-5352,,,,https://iaamuseum.org/,Official museum site,, ,false,Official site confirms location and hours; current official website confirmed.
Charleston City Market,188 Meeting St,Charleston,SC,29401,USA,retail,market,local vendors crafts gifts food shopping,Historic public market with local vendors and retail stalls.,https://www.thecharlestoncitymarket.com/,,,,,https://www.thecharlestoncitymarket.com/,Official market site,, ,false,Official market site confirms public address and current operation; current official website confirmed.
The Charleston Museum,360 Meeting St,Charleston,SC,29403,USA,culture,museum,history museum exhibits education,Museum of Charleston history and culture.,https://www.charlestonmuseum.org/,843-722-2996,,,,https://www.charlestonmuseum.org/,Official museum site,, ,false,Official site confirms public address and phone; current official website confirmed.
Children's Museum of the Lowcountry,25 Ann Edwards Ln,Charleston,SC,29403,USA,child care/education,children's museum,children learning play family activities,Interactive children's museum with hands-on learning exhibits.,https://explorecml.org/,843-853-8962,,,,https://explorecml.org/,Official museum site,, ,true,Official site confirms Charleston address and phone; current official website confirmed. Regulated-profession flag set for child-focused educational service.
Charleston County Public Library Main Library,68 Calhoun St,Charleston,SC,29401,USA,faith/community,library,public library books literacy computers programs,"Public library branch providing books, technology, and community programs.",https://www.ccpl.org/locations/main-library,843-805-6801,,,,https://www.ccpl.org/locations/main-library,Official library site,, ,false,Official library site confirms address and phone; current official website confirmed.
