name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
AMG Hair Pro,2533 Eglinton Ave W.,Toronto,Ontario,,Canada,Beauty & Personal Care,Hair care,"hair care, salon",Hair care business.,https://thelittlejamaica.com/all-businesses-list/,647-907-7221,,,,https://thelittlejamaica.com/all-businesses-list/,The Little Jamaica All Businesses List,,,false,Source basis: current public Little Jamaica/BBPA business list with a street address; current official business website/social destination was not separately confirmed.
Aqua Salon and Spa,1504 Eglinton Ave W.,Toronto,Ontario,,Canada,Beauty & Personal Care,Salon and spa,"hair care, salon, spa",Salon and spa services.,https://thelittlejamaica.com/all-businesses-list/,647-300-3449,,,,https://thelittlejamaica.com/all-businesses-list/,The Little Jamaica All Businesses List,,,false,Source basis: current public Little Jamaica/BBPA business list with a street address; current official business website/social destination was not separately confirmed.
B and M Hair Studio,1567 Eglinton Ave W,Toronto,Ontario,,Canada,Beauty & Personal Care,Hair studio,"hair care, hair studio",Hair studio.,https://thelittlejamaica.com/all-businesses-list/,416-787-6024,,,,https://thelittlejamaica.com/all-businesses-list/,The Little Jamaica All Businesses List,,,false,Source basis: current public Little Jamaica/BBPA business list with a street address; current official business website/social destination was not separately confirmed.
Beni Boo Styles,2581 Eglinton Ave W,Toronto,Ontario,,Canada,Retail,Fashion,"fashion, clothing",Fashion retailer.,https://thelittlejamaica.com/all-businesses-list/,416-732-0902,,,,https://thelittlejamaica.com/all-businesses-list/,The Little Jamaica All Businesses List,,,false,Source basis: current public Little Jamaica/BBPA business list with a street address; current official business website/social destination was not separately confirmed.
Black Diamond Gallery and Business Centre,1944 Eglinton Ave W.,Toronto,Ontario,,Canada,Culture & Community,Gallery and business centre,"gallery, business centre",Gallery and business centre.,https://thelittlejamaica.com/all-businesses-list/,647-550-5739,,,,https://thelittlejamaica.com/all-businesses-list/,The Little Jamaica All Businesses List,,,false,Source basis: current public Little Jamaica/BBPA business list with a street address; current official business website/social destination was not separately confirmed.
Braiding Store,1666A Eglinton Ave W,Toronto,Ontario,,Canada,Beauty & Personal Care,Braiding,"braiding, hair care",Hair braiding store.,https://thelittlejamaica.com/all-businesses-list/,647-760-9975,,,,https://thelittlejamaica.com/all-businesses-list/,The Little Jamaica All Businesses List,,,false,Source basis: current public Little Jamaica/BBPA business list with a street address; current official business website/social destination was not separately confirmed.
Carib 21,2039 Eglinton Ave W,Toronto,Ontario,,Canada,Food & Drink,Restaurant,"Caribbean restaurant, food",Restaurant.,https://thelittlejamaica.com/all-businesses-list/,647-979-2121,,,,https://thelittlejamaica.com/all-businesses-list/,The Little Jamaica All Businesses List,,,false,Source basis: current public Little Jamaica/BBPA business list with a street address; current official business website/social destination was not separately confirmed.
Celebrity Pure Vegetarian,1474 Eglinton Ave W.,Toronto,Ontario,,Canada,Food & Drink,Restaurant,"vegetarian food, restaurant",Pure vegetarian restaurant.,https://thelittlejamaica.com/all-businesses-list/,416-247-8707,,,,https://thelittlejamaica.com/all-businesses-list/,The Little Jamaica All Businesses List,,,false,Source basis: current public Little Jamaica/BBPA business list with a street address; current official business website/social destination was not separately confirmed.
Chakula Tamu,1690 Eglinton Ave W,Toronto,Ontario,,Canada,Food & Drink,East African restaurant,"East African food, restaurant",East African food restaurant.,https://thelittlejamaica.com/all-businesses-list/,416-256-9595,,,,https://thelittlejamaica.com/all-businesses-list/,The Little Jamaica All Businesses List,,,false,Source basis: current public Little Jamaica/BBPA business list with a street address; current official business website/social destination was not separately confirmed.
Cultureshare Market,1672 Eglinton Ave W,Toronto,Ontario,,Canada,Food & Drink,Food market,"food market, groceries",Food market.,https://thelittlejamaica.com/all-businesses-list/,416-356-9526,,,,https://thelittlejamaica.com/all-businesses-list/,The Little Jamaica All Businesses List,,,false,Source basis: current public Little Jamaica/BBPA business list with a street address; current official business website/social destination was not separately confirmed.
DJ Records and Clothing,2508 Eglinton Ave W.,Toronto,Ontario,,Canada,Retail & Culture,Records and clothing,"records, clothing, music",Records and clothing retailer/cultural hub.,https://thelittlejamaica.com/all-businesses-list/,416-654-8336,,,,https://thelittlejamaica.com/all-businesses-list/,The Little Jamaica All Businesses List,,,false,Source basis: current public Little Jamaica/BBPA business list with a street address; current official business website/social destination was not separately confirmed.
Deliverance in Christ Ministries,1724 Eglinton Ave W.,Toronto,Ontario,,Canada,Faith & Community,Religious organization,"faith community, worship",Religious organization.,https://thelittlejamaica.com/all-businesses-list/,647-870-8093,,,,https://thelittlejamaica.com/all-businesses-list/,The Little Jamaica All Businesses List,,,false,Source basis: current public Little Jamaica/BBPA business list with a street address; current official business website/social destination was not separately confirmed.
Divine Hair Salon Supplies,1684 Eglinton Ave W,Toronto,Ontario,,Canada,Beauty & Personal Care,Hair supplies,"hair supplies, beauty supply",Hair salon supply retailer.,https://thelittlejamaica.com/all-businesses-list/,647-438-7503,,,,https://thelittlejamaica.com/all-businesses-list/,The Little Jamaica All Businesses List,,,false,Source basis: current public Little Jamaica/BBPA business list with a street address; current official business website/social destination was not separately confirmed.
