name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
Oakland Museum of California,1000 Oak St,Oakland,CA,94607,USA,culture,museum,art history california culture exhibitions,Museum of California art history and natural sciences.,https://museumca.org,,,,,https://museumca.org,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Museum of the African Diaspora Oakland programs,1000 Oak St,Oakland,CA,94607,USA,culture,African diaspora culture,African diaspora exhibitions programs,Oakland Museum presents African diaspora cultural programming.,https://museumca.org,,,,,https://museumca.org,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Oakland Public Library Main Library,125 14th St,Oakland,CA,94612,USA,faith/community,library,books research literacy events,"Public library with literacy, research and community programs.",https://oaklandlibrary.org,,,,,https://oaklandlibrary.org,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Oakland Public Library Elmhurst Branch,1427 88th Ave,Oakland,CA,94621,USA,faith/community,library,books literacy computer access,Oakland Public Library neighborhood branch.,https://oaklandlibrary.org,,,,,https://oaklandlibrary.org,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Oakland Public Library César E. Chávez Branch,3301 E 12th St Ste 271,Oakland,CA,94601,USA,faith/community,library,books Spanish literacy events,Public branch with multilingual library and community services.,https://oaklandlibrary.org,,,,,https://oaklandlibrary.org,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Allen Temple Baptist Church,8501 International Blvd,Oakland,CA,94621,USA,faith/community,Baptist church,worship food pantry community services,Baptist congregation with worship and community ministries.,https://www.allentemple.org,,,,,https://www.allentemple.org,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
First AME Church Oakland,3701 Telegraph Ave,Oakland,CA,94609,USA,faith/community,AME church,worship youth community programs,African Methodist Episcopal congregation with worship and community programs.,https://www.fameoakland.org,,,,,https://www.fameoakland.org,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Imani Community Church,3300 MacArthur Blvd,Oakland,CA,94602,USA,faith/community,church,worship food community services,Oakland church offering worship and community ministry.,https://imanichurch.org,,,,,https://imanichurch.org,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Islamic Cultural Center of Northern California,1433 Madison St,Oakland,CA,94612,USA,faith/community,mosque,prayer Quran classes community services,Mosque and Islamic community center.,https://www.iccnc.org,,,,,https://www.iccnc.org,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Oakland Hebrew Congregation,3015 Fulton St,Oakland,CA,94601,USA,faith/community,synagogue,worship education community,Oakland Jewish congregation and community.,https://www.oaklandhebrew.org,,,,,https://www.oaklandhebrew.org,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Everett & Jones Barbeque,1955 San Pablo Ave,Oakland,CA,94612,USA,food,barbecue restaurant,barbecue ribs brisket catering,Oakland barbecue restaurant and catering business.,https://www.everettandjonesbbq.com,,,,,https://www.everettandjonesbbq.com,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Horn Barbecue,1215 8th St,Oakland,CA,94607,USA,food,barbecue restaurant,barbecue smoked meats sides,West Oakland barbecue restaurant.,https://www.hornbarbecue.com,,,,,https://www.hornbarbecue.com,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Kowbird,2519 San Pablo Ave,Oakland,CA,94612,USA,food,fried chicken restaurant,fried chicken sandwiches sides catering,Oakland restaurant serving fried chicken and comfort food.,https://www.kowbird.com,,,,,https://www.kowbird.com,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Burdell,4640 Telegraph Ave,Oakland,CA,94609,USA,food,restaurant,soul food dinner brunch reservations,Oakland restaurant focused on soul food.,https://www.burdelloakland.com,,,,,https://www.burdelloakland.com,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Sobre Mesa,1618 Franklin St,Oakland,CA,94612,USA,food,restaurant and bar,Afro-Latin cocktails dinner small plates,Afro-Latin restaurant and cocktail bar.,https://www.sobremesaoakland.com,,,,,https://www.sobremesaoakland.com,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
AlaMar Kitchen & Bar,100 Grand Ave,Oakland,CA,94612,USA,food,restaurant,seafood burgers brunch cocktails,Oakland restaurant and bar.,https://www.alamaroakland.com,,,,,https://www.alamaroakland.com,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
The Cook and Her Farmer,1001 Broadway,Oakland,CA,94607,USA,food,cafe,breakfast lunch coffee catering,Oakland cafe and catering business.,https://www.thecookandherfarmer.com,,,,,https://www.thecookandherfarmer.com,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Fentons Creamery Oakland,4226 Piedmont Ave,Oakland,CA,94611,USA,food,ice cream,ice cream desserts sundaes,Oakland ice cream parlor.,https://www.fentonscreamery.com,,,,,https://www.fentonscreamery.com,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Café Reveille Oakland,2004 San Pablo Ave,Oakland,CA,94612,USA,food,cafe,coffee breakfast lunch pastries,Oakland coffee shop and cafe.,https://www.cafereveille.com,,,,,https://www.cafereveille.com,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
The Star Oakland,3421 Fruitvale Ave,Oakland,CA,94602,USA,food,pizza restaurant,pizza salads takeout catering,Oakland pizza restaurant.,https://www.thestarpizza.com,,,,,https://www.thestarpizza.com,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Abura-ya,380 15th St,Oakland,CA,94612,USA,food,Japanese restaurant,karaage fried chicken Japanese food takeout,Oakland Japanese fried chicken restaurant.,https://www.aburaya.com,,,,,https://www.aburaya.com,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Kingston 11 Cuisine,2270 Telegraph Ave,Oakland,CA,94612,USA,food,Caribbean restaurant,Jamaican Caribbean dinner catering,Caribbean restaurant in Oakland.,https://www.kingston11cuisine.com,,,,,https://www.kingston11cuisine.com,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Oaklandish,2869 Broadway,Oakland,CA,94612,USA,retail,local goods,Oakland apparel gifts books accessories,Oakland-themed apparel and gift retailer.,https://www.oaklandish.com,,,,,https://www.oaklandish.com,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Oaklandish Fruitvale,3411 Fruitvale Ave,Oakland,CA,94602,USA,retail,local goods,Oakland apparel gifts accessories,Oaklandish neighborhood retail location.,https://www.oaklandish.com,,,,,https://www.oaklandish.com,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Marcus Books Oakland,3900 Martin Luther King Jr Way,Oakland,CA,94609,USA,retail,bookstore,Black literature books authors events,Independent bookstore specializing in Black literature and culture.,https://www.marcusbookstores.com,,,,,https://www.marcusbookstores.com,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Umami Mart,815 Broadway,Oakland,CA,94607,USA,retail,kitchen and lifestyle shop,Japanese kitchenware pantry gifts,Oakland kitchen and lifestyle retailer.,https://umamimart.com,,,,,https://umamimart.com,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
The Plant Exchange,2101 5th Ave,Oakland,CA,94606,USA,retail,plant shop,houseplants pots gardening supplies,Oakland plant shop and gardening retailer.,https://www.theplantexchange.com,,,,,https://www.theplantexchange.com,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Oakland Flower Market,1030 22nd Ave,Oakland,CA,94606,USA,retail,florist,flowers bouquets plants delivery,Oakland florist and flower market.,https://www.oaklandflowermarket.com,,,,,https://www.oaklandflowermarket.com,Official website,,,false,Source basis: official organization/business website and public address; current official destination confirmed.
Lake Merritt Optometry,333 17th St,Oakland,CA,94612,USA,health,optometry,eye exams glasses contact lenses,Optometry practice serving Oakland patients.,https://www.lakemerrittoptometry.com,,,,,https://www.lakemerrittoptometry.com,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
Roots Community Health Center East Oakland,9925 International Blvd,Oakland,CA,94603,USA,health,community health center,primary care behavioral health health navigation,Community health center providing primary and behavioral health services.,https://rootsclinic.org,,,,,https://rootsclinic.org,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
LifeLong East Oakland Health Center,10700 MacArthur Blvd,Oakland,CA,94605,USA,health,community health center,primary care pediatrics behavioral health,Community health center with primary care and pediatrics.,https://lifelongmedical.org,,,,,https://lifelongmedical.org,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
Native American Health Center Oakland,2950 International Blvd,Oakland,CA,94601,USA,health,community health center,medical dental behavioral health substance use,"Health center providing medical, dental and behavioral health care.",https://nativehealth.org,,,,,https://nativehealth.org,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
Asian Health Services,818 Webster St,Oakland,CA,94607,USA,health,community health center,primary care dental behavioral health language access,Community health center providing multilingual care.,https://asianhealthservices.org,,,,,https://asianhealthservices.org,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
Kaiser Permanente Oakland Medical Center,3600 Broadway,Oakland,CA,94611,USA,health,hospital and medical center,hospital emergency care primary care specialty care,Oakland medical center and hospital.,https://healthy.kaiserpermanente.org,,,,,https://healthy.kaiserpermanente.org,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
Highland Hospital,1411 E 31st St,Oakland,CA,94602,USA,health,hospital,emergency care surgery maternity primary care,Alameda Health System hospital in Oakland.,https://www.alamedahealthsystem.org,,,,,https://www.alamedahealthsystem.org,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
La Clínica de La Raza Fruitvale,3451 E 12th St,Oakland,CA,94601,USA,dental,community dental clinic,dental exams preventive restorative care,Community health organization offering dental care at Fruitvale.,https://laclinica.org,,,,,https://laclinica.org,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
Western Dental Oakland,2300 International Blvd,Oakland,CA,94601,USA,dental,dental clinic,general dentistry orthodontics emergency dental,Dental clinic in Oakland.,https://www.westerndental.com,,,,,https://www.westerndental.com,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
Oakland Dental Care,3030 Telegraph Ave,Oakland,CA,94609,USA,dental,dentist,general dentistry cosmetic dentistry implants,Oakland dental practice.,https://www.oaklanddentalcare.com,,,,,https://www.oaklanddentalcare.com,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
Mercy Retirement & Care Center,3431 MacArthur Blvd,Oakland,CA,94605,USA,elder care,senior living,assisted living memory care skilled nursing,Senior living and care community in Oakland.,https://mercyretirement.com,,,,,https://mercyretirement.com,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
Lakeside Park Retirement Residence,1221 Park View Ave,Oakland,CA,94612,USA,elder care,senior living,independent living assisted living senior services,Retirement residence in Oakland.,https://www.lakesidepark.com,,,,,https://www.lakesidepark.com,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
Alameda County Area Agency on Aging,6955 Foothill Blvd Ste 300,Oakland,CA,94605,USA,elder care,aging services,senior benefits caregiver support meals transportation,County aging-services office serving Oakland residents.,https://www.alamedacountyaging.org,,,,,https://www.alamedacountyaging.org,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
Bay Area Legal Aid Oakland,1735 Telegraph Ave,Oakland,CA,94612,USA,legal,legal aid,civil legal aid housing benefits family law,Legal aid office serving low-income Bay Area residents.,https://baylegal.org,,,,,https://baylegal.org,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
Oakland Public Defender,70 Washington St,Oakland,CA,94607,USA,legal,public defense,criminal defense public defender services,Public defender office for Alameda County.,https://www.alcoda.org,,,,,https://www.alcoda.org,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
Self-Help Federal Credit Union Fruitvale,1470 Fruitvale Ave,Oakland,CA,94601,USA,financial,credit union,checking savings loans financial counseling,Credit union branch in Oakland.,https://www.self-helpfcu.org,,,,,https://www.self-helpfcu.org,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
Mechanics Bank Oakland,601 12th St,Oakland,CA,94607,USA,financial,bank,checking savings mortgages business banking,Oakland bank branch.,https://www.mechanicsbank.com,,,,,https://www.mechanicsbank.com,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
Bank of America Oakland Main,555 12th St,Oakland,CA,94607,USA,financial,bank,checking savings loans ATM,Bank branch in downtown Oakland.,https://www.bankofamerica.com,,,,,https://www.bankofamerica.com,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
Oakland Community Land Trust,2501 San Pablo Ave Ste 200,Oakland,CA,94612,USA,housing,community land trust,affordable homeownership housing preservation,Community land trust preserving permanently affordable housing.,https://oakclt.org,,,,,https://oakclt.org,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
Habitat for Humanity East Bay/Silicon Valley Oakland,2619 Broadway,Oakland,CA,94612,USA,housing,affordable housing nonprofit,homebuilding home repair affordable homeownership,Affordable housing nonprofit with Oakland office.,https://www.habitatebsv.org,,,,,https://www.habitatebsv.org,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
East Bay Housing Organizations,538 9th St Ste 205,Oakland,CA,94607,USA,housing,housing advocacy,affordable housing policy tenant resources,Regional affordable housing advocacy organization.,https://ebho.org,,,,,https://ebho.org,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
Bell Plumbing Heating Cooling,1015 47th Ave,Oakland,CA,94601,USA,home/HVAC,plumbing HVAC,plumbing heating air conditioning repair,Oakland plumbing and HVAC contractor.,https://www.bellplumbing.com,,,,,https://www.bellplumbing.com,Official website,,,true,Source basis: official organization/business website and public address; current official destination confirmed.
