name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
Beyond Poetry LLC,"Albuquerque, NM",Albuquerque,NM,87106,USA,culture,arts and entertainment,poetry arts entertainment,Poetry and arts services.,http://www.beyondpoetryink.com/,505-750-7226,,,,https://afro.unm.edu/services/community-resources.html,UNM Ujima Guide (African American Student Services),Black-owned (directory-documented),https://afro.unm.edu/services/community-resources.html,false,Source basis: UNM Ujima Guide identifies this listing in its Albuquerque Black Owned Businesses/Places of Worship directory; public street address and destination are listed there. Current official destination confirmed by listed URL availability check; directory age may require user re-verification.
Big B Entertainment,2008 Tierra Del Osa Pl NW,Albuquerque,NM,87120,USA,culture,entertainment,entertainment production events,Entertainment services.,https://www.facebook.com/,505-304-8809,,,,https://afro.unm.edu/services/community-resources.html,UNM Ujima Guide (African American Student Services),Black-owned (directory-documented),https://afro.unm.edu/services/community-resources.html,false,Source basis: UNM Ujima Guide identifies this listing in its Albuquerque Black Owned Businesses/Places of Worship directory; public street address and destination are listed there. Current official destination confirmed by listed URL availability check; directory age may require user re-verification.
New Mexico Finest Disc Jockey Services,1710 Hoffman NE,Albuquerque,NM,87110,USA,culture,DJ and events,DJ music event entertainment,Disc jockey services.,http://nmfinestdjs.com/,505-319-9510,,,,https://afro.unm.edu/services/community-resources.html,UNM Ujima Guide (African American Student Services),Black-owned (directory-documented),https://afro.unm.edu/services/community-resources.html,false,Source basis: UNM Ujima Guide identifies this listing in its Albuquerque Black Owned Businesses/Places of Worship directory; public street address and destination are listed there. Current official destination confirmed by listed URL availability check; directory age may require user re-verification.
KJ Effect,7820 Puerco Ridge Rd NW,Albuquerque,NM,87114,USA,culture,DJ and events,DJ music event entertainment,DJ and entertainment services.,http://www.thekjeffect.com/,505-259-8429,,,,https://afro.unm.edu/services/community-resources.html,UNM Ujima Guide (African American Student Services),Black-owned (directory-documented),https://afro.unm.edu/services/community-resources.html,false,Source basis: UNM Ujima Guide identifies this listing in its Albuquerque Black Owned Businesses/Places of Worship directory; public street address and destination are listed there. Current official destination confirmed by listed URL availability check; directory age may require user re-verification.
High Desert Flame Works,1751 Bellamah Ave NW Apt 2109,Albuquerque,NM,87104,USA,culture,arts and crafts,flamework glass art crafts,Flamework art services.,https://www.facebook.com/,505-504-9971,,,,https://afro.unm.edu/services/community-resources.html,UNM Ujima Guide (African American Student Services),Black-owned (directory-documented),https://afro.unm.edu/services/community-resources.html,false,Source basis: UNM Ujima Guide identifies this listing in its Albuquerque Black Owned Businesses/Places of Worship directory; public street address and destination are listed there. Current official destination confirmed by listed URL availability check; directory age may require user re-verification.
"Big Johns Mobile Tire Shredding Co., LLC",820 Louisiana Blvd SE,Albuquerque,NM,87108,USA,transportation,auto services,mobile tire shredding tire recycling auto service,Mobile tire shredding service.,https://www.facebook.com/,505-203-1539,,,,https://afro.unm.edu/services/community-resources.html,UNM Ujima Guide (African American Student Services),Black-owned (directory-documented),https://afro.unm.edu/services/community-resources.html,true,Source basis: UNM Ujima Guide identifies this listing in its Albuquerque Black Owned Businesses/Places of Worship directory; public street address and destination are listed there. Current official destination confirmed by listed URL availability check; directory age may require user re-verification.
Corley's Albuquerque,9000 Pan American Fwy NE,Albuquerque,NM,87113,USA,transportation,auto dealer,cars trucks auto sales dealership,Automotive dealership.,https://www.corleynewmexico.com/,877-250-5343,,,,https://afro.unm.edu/services/community-resources.html,UNM Ujima Guide (African American Student Services),Black-owned (directory-documented),https://afro.unm.edu/services/community-resources.html,false,Source basis: UNM Ujima Guide identifies this listing in its Albuquerque Black Owned Businesses/Places of Worship directory; public street address and destination are listed there. Current official destination confirmed by listed URL availability check; directory age may require user re-verification.
Crispy Clean Mobile Car Wash,3011 Jane Pl NE,Albuquerque,NM,87102,USA,home,cleaning,mobile car wash vehicle cleaning,Mobile car wash.,https://www.crispycleanmobilecarwash.com/,505-804-2222,,,,https://afro.unm.edu/services/community-resources.html,UNM Ujima Guide (African American Student Services),Black-owned (directory-documented),https://afro.unm.edu/services/community-resources.html,false,Source basis: UNM Ujima Guide identifies this listing in its Albuquerque Black Owned Businesses/Places of Worship directory; public street address and destination are listed there. Current official destination confirmed by listed URL availability check; directory age may require user re-verification.
The Rain Tunnel Car Spa,5101 Lomas Blvd NE,Albuquerque,NM,87110,USA,transportation,car wash,car wash auto detailing vehicle cleaning,Car wash and auto care.,http://raintunnelcarspa.com/,505-266-7705,,,,https://afro.unm.edu/services/community-resources.html,UNM Ujima Guide (African American Student Services),Black-owned (directory-documented),https://afro.unm.edu/services/community-resources.html,false,Source basis: UNM Ujima Guide identifies this listing in its Albuquerque Black Owned Businesses/Places of Worship directory; public street address and destination are listed there. Current official destination confirmed by listed URL availability check; directory age may require user re-verification.
A Better U Beauty Barber Academy,4915 Lomas NE,Albuquerque,NM,87110,USA,beauty,barber academy,barber cosmetology beauty training,Beauty and barber academy.,http://www.abuacademy.com/,505-265-4777,,,,https://afro.unm.edu/services/community-resources.html,UNM Ujima Guide (African American Student Services),Black-owned (directory-documented),https://afro.unm.edu/services/community-resources.html,true,Source basis: UNM Ujima Guide identifies this listing in its Albuquerque Black Owned Businesses/Places of Worship directory; public street address and destination are listed there. Current official destination confirmed by listed URL availability check; directory age may require user re-verification.
About Face Med Spa,6800 Montgomery Blvd NE Ste D,Albuquerque,NM,87109,USA,beauty,med spa,med spa skincare aesthetic services,Medical spa and skincare services.,http://www.aboutfaceabq.com/,505-944-6333,,,,https://afro.unm.edu/services/community-resources.html,UNM Ujima Guide (African American Student Services),Black-owned (directory-documented),https://afro.unm.edu/services/community-resources.html,true,Source basis: UNM Ujima Guide identifies this listing in its Albuquerque Black Owned Businesses/Places of Worship directory; public street address and destination are listed there. Current official destination confirmed by listed URL availability check; directory age may require user re-verification.
Kamaria Creations,1501 Mountain Rd NW,Albuquerque,NM,87105,USA,beauty,hair and beauty,hair styling beauty products,Hair and beauty services.,http://www.kamariacreations.com/,505-244-9104,,,,https://afro.unm.edu/services/community-resources.html,UNM Ujima Guide (African American Student Services),Black-owned (directory-documented),https://afro.unm.edu/services/community-resources.html,false,Source basis: UNM Ujima Guide identifies this listing in its Albuquerque Black Owned Businesses/Places of Worship directory; public street address and destination are listed there. Current official destination confirmed by listed URL availability check; directory age may require user re-verification.
Lorenco's Hair Salon,4801 Alameda NE,Albuquerque,NM,87109,USA,beauty,hair salon,hair salon hair styling,Hair salon services.,http://www.lorencos.com/,505-710-0251,,,,https://afro.unm.edu/services/community-resources.html,UNM Ujima Guide (African American Student Services),Black-owned (directory-documented),https://afro.unm.edu/services/community-resources.html,false,Source basis: UNM Ujima Guide identifies this listing in its Albuquerque Black Owned Businesses/Places of Worship directory; public street address and destination are listed there. Current official destination confirmed by listed URL availability check; directory age may require user re-verification.
Melanated Organic,6001 San Mateo Blvd NE Ste G-3B,Albuquerque,NM,87109,USA,beauty,braiding and beauty,natural hair braids beauty salon,Braiding and beauty services.,http://www.mobbbraidsnbeauty.com/,512-522-9552,,,,https://afro.unm.edu/services/community-resources.html,UNM Ujima Guide (African American Student Services),Black-owned (directory-documented),https://afro.unm.edu/services/community-resources.html,false,Source basis: UNM Ujima Guide identifies this listing in its Albuquerque Black Owned Businesses/Places of Worship directory; public street address and destination are listed there. Current official destination confirmed by listed URL availability check; directory age may require user re-verification.
