name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
Indigo Tea & Coffee Co.,644 N Church St,Charlotte,NC,28202,USA,food,coffee and tea,"coffee, tea, lattes, community space",Tea and coffee shop serving hot and iced drinks with house-made syrups.,https://www.indigocoffeetea.com/,980-477-5899,https://www.instagram.com/indigoclt/,,,https://uptowncharlotte.com/go/indigo-tea-and-coffee-co,Uptown Charlotte,Black-owned,https://www.charlottesgotalot.com/articles/things-to-do/how-to-spend-24-hours-supporting-black-owned-businesses,false,Source basis: Charlotte tourism Black-owned business guide plus Uptown Charlotte address listing; current official website and Instagram confirmed.
Uptown Yolk,"1220 South Tryon Street, Suite 500",Charlotte,NC,28203,USA,food,restaurant/brunch,"breakfast, brunch, shrimp and grits, sandwiches, juice",Southern brunch and dinner restaurant serving elevated classics and imaginative dishes.,https://www.uptownyolk.com/,704-526-0494,https://www.instagram.com/uptownyolk/,,,https://www.charlottesgotalot.com/articles/things-to-do/how-to-spend-24-hours-supporting-black-owned-businesses,Charlotte Regional Visitors Authority,Black-owned,https://www.charlottesgotalot.com/articles/things-to-do/how-to-spend-24-hours-supporting-black-owned-businesses,false,"Source basis: Charlotte tourism Black-owned business guide; current official location page, website and Instagram confirmed."
Juicin,"5818 Highland Shoppes Dr, Suite C3",Charlotte,NC,28269,USA,food,juice and smoothie bar,"cold-pressed juice, acai bowls, smoothies, healthy drinks",Organic juice and smoothie bar offering cold-pressed juice and acai bowls.,https://www.juicincharlotte.com/,980-406-1828,https://www.instagram.com/juicinclt/,,,https://www.charlottesgotalot.com/articles/things-to-do/how-to-spend-24-hours-supporting-black-owned-businesses,Charlotte Regional Visitors Authority,Black-owned,https://www.charlottesgotalot.com/articles/things-to-do/how-to-spend-24-hours-supporting-black-owned-businesses,false,Source basis: Charlotte tourism Black-owned business guide plus official site contact; current official website and Instagram confirmed.
Hip Hop Smoothies,224 E 7th St,Charlotte,NC,28202,USA,food,smoothie bar,"fruit smoothies, dairy-free, vegan options, health drinks",Smoothie shop offering real-fruit smoothies without added sugar.,https://www.hiphopsmoothies.com/,980-938-6702,,https://www.facebook.com/hiphopsmoothies/,,https://www.charlottesgotalot.com/articles/things-to-do/how-to-spend-24-hours-supporting-black-owned-businesses,Charlotte Regional Visitors Authority,Black-owned,https://www.charlottesgotalot.com/articles/things-to-do/how-to-spend-24-hours-supporting-black-owned-businesses,false,Source basis: Charlotte tourism Black-owned business guide plus official store locator/Uptown Charlotte listing; current official website and Facebook confirmed.
Mert's Heart & Soul,214 N College St,Charlotte,NC,28202,USA,food,soul food restaurant,"soul food, low-country cuisine, shrimp creole, fried catfish, brunch",Uptown restaurant serving soul food and low-country favorites.,https://mertscharlotte.com/,704-342-4222,,https://www.facebook.com/mertscharlotte/,,https://www.charlottesgotalot.com/articles/things-to-do/how-to-spend-24-hours-supporting-black-owned-businesses,Charlotte Regional Visitors Authority,Black-owned,https://www.charlottesgotalot.com/articles/things-to-do/how-to-spend-24-hours-supporting-black-owned-businesses,false,Source basis: Charlotte tourism Black-owned business guide plus official contact page; current official website and Facebook confirmed.
Sub One Hoagie House,"516 N Graham St, Suite A",Charlotte,NC,28202,USA,food,sandwich shop,"hoagies, steak hoagies, takeout",Longtime Charlotte hoagie shop serving steak and specialty sandwiches.,https://www.subonehoagie.com/,704-376-9211,,,,https://www.subonehoagie.com/hours-and-location,Sub One Hoagie official site,Black-owned,https://www.charlottesgotalot.com/articles/things-to-do/how-to-spend-24-hours-supporting-black-owned-businesses,false,Source basis: Charlotte tourism Black-owned business guide and official hours/location page; current official website confirmed.
Don's Restaurant,321 N Caldwell St,Charlotte,NC,28202,USA,food,fine dining restaurant,"Southern cuisine, brunch, dinner, craft cocktails",Black-owned fine-dining restaurant in Uptown Charlotte.,https://donscharlotte.com/,704-376-2909,https://www.instagram.com/donsclt/,,,https://www.charlottesgotalot.com/articles/things-to-do/how-to-spend-24-hours-supporting-black-owned-businesses,Charlotte Regional Visitors Authority,Black-owned,https://www.charlottesgotalot.com/articles/things-to-do/how-to-spend-24-hours-supporting-black-owned-businesses,false,Source basis: official Don’s site and Charlotte tourism Black-owned guide; current official website and Instagram confirmed.
"Curio, Craft & Conjure","3204 N Davidson St, Suite C",Charlotte,NC,28205,USA,retail,apothecary and gifts,"apothecary, books, learning, candles, spiritual supplies","Shop supplying personalized magickal and apothecary goods, books and candles.",https://curiocharlotte.com/,980-207-0405,,,,https://curiocharlotte.com/pages/contact-us,"Curio, Craft & Conjure official site",Black-owned,https://www.charlottesgotalot.com/articles/things-to-do/how-to-spend-24-hours-supporting-black-owned-businesses,false,Source basis: Charlotte tourism Black-owned business guide plus official contact page; current official website confirmed.
Dupp & Swat,"1824 Statesville Ave, Suite 105",Charlotte,NC,28206,USA,culture,arts and creative space,"art events, gallery, studio, retail, creative workshops","Arts and creativity space hosting exhibitions, events, fashion pop-ups and poetry readings.",https://www.duppandswat.com/,980-224-2128,https://www.instagram.com/duppandswat/,https://www.facebook.com/DuppAndSwat/,,https://www.charlottesgotalot.com/articles/things-to-do/how-to-spend-24-hours-supporting-black-owned-businesses,Charlotte Regional Visitors Authority,Black-owned,https://www.charlottesgotalot.com/articles/things-to-do/how-to-spend-24-hours-supporting-black-owned-businesses,false,"Source basis: official Dupp&Swat locations page and Charlotte tourism guide; current official website, Instagram and Facebook confirmed."
BLKMRKTCLT,1824 Statesville Ave,Charlotte,NC,28206,USA,culture,gallery and studio,"gallery, studio, Black artist collective, exhibitions, creative events",Gallery and studio space focused on developing and showcasing local Black creatives.,https://www.blkmrktclt.com/,,https://www.instagram.com/blkmrktclt/,https://www.facebook.com/blkmrktclt/,,https://www.charlottesgotalot.com/articles/things-to-do/how-to-spend-24-hours-supporting-black-owned-businesses,Charlotte Regional Visitors Authority,,,false,Source basis: Charlotte tourism guide identifies address and gallery/studio function; current public Instagram and Facebook confirmed.
