name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
Baton Rouge African American Museum,805 Saint Louis Street,Baton Rouge,LA,70802,USA,culture,museum,"African American history, artifacts, children’s room, meeting rooms","Museum dedicated to African and African American history with artifacts, children’s room, and meeting rooms.",https://www.braamuseum.org/,225-244-9474,,,,https://www.visitbatonrouge.com/blog/black-owned-businesses-in-baton-rouge/,Visit Baton Rouge,Black-owned,https://www.visitbatonrouge.com/blog/black-owned-businesses-in-baton-rouge/,false,Current Visit Baton Rouge feature/directory supplied public address and business destination; current official destination confirmed.
The Main Lobby,668 Main Street,Baton Rouge,LA,70801,USA,nightlife,"cocktail bar, live music","craft cocktails, rooftop terrace, live music","Downtown venue with rooftop terrace, craft cocktail menu, and live music.",https://www.themainlobbybr.com/,225-344-0807,,,,https://www.visitbatonrouge.com/blog/black-owned-businesses-in-baton-rouge/,Visit Baton Rouge,Black-owned,https://www.visitbatonrouge.com/blog/black-owned-businesses-in-baton-rouge/,false,Current Visit Baton Rouge feature/directory supplied public address and business destination; current official destination confirmed.
13 Social,350 3rd Street,Baton Rouge,LA,70801,USA,nightlife,"bar, entertainment","cocktails, nightlife, downtown social venue",Downtown social and nightlife venue listed in the current Black-Owned Businesses feature.,https://13social.com/,,,,,https://www.visitbatonrouge.com/blog/black-owned-businesses-in-baton-rouge/,Visit Baton Rouge,Black-owned,https://www.visitbatonrouge.com/blog/black-owned-businesses-in-baton-rouge/,false,Current Visit Baton Rouge feature/directory supplied public address and business destination; current official destination confirmed.
Firehaus,1700 Government Street,Baton Rouge,LA,70802,USA,food,"restaurant, bar","food, drinks, dining",Restaurant/bar listed in the current Black-Owned Businesses feature.,http://www.firehausbr.com/,225-250-5055,,,,https://www.visitbatonrouge.com/blog/black-owned-businesses-in-baton-rouge/,Visit Baton Rouge,Black-owned,https://www.visitbatonrouge.com/blog/black-owned-businesses-in-baton-rouge/,false,Current Visit Baton Rouge feature/directory supplied public address and business destination; current official destination confirmed.
Henry Turner Jr’s Listening Room Heritage Museum,2733 North Street,Baton Rouge,LA,70802,USA,culture,"music museum, live music","music heritage, museum, live listening room",Listening room and heritage museum listed in the current Black-Owned Businesses feature.,https://ultimatelouisianapar.wixsite.com/henryslisteningroom,225-802-9681,,,,https://www.visitbatonrouge.com/blog/black-owned-businesses-in-baton-rouge/,Visit Baton Rouge,Black-owned,https://www.visitbatonrouge.com/blog/black-owned-businesses-in-baton-rouge/,false,Current Visit Baton Rouge feature/directory supplied public address and business destination; current official destination confirmed.
Pedal Pub Baton Rouge,436 Government Street,Baton Rouge,LA,70802,USA,recreation,pedal tour,"pedal pub tours, downtown sightseeing",Pedal-powered tour experience taking visitors around downtown sights.,https://www.pedalpub.com/baton-rouge-la/,888-733-2580,,,,https://www.visitbatonrouge.com/blog/black-owned-businesses-in-baton-rouge/,Visit Baton Rouge,Black-owned,https://www.visitbatonrouge.com/blog/black-owned-businesses-in-baton-rouge/,false,Current Visit Baton Rouge feature/directory supplied public address and business destination; current official destination confirmed.
The Silly Rabbit Comedy Club,"9945 Airline Hwy, Suite C",Baton Rouge,LA,70816,USA,culture,comedy club,"stand-up comedy, live entertainment",Comedy club listed in the current Black-Owned Businesses feature.,https://www.sillyrabbitcomedyclub.com/,225-278-7107,,,,https://www.visitbatonrouge.com/blog/black-owned-businesses-in-baton-rouge/,Visit Baton Rouge,Black-owned,https://www.visitbatonrouge.com/blog/black-owned-businesses-in-baton-rouge/,false,Current Visit Baton Rouge feature/directory supplied public address and business destination; current official destination confirmed.
Anthony Lawrence Collection,7566 Bluebonnet Boulevard,Baton Rouge,LA,70810,USA,retail,apparel,"game day apparel, school pride clothing",Retail shop offering authentically made game day apparel and school-pride pieces.,https://www.anthonylawrencecollection.com/,225-256-1202,,,,https://www.visitbatonrouge.com/blog/black-owned-businesses-in-baton-rouge/,Visit Baton Rouge,Black-owned,https://www.visitbatonrouge.com/blog/black-owned-businesses-in-baton-rouge/,false,Current Visit Baton Rouge feature/directory supplied public address and business destination; current official destination confirmed.
Get Signatured,"11445 Coursey Blvd, Suite O",Baton Rouge,LA,70816,USA,retail,custom jewelry,"custom jewelry, necklaces, bracelets",Custom jewelry shop offering pieces including necklaces and bracelets.,https://getsignatured.com/,225-256-3729,,,,https://www.visitbatonrouge.com/blog/black-owned-businesses-in-baton-rouge/,Visit Baton Rouge,Black-owned,https://www.visitbatonrouge.com/blog/black-owned-businesses-in-baton-rouge/,false,Current Visit Baton Rouge feature/directory supplied public address and business destination; current official destination confirmed.
The Exchange,5104 Government Street,Baton Rouge,LA,70806,USA,retail,shop,"retail, local shopping",Retail shop listed in the current Black-Owned Businesses feature.,http://theexchangebr.weebly.com/,225-436-6656,,,,https://www.visitbatonrouge.com/blog/black-owned-businesses-in-baton-rouge/,Visit Baton Rouge,Black-owned,https://www.visitbatonrouge.com/blog/black-owned-businesses-in-baton-rouge/,false,Current Visit Baton Rouge feature/directory supplied public address and business destination; current official destination confirmed.
