name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
Pack & Ship Express,6112 N Mesa,El Paso,Texas,79912,USA,Transportation,Shipping and mailing,pack shipping freight mail printing,"Shipping, mailing, and related services.",https://www.packandshipep.com/,915-581-1600,,,,https://members.ephcc.org/businessdirectory/FindStartsWith?term=P,El Paso Hispanic Chamber of Commerce directory,,,false,Source basis: El Paso Hispanic Chamber of Commerce directory. Current official destination confirmed: yes (https://www.packandshipep.com/).
Palo Verde Homes,7100 Westwind Ste 250,El Paso,Texas,79912,USA,Housing,Mortgage and real estate,mortgage home loans housing real estate,"Mortgage, banking, and real estate services.",http://www.paloverdehome.com/,915-584-9090,,,,https://members.ephcc.org/businessdirectory/FindStartsWith?term=P,El Paso Hispanic Chamber of Commerce directory,,,true,Source basis: El Paso Hispanic Chamber of Commerce directory. Current official destination confirmed: yes (http://www.paloverdehome.com/).
"Paul Meza, CPA",1325 Montana Avenue,El Paso,Texas,79902,USA,Financial,Accounting and tax,CPA accounting tax business consulting,Accounting and tax services.,http://www.paulmezacpa.com/,915-544-1040,,,,https://members.ephcc.org/businessdirectory/FindStartsWith?term=P,El Paso Hispanic Chamber of Commerce directory,,,true,Source basis: El Paso Hispanic Chamber of Commerce directory. Current official destination confirmed: yes (http://www.paulmezacpa.com/).
"Perikin Enterprises, LLC",1002 W Missouri Ave,El Paso,Texas,79902,USA,Business services,Consulting,business consulting professional services,Professional and business services.,http://www.perikin.com/,575-386-6491,,,,https://members.ephcc.org/businessdirectory/FindStartsWith?term=P,El Paso Hispanic Chamber of Commerce directory,,,false,Source basis: El Paso Hispanic Chamber of Commerce directory. Current official destination confirmed: yes (http://www.perikin.com/).
"Portillo’s Hot Dogs, LLC",12221 Montana Ave Suite 40,El Paso,Texas,79938,USA,Food,Restaurant,hot dogs fast food restaurant,Restaurant and food service.,https://www.portillos.com/index.html,206-455-4572,,,,https://members.ephcc.org/businessdirectory/FindStartsWith?term=P,El Paso Hispanic Chamber of Commerce directory,,,false,Source basis: El Paso Hispanic Chamber of Commerce directory. Current official destination confirmed: yes (https://www.portillos.com/index.html).
Positive Directions,814 Wyoming Ave,El Paso,Texas,79902,USA,Faith/community,Coaching and mentoring,coaching mentoring community support,Coaching and mentoring services.,http://mpowered2succeed.com/,915-838-1000,,,,https://members.ephcc.org/businessdirectory/FindStartsWith?term=P,El Paso Hispanic Chamber of Commerce directory,,,false,Source basis: El Paso Hispanic Chamber of Commerce directory. Current official destination confirmed: yes (http://mpowered2succeed.com/).
Premier Tax & Financial Services,11323 Rojas Drive Building A,El Paso,Texas,79936,USA,Financial,Tax and financial services,tax preparation financial services bookkeeping,Tax and financial services.,http://www.premiertaxtx.com/,915-502-3849,,,,https://members.ephcc.org/businessdirectory/FindStartsWith?term=P,El Paso Hispanic Chamber of Commerce directory,,,true,Source basis: El Paso Hispanic Chamber of Commerce directory. Current official destination confirmed: yes (http://www.premiertaxtx.com/).
"Prewire of El Paso, Inc.",1515 Lee Trevino Suite D,El Paso,Texas,79936,USA,Home/HVAC,Low-voltage and wiring,prewire electrical low voltage home technology,Prewire and building technology services.,http://www.prewireofelpaso.com/,915-598-4937,,,,https://members.ephcc.org/businessdirectory/FindStartsWith?term=P,El Paso Hispanic Chamber of Commerce directory,,,true,Source basis: El Paso Hispanic Chamber of Commerce directory. Current official destination confirmed: yes (http://www.prewireofelpaso.com/).
"Professional Service Industries, Inc.",5044 Doniphan Drive Building D,El Paso,Texas,79932,USA,Home/HVAC,Building inspection,building inspection engineering construction testing,Building and construction inspection services.,http://intertek.com/building,915-584-1317,,,,https://members.ephcc.org/businessdirectory/FindStartsWith?term=P,El Paso Hispanic Chamber of Commerce directory,,,true,Source basis: El Paso Hispanic Chamber of Commerce directory. Current official destination confirmed: yes (http://intertek.com/building).
Project A.R.R.I.B.A. Inc.,1155 Westmoreland Ste 235,El Paso,Texas,79925,USA,Faith/community,Community organization,community organization education economic support,Community organization and support services.,http://www.projectarriba.org/,915-843-4055,,,,https://members.ephcc.org/businessdirectory/FindStartsWith?term=P,El Paso Hispanic Chamber of Commerce directory,,,false,Source basis: El Paso Hispanic Chamber of Commerce directory. Current official destination confirmed: yes (http://www.projectarriba.org/).
Project Vida,3607 Rivera Ave,El Paso,Texas,79905,USA,Health,Community health and social services,community health social services family support,Community health and social services.,http://www.pvida.net/,915-465-1191,,,,https://members.ephcc.org/businessdirectory/FindStartsWith?term=P,El Paso Hispanic Chamber of Commerce directory,,,true,Source basis: El Paso Hispanic Chamber of Commerce directory. Current official destination confirmed: yes (http://www.pvida.net/).
NAACP El Paso Branch,3400 Wyoming Avenue,El Paso,Texas,79903,USA,Faith/community,Civil rights and community organization,civil rights education advocacy community support,Civil rights and community organization advancing equity and inclusion.,https://naacpelpaso.com/,915-751-6490,,,,https://naacpelpaso.com/contact/,NAACP El Paso official site,,,false,Source basis: NAACP El Paso official site. Current official destination confirmed: yes (https://naacpelpaso.com/).
Blessing African Braiding,6100 Dyer St,El Paso,Texas,79904,USA,Beauty,African hair braiding,African braiding knotless braids hair styling,African hair braiding and styling; profile self-identifies as Black-owned.,https://blessingsbraiding.booksy.com/,915-263-7551,https://www.instagram.com/blessingbraid/?hl=en,,,https://www.instagram.com/blessingbraid/?hl=en,Official Instagram profile,Black-owned,https://www.instagram.com/blessingbraid/?hl=en,false,Source basis: Official Instagram profile. Current official destination confirmed: yes (https://blessingsbraiding.booksy.com/).
El Paso Mexican American Cultural Center,201 W Franklin Ave,El Paso,Texas,79901,USA,Culture,Cultural center,Mexican American culture arts exhibitions education,City cultural center focused on Mexican American cultural heritage and arts.,https://www.epmacc.org/,915-212-0436,,,,https://www.epmacc.org/teaching-artist,El Paso Mexican American Cultural Center official site,,,false,Source basis: El Paso Mexican American Cultural Center official site. Current official destination confirmed: yes (https://www.epmacc.org/).
