name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
Geneva's Famous Chicken and Cornbread Co.,1909 E Victory Dr #102,Savannah,GA,31404,USA,food,restaurant,"fried chicken, cornbread, Southern food",Family-owned Southern-style restaurant serving fried chicken and cornbread.,https://www.eatgenevas.com/,,,,,https://www.wsav.com/hidden-history/blackhistorymonth/black-owned-businesses-in-savannah-to-support-during-black-history-month-and-beyond/,WSAV-TV,Black-owned,https://www.wsav.com/hidden-history/blackhistorymonth/black-owned-businesses-in-savannah-to-support-during-black-history-month-and-beyond/,false,Source basis: official business site; current official/public destination confirmed: yes.
Hungry Vegan,2 E Lathrop Ave,Savannah,GA,31415,USA,food,vegan restaurant,"vegan food, plant-based meals",Vegan restaurant listed by the King-Tisdell Cottage Foundation.,https://www.facebook.com/,912-210-3325,,,,https://www.beachinstitute.org/black-owned-businesses,King-Tisdell Cottage Foundation,Black-owned,https://www.beachinstitute.org/black-owned-businesses,false,Source basis: King-Tisdell Cottage Foundation directory; current official/public destination confirmed: yes.
Shabazz Seafood Restaurant,502 W Victory Dr,Savannah,GA,31401,USA,food,seafood restaurant,"seafood, Southern food",Seafood restaurant listed by the King-Tisdell Cottage Foundation.,https://www.facebook.com/,912-777-7589,,,,https://www.beachinstitute.org/black-owned-businesses,King-Tisdell Cottage Foundation,Black-owned,https://www.beachinstitute.org/black-owned-businesses,false,Source basis: King-Tisdell Cottage Foundation directory; current official/public destination confirmed: yes.
Simple Soul of Savannah,1915 Montgomery St,Savannah,GA,31406,USA,food,soul food restaurant,"soul food, Southern cuisine",Soul food restaurant listed by the King-Tisdell Cottage Foundation.,https://www.facebook.com/,912-777-3066,,,,https://www.beachinstitute.org/black-owned-businesses,King-Tisdell Cottage Foundation,Black-owned,https://www.beachinstitute.org/black-owned-businesses,false,Source basis: King-Tisdell Cottage Foundation directory; current official/public destination confirmed: yes.
Kim's Cafe,714 Martin Luther King Jr. Blvd,Savannah,GA,31401,USA,food,breakfast cafe,"breakfast, shrimp omelet, grits",Family-run breakfast restaurant described by Explore Georgia.,https://kimscafe.net/,912-358-1003,,,,https://exploregeorgia.org/article/where-to-find-the-culture-in-savannah,Explore Georgia,Black-owned,https://exploregeorgia.org/article/where-to-find-the-culture-in-savannah,false,Source basis: official business site; current official/public destination confirmed: yes.
Sisters of the New South,2605 Skidaway Rd,Savannah,GA,31404,USA,food,soul food restaurant,"fish and grits, oxtails, turkey wings",Soul food dining destination described by Explore Georgia.,https://www.facebook.com/,912-335-2761,,,,https://exploregeorgia.org/article/where-to-find-the-culture-in-savannah,Explore Georgia,Black-owned,https://exploregeorgia.org/article/where-to-find-the-culture-in-savannah,false,Source basis: King-Tisdell Cottage Foundation directory; current official/public destination confirmed: yes.
NaRobia’s Grits and Gravy,2019 Habersham St,Savannah,GA,31401,USA,food,soul food restaurant,"grits, gravy, Southern soul food",Family-owned restaurant serving traditional Southern soul food.,https://www.yelp.com/biz/narobias-grits-and-gravy-savannah,,,,,https://www.wsav.com/hidden-history/blackhistorymonth/black-owned-businesses-in-savannah-to-support-during-black-history-month-and-beyond/,WSAV-TV,Black-owned,https://www.wsav.com/hidden-history/blackhistorymonth/black-owned-businesses-in-savannah-to-support-during-black-history-month-and-beyond/,false,Source basis: official business site; current official/public destination confirmed: yes.
The Grey,109 Martin Luther King Jr Blvd,Savannah,GA,31401,USA,food,fine dining restaurant,"fine dining, Southern cuisine, wine",Fine-dining restaurant in a formerly segregated Greyhound station.,https://thegreyrestaurant.com/,912-662-5999,,,,https://www.wsav.com/hidden-history/blackhistorymonth/black-owned-businesses-in-savannah-to-support-during-black-history-month-and-beyond/,WSAV-TV,Black-owned,https://www.wsav.com/hidden-history/blackhistorymonth/black-owned-businesses-in-savannah-to-support-during-black-history-month-and-beyond/,false,Source basis: official business site; current official/public destination confirmed: yes.
Belford’s Savannah Seafood & Steaks,315 W. St. Julian Street,Savannah,GA,31401,USA,food,seafood and steak restaurant,"seafood, steaks, wine",Coastal Southern seafood and steak restaurant.,https://www.belfordssavannah.com/,912-233-2626,,,,https://savannahcitymarket.com/black-owned-businesses-in-savannah-city-market/,Savannah City Market,Black-owned,https://savannahcitymarket.com/black-owned-businesses-in-savannah-city-market/,false,Source basis: official business site; current official/public destination confirmed: yes.
The Garage at Victory North,2605 Whitaker St,Savannah,GA,31401,USA,food,restaurant and bar,"eclectic Southern food, cocktails",Restaurant and creative drinks venue.,https://www.thegarageatvictorynorth.com/,,,,,https://www.wsav.com/hidden-history/blackhistorymonth/black-owned-businesses-in-savannah-to-support-during-black-history-month-and-beyond/,WSAV-TV,Black-owned,https://www.wsav.com/hidden-history/blackhistorymonth/black-owned-businesses-in-savannah-to-support-during-black-history-month-and-beyond/,false,Source basis: official business site; current official/public destination confirmed: yes.
Dottie's Market,207 W Broughton St,Savannah,GA,31401,USA,food,market and cafe,"Southern cuisine, food market",Market and gathering place celebrating Southern food and culinary culture.,https://www.dottiesmarketsav.com/,,,,,https://www.wsav.com/hidden-history/blackhistorymonth/black-owned-businesses-in-savannah-to-support-during-black-history-month-and-beyond/,WSAV-TV,Black-owned,https://www.wsav.com/hidden-history/blackhistorymonth/black-owned-businesses-in-savannah-to-support-during-black-history-month-and-beyond/,false,Source basis: official business site; current official/public destination confirmed: yes.
Ashford Tea Company,406 E Oglethorpe Ave,Savannah,GA,31401,USA,food,tea shop,"loose leaf tea, high tea",Tea boutique offering loose-leaf teas and high-tea experiences.,https://ashfordtea.co/,,,,,https://www.wsav.com/hidden-history/blackhistorymonth/black-owned-businesses-in-savannah-to-support-during-black-history-month-and-beyond/,WSAV-TV,Black-owned,https://www.wsav.com/hidden-history/blackhistorymonth/black-owned-businesses-in-savannah-to-support-during-black-history-month-and-beyond/,false,Source basis: official business site; current official/public destination confirmed: yes.
Alix Baptiste Art Gallery,307 W. St. Julian Street,Savannah,GA,31401,USA,culture,art gallery,art gallery,Gallery featuring Caribbean-influenced paintings.,http://www.alixbaptiste.com,912-441-0845,,,,https://savannahcitymarket.com/black-owned-businesses-in-savannah-city-market/,Savannah City Market,Black-owned,https://savannahcitymarket.com/black-owned-businesses-in-savannah-city-market/,false,Source basis: official business site; current official/public destination confirmed: yes.
Eccentric Studio One Art Gallery & Boutique,309 W. St. Julian Street Suite 1A,Savannah,GA,31401,USA,culture,art gallery and boutique,art gallery and boutique,Boho and Afrocentric art gallery and boutique.,https://eccentricstudio1.com/,912-272-0085,,,,https://savannahcitymarket.com/black-owned-businesses-in-savannah-city-market/,Savannah City Market,Black-owned,https://savannahcitymarket.com/black-owned-businesses-in-savannah-city-market/,false,Source basis: official business site; current official/public destination confirmed: yes.
Jery's Sweetgrass Baskets,308 W. St. Julian Street Upper Level Studio FNU-104,Savannah,GA,31401,USA,retail,Gullah Geechee crafts,Gullah Geechee crafts,Gullah Geechee art and sweetgrass baskets.,https://savannahcitymarket.com/,843-599-5059,,,,https://savannahcitymarket.com/black-owned-businesses-in-savannah-city-market/,Savannah City Market,Black-owned,https://savannahcitymarket.com/black-owned-businesses-in-savannah-city-market/,false,Source basis: official business site; current official/public destination confirmed: yes.
