name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
American Grammar,2046 N. Front Street,Philadelphia,PA,19125,USA,Culture & community,Culture & community,"bookstore, coffee, tea, writer talks, book clubs","Bookstore and community space with coffee or tea, books, apparel, ceramics, writer talks and book clubs.",https://www.instagram.com/american_grammar/?hl=en,,https://www.instagram.com/american_grammar/?hl=en,,,https://www.visitphilly.com/articles/philadelphia/black-owned-shops-and-boutiques-in-philadelphia/,Visit Philadelphia,,,false,Source basis: current Visit Philadelphia guide; current official website or attributable public social destination confirmed via linked destination.
Atomic City Comics,638 South Street,Philadelphia,PA,19147,USA,Retail & culture,Retail & culture,"comic books, graphic novels, manga, games, collectibles, family books","Comic book store offering comics, graphic novels, manga, back issues, horror, science fiction, games and collectibles.",https://www.instagram.com/atomiccitycomics/,,https://www.instagram.com/atomiccitycomics/,,,https://www.visitphilly.com/articles/philadelphia/black-owned-shops-and-boutiques-in-philadelphia/,Visit Philadelphia,,,false,Source basis: current Visit Philadelphia guide; current official website or attributable public social destination confirmed via linked destination.
Black and Nobel,422 South Street,Philadelphia,PA,19147,USA,Retail & culture,Retail & culture,"books, jewelry, health and wellness products, sea moss, body products","Bookstore and cultural center offering books, jewelry, health and wellness products, sea moss and body products.",https://www.blackandnobel.com/,,,,,https://www.visitphilly.com/articles/philadelphia/black-owned-shops-and-boutiques-in-philadelphia/,Visit Philadelphia,,,false,Source basis: current Visit Philadelphia guide; current official website or attributable public social destination confirmed via linked destination.
Hakim's Bookstore & Gift Shop,210 S. 52nd Street,Philadelphia,PA,19139,USA,Retail & culture,Retail & culture,"African American books, philosophy, history, memoirs, children books","Historic West Philadelphia bookstore offering African American studies, philosophy, history, memoirs and children’s books.",https://hakimsbookstore.com/,,,,,https://www.visitphilly.com/articles/philadelphia/black-owned-shops-and-boutiques-in-philadelphia/,Visit Philadelphia,,,false,Source basis: current Visit Philadelphia guide; current official website or attributable public social destination confirmed via linked destination.
Harriett's Bookshop,258 E. Girard Avenue,Philadelphia,PA,19125,USA,Retail & culture,Retail & culture,"books, Black women authors, events, bookshop",Philadelphia bookstore listed in the current Visit Philadelphia Black-owned shops guide.,https://www.harriettsbookshop.com/,,,,,https://www.visitphilly.com/articles/philadelphia/black-owned-shops-and-boutiques-in-philadelphia/,Visit Philadelphia,,,false,Source basis: current Visit Philadelphia guide; current official website or attributable public social destination confirmed via linked destination.
Uncle Bobbie’s Coffee & Books,5445 Germantown Avenue,Philadelphia,PA,19144,USA,Food & culture,Food & culture,"coffee, books, community events, bookstore",Community bookstore and coffee shop in Philadelphia listed in the current Visit Philadelphia guide.,https://unclebobbies.com/,,,,,https://www.visitphilly.com/articles/philadelphia/black-owned-shops-and-boutiques-in-philadelphia/,Visit Philadelphia,,,false,Source basis: current Visit Philadelphia guide; current official website or attributable public social destination confirmed via linked destination.
Rise and Ritual,1439 N. 52nd Street,Philadelphia,PA,19131,USA,Beauty & wellness,Beauty & wellness,"apothecary, herbal foot baths, ritual tea ceremonies, workshops","Wellness and apothecary space offering herbal foot baths, ritual tea ceremonies, workshops and events.",https://www.riseandritual.com/,,,,,https://www.visitphilly.com/articles/philadelphia/black-owned-shops-and-boutiques-in-philadelphia/,Visit Philadelphia,,,true,Source basis: current Visit Philadelphia guide; current official website or attributable public social destination confirmed via linked destination.
Salon A'Marie,5261 Ridge Avenue,Philadelphia,PA,19128,USA,Beauty & wellness,Beauty & wellness,"hair styling, braids, brows, lashes, body oil, scrubs","Hair, brow and lash studio offering vivid colors, braids, styling and body products.",https://www.salonamarie.com/,,,,,https://www.visitphilly.com/articles/philadelphia/black-owned-shops-and-boutiques-in-philadelphia/,Visit Philadelphia,,,true,Source basis: current Visit Philadelphia guide; current official website or attributable public social destination confirmed via linked destination.
Safi Skinsentials,4001 Main Street,Philadelphia,PA,19127,USA,Beauty & wellness,Beauty & wellness,"facials, LED therapy, microdermabrasion, chemical peels, dermaplaning","Facial studio offering customizable facials, LED therapy, microdermabrasion, chemical peels and dermaplaning.",https://www.safiskinsentials.com/,,,,,https://www.visitphilly.com/articles/philadelphia/black-owned-shops-and-boutiques-in-philadelphia/,Visit Philadelphia,,,true,Source basis: current Visit Philadelphia guide; current official website or attributable public social destination confirmed via linked destination.
Sistah Scents Fragrance Bar,1433 W. Girard Avenue,Philadelphia,PA,19130,USA,Retail & wellness,Retail & wellness,"candles, scrubs, body products, beard butter, fragrance experiences","Fragrance bar offering candles, scrubs, body products, beard butters and private experiences.",https://www.sistahscents.com/,,,,,https://www.visitphilly.com/articles/philadelphia/black-owned-shops-and-boutiques-in-philadelphia/,Visit Philadelphia,,,false,Source basis: current Visit Philadelphia guide; current official website or attributable public social destination confirmed via linked destination.
