name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
Look Better Naked Spa,"620 W Adams St, inside University of S.A.Q.",Phoenix,AZ,85003,USA,Beauty & Personal Care,spa and body care,spa|body care|skincare|inclusive wellness|esthetics,"Phoenix spa founded by Nadjege Casimir with an explicitly welcoming, inclusive approach to body confidence and care.",https://www.lookbetternakedspa.com/,,,,,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,Downtown Phoenix Inc.,Black / African American-Owned,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,false,"DTPHX names founder/CEO, address and official website. Source basis: Downtown Phoenix Inc.. Current official destination confirmed: yes."
Nail Snob Phx,400 N 2nd Ave,Phoenix,AZ,85003,USA,Beauty & Personal Care,nail salon,natural nail extensions|gel manicures|dry pedicures|nail studio,"Creative studio salon specializing in natural nail extensions, gel manicures and dry pedicures.",https://www.nailsnobphx.com/,,,,,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,Downtown Phoenix Inc.,Black / African American-Owned,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,false,"DTPHX provides address, service description and official website. Source basis: Downtown Phoenix Inc.. Current official destination confirmed: yes."
Rhema Braiding,2647 W Glendale Ave,Phoenix,AZ,85051,USA,Beauty & Personal Care,braiding salon,box braids|knotless braids|cornrows|twists|tribal braids|wig installs|kids styles|men styles,"Multi-braider Phoenix salon offering protective styles, wig installations and children’s and men’s braiding services.",https://rhema-braiding.squarespace.com/,,https://www.instagram.com/rhema.braiding.o1,https://www.facebook.com/profile.php?id=100047276911434,https://www.tiktok.com/@rhemabraiding,https://rhema-braiding.squarespace.com/,Rhema Braiding official website,,,false,"Official site lists Phoenix location, service menu and official social links; no hair-washing or color services. Source basis: Rhema Braiding official website. Current official destination confirmed: yes."
Unity Braids and Beauty,1638 S 7th St,Phoenix,AZ,85034,USA,Beauty & Personal Care,braiding and natural hair salon,box braids|knotless braids|cornrows|locs|twists|silk press|wig install|makeup|children's hairstyles,"Appointment-based Phoenix braiding and beauty salon offering extensive protective-style, natural-hair, makeup and nail/tattoo-related services.",https://unitybraidsandbeauty.acuityscheduling.com/,,,,,https://unitybraidsandbeauty.acuityscheduling.com/,Unity Braids and Beauty official booking page,,,false,Official booking page explicitly gives current Phoenix address and detailed service menu. Source basis: Unity Braids and Beauty official booking page. Current official destination confirmed: yes.
American Child Care Centers - McDowell,5933 W McDowell Rd,Phoenix,AZ,85035,USA,Children & Family,daycare and early childhood education,infant care|toddler play group|preschool|pre-K|after-school care|AZ DES provider,"Phoenix childcare center offering infant, toddler, preschool/pre-K and other early-learning programs in a play-based environment.",https://www.americanchildcarecenters.net/childcare-mcdowell-5933-w-mcdowell-rd-phoenix-az-85035,,https://www.instagram.com/americanchildcarecenters/,https://www.facebook.com/AmericanChildcareCenters/,,https://www.americanchildcarecenters.net/,American Child Care Centers official website,,,true,"Official site lists exact Phoenix location, programs and states it is a certified AZ DES Child Care provider. Source basis: American Child Care Centers official website. Current official destination confirmed: yes."
American Child Care Centers - Thomas,4715 W Thomas Rd,Phoenix,AZ,85031,USA,Children & Family,daycare and early childhood education,infant care|toddler play group|preschool|pre-K|after-school care|AZ DES provider,"Phoenix childcare center offering infant, toddler, preschool/pre-K and other early-learning programs in a play-based environment.",https://www.americanchildcarecenters.net/childcare-thomas-4715-w-thomas-rd-phoenix-az-85031,,https://www.instagram.com/americanchildcarecenters/,https://www.facebook.com/AmericanChildcareCenters/,,https://www.americanchildcarecenters.net/,American Child Care Centers official website,,,true,"Official site lists exact Phoenix location, programs and states it is a certified AZ DES Child Care provider. Source basis: American Child Care Centers official website. Current official destination confirmed: yes."
A.M. Accounting Services LLC,11811 N Tatum Blvd Ste 3031,Phoenix,AZ,85028,USA,Financial & Business Services,accounting and tax services,tax preparation|business accounting|IRS issues|consulting|financial goals,"Phoenix accounting firm serving individuals, business owners, executives and independent professionals with tax, accounting and consulting services.",https://www.amaccountingservices.com/,,,https://www.facebook.com/AM-Accounting-Services-LLC-206498636110142,,https://www.amaccountingservices.com/,A.M. Accounting Services official website,,,true,"Official site lists Phoenix address, tax preparation, business/accounting, government-issue and consulting services. Source basis: A.M. Accounting Services official website. Current official destination confirmed: yes."
Afri-Soul Education Center,1021 E Washington St,Phoenix,AZ,85034,USA,Financial & Business Services,business incubator and entrepreneur support,small business incubation|coaching|classes|workshops|affordable office space|marketplace,"BIPOC-led small-business incubator offering coaching, classes, affordable spaces, marketplace and cultural programming.",https://afri-soul.com/,,,,,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,Downtown Phoenix Inc.,,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,true,"DTPHX explicitly states BIPOC-led and lists services, address and official website. Source basis: Downtown Phoenix Inc.. Current official destination confirmed: yes."
Big Bacon's,719 E Roosevelt St,Phoenix,AZ,85006,USA,Food & Drink,soul food restaurant,Chicago soul food|fried chicken|jerk salmon|lamb chops|banana pudding|catering,Chicago-inspired home-cooked soul food restaurant with pickup ordering and catering in downtown Phoenix.,https://bigbacons.com/,,,,,https://bigbacons.com/,Big Bacon's official website,Black / African American-Owned,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,false,"Official site lists Phoenix address, menu, hours, ordering and catering; DTPHX identifies owner Adriane Harris and Black-owned listing. Source basis: Big Bacon's official website. Current official destination confirmed: yes."
Black Theatre Troupe,1333 E Washington St,Phoenix,AZ,85034,USA,Food & Drink,performing arts and theatre,theatre|live performances|cultural programming|tickets|donations,Long-running Eastlake Park performing-arts organization presenting live theatre and cultural programming.,https://www.blacktheatretroupe.org/,,https://www.instagram.com/blacktheatretroupe/,,,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,Downtown Phoenix Inc.,Black / African American-Owned,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,false,DTPHX describes its Black community history and provides official website/social and address. Source basis: Downtown Phoenix Inc.. Current official destination confirmed: yes.
Chilte,765 Grand Ave,Phoenix,AZ,85007,USA,Food & Drink,Mexican restaurant,Mexican food|global flavors|restaurant dining|catering,"Brick-and-mortar restaurant blending traditional Mexican flavors with global influences, founded by Lawrence Smith and Aseret Arroyo.",https://www.chiltephx.com/,,,,,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,Downtown Phoenix Inc.,Black / African American-Owned,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,false,"DTPHX provides founders, Phoenix address, description and official website. Source basis: Downtown Phoenix Inc.. Current official destination confirmed: yes."
Grassrootz Bookstore and Juice Bar,1145 E Washington St #200,Phoenix,AZ,85034,USA,Food & Drink,bookstore and juice bar,Black-authored books|bookstore|juice bar|coworking|community events,"Community bookstore focused on books by Black authors and the Black experience, with juice bar, coworking and event space.",https://grassrootzbookstore.com/,,,,,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,Downtown Phoenix Inc.,Black / African American-Owned,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,false,DTPHX states Ali Nervis opened the store and provides address and official website. Source basis: Downtown Phoenix Inc.. Current official destination confirmed: yes.
Latha Restaurant & Bar,628 E Adams St,Phoenix,AZ,85004,USA,Food & Drink,African diaspora restaurant and bar,African food|Brazilian food|Caribbean food|Southern food|wine|beer|spirits,"Restaurant and bar celebrating flavors of Africa and the African diaspora, with locally and responsibly sourced ingredients.",https://lathaphx.com/,,,,,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,Downtown Phoenix Inc.,Black / African American-Owned,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,false,"DTPHX Black-Owned Businesses article provides address, description and official website link. Source basis: Downtown Phoenix Inc.. Current official destination confirmed: yes."
Mrs. White's Golden Rule Cafe,808 E Jefferson St,Phoenix,AZ,85034,USA,Food & Drink,Southern soul food restaurant,fried chicken|fried catfish|smothered pork chops|home-style sides|catering,Family-run Phoenix soul food institution serving classic Southern fried meals since 1964.,https://www.mrswhitescafe.com/,,,,,https://www.mrswhitescafe.com/,Mrs. White's official website,Family-Owned,https://www.mrswhitescafe.com/,false,Official site explicitly states family-run and family-owned/operated; address and open-seven-days status are listed. Source basis: Mrs. White's official website. Current official destination confirmed: yes.
Stadium Sports Bar & Lounge,50 W Jefferson St,Phoenix,AZ,85003,USA,Food & Drink,sports bar and lounge,sports bar|tailgate experience|entertainment|drinks|community events,"CityScape sports bar and lounge focused on sports viewing, entertainment and an inviting community atmosphere.",https://stadiumphx.com/,,,,,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,Downtown Phoenix Inc.,Black / African American-Owned,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,false,DTPHX identifies owner Que Quinn and provides address and official website. Source basis: Downtown Phoenix Inc.. Current official destination confirmed: yes.
Sweet Crimes Candy Vault,114 W Adams St Suite C-106,Phoenix,AZ,85003,USA,Food & Drink,dessert and candy shop,ice cream|candy|sundaes|nostalgic candy|comfort desserts,"Micro ice-cream shop, candy store and dessert spot mash-up offering sundaes, classic candy and comfort desserts.",https://www.sweetcrimescandyvaultphx.com/,,,,,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,Downtown Phoenix Inc.,Black / African American-Owned,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,false,"DTPHX provides address, official website and named operators. Source basis: Downtown Phoenix Inc.. Current official destination confirmed: yes."
Tipsy Scoop Phoenix Barlour,355 N Central Ave Suite 102,Phoenix,AZ,85004,USA,Food & Drink,ice cream and dessert bar,boozy ice cream|ice cream|dessert|barlour,Phoenix dessert bar serving Tipsy Scoop products; DTPHX identifies local mother-daughter franchise owners.,https://tipsyscoop.com/,,,,,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,Downtown Phoenix Inc.,Black / African American-Owned,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,false,DTPHX explicitly identifies the mother-daughter owners and provides address and official brand site. Source basis: Downtown Phoenix Inc.. Current official destination confirmed: yes.
Stardust & Sage,610 E Roosevelt St Unit 136,Phoenix,AZ,85004,USA,Health & Wellness,crystal and spiritual wellness shop,crystals|oracle readings|divination|guided meditation|sound baths|herbal baths|remedies,"Roosevelt Row crystal and spiritual-wellness shop offering readings, meditation, sound baths, herbal baths and related products.",https://stardustandsage.com/,,,,,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,Downtown Phoenix Inc.,Black / African American-Owned,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,false,DTPHX identifies the shop as owned by Havana and provides address and official website. Source basis: Downtown Phoenix Inc.. Current official destination confirmed: yes.
Andy's Shoe Shine,114 W Adams St,Phoenix,AZ,85003,USA,Home & Property Services,shoe repair and care,shoe shine|stiletto repair|shoe resoling|shoe repair,"Downtown shoe-care business offering shining, repairs and resoling.",https://www.andysshoeshine.com/,,,,,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,Downtown Phoenix Inc.,Black / African American-Owned,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,true,DTPHX states the business has operated downtown for 20 years and names Andy and Grace. Source basis: Downtown Phoenix Inc.. Current official destination confirmed: yes.
Howard Air & Plumbing,13235 N Cave Creek Rd,Phoenix,AZ,85022,USA,Home & Property Services,HVAC and plumbing,HVAC repair|heating|plumbing|air quality|insulation|duct cleaning|maintenance,"Phoenix HVAC and plumbing company providing repair, maintenance, air quality, insulation and duct-cleaning services.",https://howardair.com/,,https://www.instagram.com/howard_air/,https://www.facebook.com/howardair,,https://howardair.com/,Howard Air & Plumbing official website,,,true,"Official site states Phoenix address in search listing, service categories, NATE-certified technicians and Arizona ROC licensing badge; verify address before publication. Source basis: Howard Air & Plumbing official website. Current official destination confirmed: yes."
Way Cool Plumbing & Air,2328 E Van Buren St Suite 121,Phoenix,AZ,85006,USA,Home & Property Services,"HVAC, plumbing and home performance",AC repair|HVAC replacement|tune-ups|plumbing|water heaters|repipes|energy audits|insulation,"Phoenix-grown family business providing HVAC, plumbing, home-performance audits and maintenance; official site lists Arizona ROC licenses.",https://www.callwaycool.com/,,https://www.instagram.com/callwaycool/,https://www.facebook.com/p/Way-Cool-Plumbing-Air-61560574541945/,https://www.tiktok.com/@callwaycool,https://www.callwaycool.com/,Way Cool Plumbing & Air official website,Family-Owned,https://www.callwaycool.com/,true,"Official site states family-owned since 1982, Phoenix address, services and AZ ROC #337360 plus additional ROC numbers. Source basis: Way Cool Plumbing & Air official website. Current official destination confirmed: yes."
Law Offices of William D. Black,20 E Thomas Rd Ste 2200,Phoenix,AZ,85012,USA,Legal & Government Services,civil litigation and business law,business formation|commercial litigation|mediation|probate disputes|medical malpractice|personal injury|wrongful death,"Boutique Phoenix law firm handling business, civil litigation, probate, medical malpractice and personal injury matters.",https://www.billblacklawfirm.com/,,,https://www.facebook.com/WilliamDBlackLaw,,https://www.billblacklawfirm.com/,Law Offices of William D. Black official website,,https://www.billblacklawfirm.com/,true,"Official site lists Phoenix office address, practice areas and identifies William D. Black as founder and lead attorney. Source basis: Law Offices of William D. Black official website. Current official destination confirmed: yes."
Archwood Exchange & Buy Black Marketplace,1401 E Van Buren St,Phoenix,AZ,85006,USA,Shopping & Retail,community marketplace,Buy Black marketplace|local art|jewelry|clothing|beauty products|food|vendor events,"Local collective and marketplace supporting Phoenix-based Black businesses with rotating art, apparel, beauty, food and other vendors.",https://archwoodexchange.myshopify.com/,,,,,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,Downtown Phoenix Inc.,Black / African American-Owned,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,false,"DTPHX describes the collective, marketplace mission, address and official website. Source basis: Downtown Phoenix Inc.. Current official destination confirmed: yes."
Straw & Wool,610 E Roosevelt St Unit 144,Phoenix,AZ,85004,USA,Shopping & Retail,hat shop,hats|classic hats|fashion accessories|apparel,Phoenix hat shop established in 2020 offering classic hats and style-focused retail.,https://strawandwool.com/,,,,,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,Downtown Phoenix Inc.,Black / African American-Owned,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,false,"DTPHX provides Phoenix address, description and official website link. Source basis: Downtown Phoenix Inc.. Current official destination confirmed: yes."
