name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
TeaLee’s Tea House & Bookstore,611 22nd Street,Denver,CO,80205,USA,food,tea house and bookstore,"tea, coffee, bookstore, events","Tea house and bookstore in Five Points with tea service, books and community programming.",https://www.tealeesdenverteahouse.com/,303-593-2013,,https://www.facebook.com/tealeesdenver/,,https://www.tealeesdenverteahouse.com/,Official business site,Black-owned,https://denverblackguide.com/business/tea-lees-tea-house/,false,Official site confirms current address and destination; Denver Black Guide documents Black-owned/publicly sourced listing.
Le French,4901 S. Newport St.,Denver,CO,80237,USA,food,French restaurant,"French food, breakfast, lunch, dinner, reservations","French bistro serving breakfast, lunch and dinner.",https://www.lefrenchdenver.com/,720-710-8963,https://www.instagram.com/lefrenchdenver/,,,https://www.lefrenchdenver.com/location/le-french/,Official business site,Black-owned,https://denverblackguide.com/business/le-french-restaurant/,false,Official location page confirms current Denver address and destination; Denver Black Guide documents Black-owned listing.
Novel Strand Brewing Company,305 W. 1st Avenue,Denver,CO,80223,USA,nightlife,brewery,"craft beer, taproom, food, events",Neighborhood brewery and taproom in Baker.,https://www.novelstrand.com/,720-949-0246,,,,https://www.novelstrand.com/,Official business site,Black-owned,https://denverblackguide.com/business/novel-strand-brewing/,false,Official site confirms current address and destination; Denver Black Guide documents Black-owned/publicly sourced listing.
Spangalang Brewery,2736 Welton Street,Denver,CO,80205,USA,nightlife,brewery,"craft beer, taproom, events, music",Black-owned brewery connecting craft beer with modern urban culture in Five Points.,https://www.spangalangbrewery.com/,303-297-1276,,,,https://www.spangalangbrewery.com/our-story,Official business site,Black-owned,https://www.spangalangbrewery.com/our-story,false,Official story explicitly identifies Black ownership; official contact page confirms address and destination.
Welton Street Cafe,2883 Welton Street,Denver,CO,80205,USA,food,restaurant,"Caribbean food, soul food, cafe, breakfast, lunch",Community cafe serving food with a Caribbean twist.,https://weltonstreetcafe.com/,303-296-6602,,,,https://weltonstreetcafe.com/,Official business site,,,false,"Official site confirms current address, services and destination."
Jamaican Spice and Grill,2100 Curtis Street,Denver,CO,80205,USA,food,Jamaican restaurant,"Jamaican food, grill, takeout, catering",Jamaican restaurant and grill with online ordering.,https://jamaicanspiceandgrill.toast.site/,720-919-2150,,,,https://jamaicanspiceandgrill.toast.site/,Official ordering site,,,false,"Official ordering site confirms current Denver address, phone and destination."
Jamaican Jerk and BBQ Restaurant,4611 N. Peoria Street,Denver,CO,80239,USA,food,Jamaican restaurant,"Jamaican jerk, barbecue, Caribbean food, catering",Jamaican restaurant offering jerk and barbecue dishes.,https://jamaicanjerkandbbq.com/,303-362-0929,,,,https://jamaicanjerkandbbq.com/,Official business site,,,false,Official site and menu confirm public Denver address and active destination.
Body & Soul Hair Restoration Salon and Spa,6115 E. Colfax Avenue,Denver,CO,80220,USA,beauty,hair salon and spa,"hair, nails, skin, hair restoration, natural hair","Salon and spa providing hair, nail and skin services, including services for African American clients.",https://www.denversalonandspa.com/,303-388-3339,,,,https://www.denversalonandspa.com/,Official business site,,,true,"Official site confirms current address, services and destination; regulated-profession flag for cosmetology salon services."
"The Hair & Image Studio, Inc.",101 N. Ulster Ct. #103,Denver,CO,80230,USA,beauty,multicultural hair salon,"multicultural hair, styling, appointments",Multicultural hair salon operating by appointment in Lowry.,http://thehairandimagestudio.com/,,,,,http://thehairandimagestudio.com/,Official business site,,,true,Official site confirms public Denver address and current destination; regulated-profession flag for cosmetology services.
The Shop at MATTER,2114 Market Street,Denver,CO,80205,USA,retail,bookstore and design shop,"books, design goods, letterpress, retail, events","Independent Black- and woman-owned design consultancy, letterpress workshop and bookstore.",https://www.shopatmatter.com/,,https://www.instagram.com/shopatmatter/,,,https://www.shopatmatter.com/,Official business site,Black-owned; woman-owned,https://bookshop.org/shop/shopatmatter,false,Official site confirms new current address; Bookshop profile explicitly documents Black- and woman-owned status.
