name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
Alibi Cookies,1136 Tamm Avenue,St. Louis,MO,63139,USA,food,bakery,cookies; bakery; local delivery,"Cookie bakery with in-store, shipping, local delivery, and 24/7 cookie vending machine.",https://alibicookies.com,,,,,https://stlouismom.com/guides/st-louis-mom-guide-to-black-owned-businesses/,St. Louis Mom Guide to Black-Owned Businesses,Black-owned,https://stlouismom.com/guides/st-louis-mom-guide-to-black-owned-businesses/,false,Source basis: St. Louis Mom Guide to Black-Owned Businesses; current official website or attributable public social destination confirmed in website/social field.
Ari’s Ice Cream Parlor and Cafe,5572 Natural Bridge Ave.,St. Louis,MO,,USA,food,cafe; desserts,ice cream; cakes; pies; pudding; coffee; sandwiches,"Ice cream parlor and cafe serving desserts, coffee, soups, and sandwiches.",https://www.facebook.com/Arisicecream.cafe/,,,,,https://stlouismom.com/guides/st-louis-mom-guide-to-black-owned-businesses/,St. Louis Mom Guide to Black-Owned Businesses,Black-owned,https://stlouismom.com/guides/st-louis-mom-guide-to-black-owned-businesses/,false,Source basis: St. Louis Mom Guide to Black-Owned Businesses; current official website or attributable public social destination confirmed in website/social field.
Baby Kakez,3305 Olive St.,St. Louis,MO,,USA,food,bakery,cakes; baked goods,Bakery listed by St. Louis Mom.,https://www.instagram.com/baby_kakez/,,,,,False,St. Louis Mom Guide to Black-Owned Businesses,Black-owned,https://stlouismom.com/guides/st-louis-mom-guide-to-black-owned-businesses/,false,Source basis: St. Louis Mom Guide to Black-Owned Businesses; current official website or attributable public social destination confirmed in website/social field.
Black Coffee,2701 Cherokee Street,St. Louis,MO,63118,USA,food,coffee shop,coffee; specialty coffee; farmers and roasters of color,"Coffee shop sourcing and serving coffee and highlighting farmers, roasters, and brands of color.",https://www.blackcoffee.works,,,,,https://stlouismom.com/guides/st-louis-mom-guide-to-black-owned-businesses/,St. Louis Mom Guide to Black-Owned Businesses,Black-owned,https://stlouismom.com/guides/st-louis-mom-guide-to-black-owned-businesses/,false,Source basis: St. Louis Mom Guide to Black-Owned Businesses; current official website or attributable public social destination confirmed in website/social field.
Bro Dough STL,10088 Page Ave,St. Louis,MO,63132,USA,food,bakery cafe,baked goods; beverages; soups; salads; West African fusion,"Bakery cafe offering baked goods, beverages, soups, and salads with West African flavors.",https://brodoughstl.com/,,,,,https://stlouismom.com/guides/st-louis-mom-guide-to-black-owned-businesses/,St. Louis Mom Guide to Black-Owned Businesses,Black-owned,https://stlouismom.com/guides/st-louis-mom-guide-to-black-owned-businesses/,false,Source basis: St. Louis Mom Guide to Black-Owned Businesses; current official website or attributable public social destination confirmed in website/social field.
Caked by Cherish,"701 Market St., Suite 110",St. Louis,MO,,USA,food,bakery,custom cakes; cupcakes,Custom cake and cupcake bakery.,https://www.cakedbycherish.com,,,,,https://stlouismom.com/guides/st-louis-mom-guide-to-black-owned-businesses/,St. Louis Mom Guide to Black-Owned Businesses,Black-owned,https://stlouismom.com/guides/st-louis-mom-guide-to-black-owned-businesses/,false,Source basis: St. Louis Mom Guide to Black-Owned Businesses; current official website or attributable public social destination confirmed in website/social field.
Eddie’s Southtown Donuts,4701 South Kingshighway Blvd,St. Louis,MO,63109,USA,food,donut shop,donuts; handmade baked goods,Nut-free handmade donut shop.,https://www.facebook.com/Eddies-Southtown-Donuts-366880101885/,,,,,https://stlouismom.com/guides/st-louis-mom-guide-to-black-owned-businesses/,St. Louis Mom Guide to Black-Owned Businesses,Black-owned,https://stlouismom.com/guides/st-louis-mom-guide-to-black-owned-businesses/,false,Source basis: St. Louis Mom Guide to Black-Owned Businesses; current official website or attributable public social destination confirmed in website/social field.
Heaven’s Creamery,10835 West Florissant,St. Louis,MO,63136,USA,food,ice cream,ice cream; desserts,St. Louis area ice cream shop.,https://www.facebook.com/profile.php?id=100089487331206,,,,,https://stlouismom.com/guides/st-louis-mom-guide-to-black-owned-businesses/,St. Louis Mom Guide to Black-Owned Businesses,Black-owned,https://stlouismom.com/guides/st-louis-mom-guide-to-black-owned-businesses/,false,Source basis: St. Louis Mom Guide to Black-Owned Businesses; current official website or attributable public social destination confirmed in website/social field.
Koffee Ko,1280 St Cyr Road,St. Louis,MO,63137,USA,food,cafe,tea; latte; espresso; frappes; hot chocolate; pastries,"Cafe offering coffee drinks, tea, hot chocolate, and pastries.",https://www.thekoffeeko.com,,,,,https://stlouismom.com/guides/st-louis-mom-guide-to-black-owned-businesses/,St. Louis Mom Guide to Black-Owned Businesses,Black-owned,https://stlouismom.com/guides/st-louis-mom-guide-to-black-owned-businesses/,false,Source basis: St. Louis Mom Guide to Black-Owned Businesses; current official website or attributable public social destination confirmed in website/social field.
4 Hens Creole Kitchen,3730 Foundry Way,St. Louis,MO,63110,USA,food,restaurant,Creole cuisine; prepared meals,Creole kitchen and restaurant.,https://www.4henscreolekitchen.com,,,,,https://stlouismom.com/guides/st-louis-mom-guide-to-black-owned-businesses/,St. Louis Mom Guide to Black-Owned Businesses,Black-owned,https://stlouismom.com/guides/st-louis-mom-guide-to-black-owned-businesses/,false,Source basis: St. Louis Mom Guide to Black-Owned Businesses; current official website or attributable public social destination confirmed in website/social field.
