name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
Byrd Barr Place,722 18th Avenue,Seattle,WA,98122,USA,faith/community,social services,food assistance housing assistance financial relief Seattle,"Human services and advocacy including food, housing and immediate financial relief.",https://byrdbarrplace.org/,206-812-4940,https://www.instagram.com/byrdbarrplace/,,,https://urbanleague.org/black-business-directory/,Urban League of Metropolitan Seattle Black Business Directory,Black-owned (directory-listed),https://urbanleague.org/black-business-directory/,false,Source basis: current Urban League/NAAM directory listing with public street address and attributable destination; current official website or public social destination confirmed.
Nurturing Roots,6218 Beacon Ave. S.,Seattle,WA,98108,USA,food,urban farm education,community farming youth gardening healthy food Seattle,Community farming program educating youth and community members on healthy food choices.,http://nurturingrootsfarm.org/,206-402-9233,https://www.instagram.com/NurturingRootsFarm/,,,https://urbanleague.org/black-business-directory/,Urban League of Metropolitan Seattle Black Business Directory,Black-owned (directory-listed),https://urbanleague.org/black-business-directory/,false,Source basis: current Urban League/NAAM directory listing with public street address and attributable destination; current official website or public social destination confirmed.
Rainier Beach Action Coalition,9013 MLK Jr. Way S.,Seattle,WA,98118,USA,faith/community,community development,affordable housing transportation education jobs Rainier Beach,"Black-led grassroots organization promoting education, living-wage jobs, affordable transportation and housing.",https://www.rbcoalition.org/,206-420-1010,https://www.instagram.com/rainierbeachac/,,,https://urbanleague.org/black-business-directory/,Urban League of Metropolitan Seattle Black Business Directory,Black-led,https://urbanleague.org/black-business-directory/,false,Source basis: current Urban League/NAAM directory listing with public street address and attributable destination; current official website or public social destination confirmed.
Africatown Center for Education & Innovation,3100 S Alaska St,Seattle,WA,98108,USA,child care/education,education enrichment,culturally responsive learning academic achievement African American students,Culturally responsive learning community supporting African American students.,http://www.africatowncenter.org/,206-519-0721,https://www.instagram.com/africatowncenter/,,,https://urbanleague.org/black-business-directory/,Urban League of Metropolitan Seattle Black Business Directory,Black-owned (directory-listed),https://urbanleague.org/black-business-directory/,true,Source basis: current Urban League/NAAM directory listing with public street address and attributable destination; current official website or public social destination confirmed.
Arts Corp,"4408 Delridge Way SW, Suite #110",Seattle,WA,98106,USA,culture,arts education,youth arts education dance music poetry leadership,"Youth arts education, curriculum development, dance, music, poetry and leadership development.",https://artscorps.org/,206-569-8175,,,,https://urbanleague.org/black-business-directory/,Urban League of Metropolitan Seattle Black Business Directory,Black-owned (directory-listed),https://urbanleague.org/black-business-directory/,true,Source basis: current Urban League/NAAM directory listing with public street address and attributable destination; current official website or public social destination confirmed.
Hope Academy,9421 18th Ave SW,Seattle,WA,98168,USA,child care/education,school,East African immigrant refugee private school Seattle,Community-based private school serving East-African immigrant/refugee students.,https://ourhope.us/,206-438-1778,,,,https://urbanleague.org/black-business-directory/,Urban League of Metropolitan Seattle Black Business Directory,Black-owned (directory-listed),https://urbanleague.org/black-business-directory/,true,Source basis: current Urban League/NAAM directory listing with public street address and attributable destination; current official website or public social destination confirmed.
BlessedHands by Kendra,"5701 Rainier Ave S, Ste G",Seattle,WA,98118,USA,beauty,braiding salon,braids weaves locs press trims extensions,"Salon specializing in braids, weaves, locs, press, trims and extensions.",https://www.vagaro.com/kendrablessedhands,206-276-8603,https://www.instagram.com/blessedhandsbykendra/,,,https://urbanleague.org/black-business-directory/,Urban League of Metropolitan Seattle Black Business Directory,Black-owned (directory-listed),https://urbanleague.org/black-business-directory/,true,Source basis: current Urban League/NAAM directory listing with public street address and attributable destination; current official website or public social destination confirmed.
Earl's Cuts & Styles Barbershop,2320 E. Union St.,Seattle,WA,98122,USA,beauty,barbershop,barber haircut Central District Seattle,Central District barbershop offering haircuts and barber services.,https://earlsbarbershop.com/,206-322-2687,https://www.instagram.com/therealearlscutsnstyles/,,,https://urbanleague.org/black-business-directory/,Urban League of Metropolitan Seattle Black Business Directory,Black-owned (directory-listed),https://urbanleague.org/black-business-directory/,true,Source basis: current Urban League/NAAM directory listing with public street address and attributable destination; current official website or public social destination confirmed.
Legacy Hair & Beauty Supply,5719 Rainier Ave S,Seattle,WA,98118,USA,beauty,beauty supply,Black hair care products skincare accessories Seattle,"Community-driven shop offering hair, skincare, accessories and beauty products.",https://legacyhairandbeautysupply.us/,253-294-4376,https://www.instagram.com/legacyhairandbeautysupply/,,,https://urbanleague.org/black-business-directory/,Urban League of Metropolitan Seattle Black Business Directory,Black-owned (directory-listed),https://urbanleague.org/black-business-directory/,false,Source basis: current Urban League/NAAM directory listing with public street address and attributable destination; current official website or public social destination confirmed.
Life's Salon,7629 Rainier Ave S,Seattle,WA,98118,USA,beauty,hair salon,natural hair styling extensions coloring treatments Seattle,"Hair care, styling, extensions, coloring and treatments for natural and processed hair.",https://www.lifessalon.com/,206-723-3432,https://www.instagram.com/reignofstyleseattle/,,,https://urbanleague.org/black-business-directory/,Urban League of Metropolitan Seattle Black Business Directory,Black-owned (directory-listed),https://urbanleague.org/black-business-directory/,true,Source basis: current Urban League/NAAM directory listing with public street address and attributable destination; current official website or public social destination confirmed.
QueenCare Products,2315 South Jackson St,Seattle,WA,98144,USA,beauty,skin care products,aromatherapy skincare natural ingredients Seattle,Handcrafted skincare products using aromatherapy and natural ingredients.,https://www.queencareproducts.com/,425-200-4027,https://www.instagram.com/QueenCareProducts_1/,,,https://www.naamnw.org/naam-black-business-directory,Northwest African American Museum Black Business Directory,Black-owned (NAAM directory-listed),https://www.naamnw.org/naam-black-business-directory,false,Source basis: current Urban League/NAAM directory listing with public street address and attributable destination; current official website or public social destination confirmed.
The Story at The Sorrento Hotel,900 Madison St,Seattle,WA,98104,USA,beauty,hair and skincare,haircare skincare First Hill Seattle,Haircare and skincare services for the hotel and surrounding community.,http://thestoryatthesorrento.com/,206-255-1441,https://www.instagram.com/thestoryatthe_sorrento/,,,https://urbanleague.org/black-business-directory/,Urban League of Metropolitan Seattle Black Business Directory,Black-owned (directory-listed),https://urbanleague.org/black-business-directory/,true,Source basis: current Urban League/NAAM directory listing with public street address and attributable destination; current official website or public social destination confirmed.
Brain and Body Recess,"3820 S Ferdinand St, #201A",Seattle,WA,98118,USA,health,holistic wellness,integrative mind body wellness Seattle,Holistic wellness studio providing integrative mind-body care.,http://www.brainandbodyrecess.com,206-420-2779,https://www.instagram.com/bbrecess/,,,https://urbanleague.org/black-business-directory/,Urban League of Metropolitan Seattle Black Business Directory,Black-owned (directory-listed),https://urbanleague.org/black-business-directory/,true,Source basis: current Urban League/NAAM directory listing with public street address and attributable destination; current official website or public social destination confirmed.
