name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
Nail Therapy Beauty Boutique,804 S. Las Vegas Blvd,Las Vegas,NV,89101,USA,beauty,nail salon,gel x nails; manicures; waxing; facials,"Full-service nail salon specializing in Gel X, with skincare services from an in-house esthetician.",https://www.instagram.com/nailtherapybeautyboutique/,,https://www.instagram.com/nailtherapybeautyboutique/,,,https://www.lasvegasnevada.gov/News/Blog/Detail/three-black-owned-businesses-in-downtown-las-vegas,City of Las Vegas,Black-owned,https://www.lasvegasnevada.gov/News/Blog/Detail/three-black-owned-businesses-in-downtown-las-vegas,false,City profile documents owner Chrinish “Cree” Finks and address; current official Instagram destination supplied.
Tofu Tees,"1028 Fremont St., Unit 109",Las Vegas,NV,89101,USA,retail,apparel and accessories,t-shirts; accessories; youth fashion; community events,T-shirt and accessory shop with curated goods and youth-centered community events.,https://www.instagram.com/tofutees/,,https://www.instagram.com/tofutees/,,,https://www.lasvegasnevada.gov/News/Blog/Detail/three-black-owned-businesses-in-downtown-las-vegas,City of Las Vegas,Black-owned,https://www.lasvegasnevada.gov/News/Blog/Detail/three-black-owned-businesses-in-downtown-las-vegas,false,City profile documents owner Kumei Norwood and address; current official Instagram destination supplied.
Soul Foo Young,1216 W Owens Ave,Las Vegas,NV,89106,USA,food,restaurant,Chinese soul food; fried chicken; veggie fried rice; takeout; delivery,Chinese Soul Food fusion restaurant offering takeout and delivery.,https://soulfooyoung.com/,,,,,https://www.lasvegasnevada.gov/News/Blog/Detail/three-black-owned-businesses-in-downtown-las-vegas,City of Las Vegas,Black-owned,https://www.lasvegasnevada.gov/News/Blog/Detail/three-black-owned-businesses-in-downtown-las-vegas,false,"City profile documents owner Artisha Hall, address and restaurant services; current official website destination supplied."
"Nevada State Museum, Las Vegas",309 S. Valley View Blvd,Las Vegas,NV,89107,USA,culture,museum,Nevada history; exhibitions; Black history education; traveling trunks,"Public museum with Nevada history exhibitions and educational programming, including Black History traveling trunk materials.",https://www.lasvegasnvmuseum.org/,,,,,https://www.lasvegasnvmuseum.org/the-green-book/,Nevada State Museum | Las Vegas,,,false,Official museum page confirms current location and public programming; current official website confirmed.
Urban Chamber of Commerce of Las Vegas,"1951 Stella Lake Street, Suite 26",Las Vegas,NV,89106,USA,faith/community,business chamber,business advocacy; networking; economic development; small business support,"Chamber supporting Las Vegas business networking, advocacy and economic development.",https://www.urbanchamber.org/,,,,,https://www.urbanchamber.org/small-business-academy,Urban Chamber of Commerce of Las Vegas,,,false,Official chamber page confirms Las Vegas address and current programs; current official website confirmed.
University Medical Center of Southern Nevada,1800 W Charleston Blvd,Las Vegas,NV,89102,USA,health,hospital,emergency care; hospital; trauma; specialty care,Public academic medical center and hospital serving Southern Nevada.,https://umcsn.com/,,,,,https://umcsn.com/contact-us/,University Medical Center of Southern Nevada,,,true,Official health-system website and contact destination; current official website confirmed.
Southern Nevada Adult Mental Health Services,6161 W Charleston Blvd,Las Vegas,NV,89146,USA,health,mental health,adult mental health; behavioral health; crisis services,Public behavioral-health service provider for adult mental health needs.,https://dpbh.nv.gov/,,,,,https://dpbh.nv.gov/Programs/ClinicalBH/Clinical_Behavioral_Health/,Nevada Division of Public and Behavioral Health,,,true,Official Nevada agency destination; current official website confirmed.
UNLV School of Dental Medicine,1001 Shadow Lane,Las Vegas,NV,89106,USA,dental,dental school clinic,general dentistry; dental clinic; oral health education,Dental school with patient-care clinic and oral-health education.,https://www.unlv.edu/dental/clinics,,,,,https://www.unlv.edu/dental/clinics,UNLV School of Dental Medicine,,,true,Official UNLV clinic page confirms public address and patient clinic destination; current official website confirmed.
Legal Aid Center of Southern Nevada,725 E Charleston Blvd,Las Vegas,NV,89104,USA,legal,legal aid,civil legal aid; housing law; family law; consumer protection,Nonprofit civil legal-aid provider serving Southern Nevada residents.,https://www.lacsn.org/,,,,,https://www.lacsn.org/,Legal Aid Center of Southern Nevada,,,true,Official organization website; current official website confirmed.
Nevada HAND,"295 E. Reno Ave., Suite B",Las Vegas,NV,89119,USA,housing,affordable housing,affordable housing; senior housing; resident services,Nonprofit affordable-housing developer and provider with resident services.,https://nevadahand.org/,,,,,https://nevadahand.org/contact/,Nevada HAND,,,true,Official nonprofit contact destination; current official website confirmed.
Nevada 211,3400 W Desert Inn Rd,Las Vegas,NV,89102,USA,faith/community,social services navigation,housing assistance; food assistance; health and human services referrals,Statewide resource navigation service connecting residents to health and human services.,https://www.nevada211.org/,,,,,https://www.nevada211.org/,Nevada 211,,,false,Official service website; address is public administrative location and destination confirmed.
RTC of Southern Nevada Bonneville Transit Center,101 E Bonneville Ave,Las Vegas,NV,89101,USA,transportation,public transit,bus routes; transit passes; paratransit; trip planning,Public transit customer center and hub for bus and mobility services.,https://www.rtcsnv.com/,,,,,https://www.rtcsnv.com/transit/,Regional Transportation Commission of Southern Nevada,,,false,Official RTC website and transit destination; current official website confirmed.
Las Vegas-Clark County Library District West Las Vegas Library,951 W Lake Mead Blvd,Las Vegas,NV,89106,USA,faith/community,public library,books; internet access; youth programs; literacy; community rooms,"Public library branch offering free information, technology, youth and community services.",https://lvccld.org/locations/west-las-vegas-library/,,,,,https://lvccld.org/locations/west-las-vegas-library/,Las Vegas-Clark County Library District,,,false,Official library location page confirms address and services; current official website confirmed.
West Las Vegas Arts Center,947 W Lake Mead Blvd,Las Vegas,NV,89106,USA,culture,arts center,visual arts; performing arts; classes; exhibitions; cultural programs,"City arts center providing classes, exhibitions and cultural programming.",https://www.lasvegasnevada.gov/Residents/Parks-Facilities/Facilities/West-Las-Vegas-Arts-Center,,,,,https://www.lasvegasnevada.gov/Residents/Parks-Facilities/Facilities/West-Las-Vegas-Arts-Center,City of Las Vegas,,,false,Official City facility page; current official website confirmed.
Doolittle Community Center,195 E K St,Las Vegas,NV,89106,USA,recreation,community center,youth programs; sports; fitness; classes; community events,"City community center with recreation, youth and neighborhood programming.",https://www.lasvegasnevada.gov/Residents/Parks-Facilities/Facilities/Doolittle-Community-Center,,,,,https://www.lasvegasnevada.gov/Residents/Parks-Facilities/Facilities/Doolittle-Community-Center,City of Las Vegas,,,false,Official City facility page; current official website confirmed.
Las Vegas Senior Center,451 E Bonanza Rd,Las Vegas,NV,89101,USA,elder care,senior center,senior activities; meals; wellness; social programs,"City senior center providing activities, wellness and social services for older adults.",https://www.lasvegasnevada.gov/Residents/Parks-Facilities/Facilities/Las-Vegas-Senior-Center,,,,,https://www.lasvegasnevada.gov/Residents/Parks-Facilities/Facilities/Las-Vegas-Senior-Center,City of Las Vegas,,,true,Official City facility page; current official website confirmed.
First African Methodist Episcopal Church Las Vegas,245 W Van Buren Ave,Las Vegas,NV,89106,USA,faith/community,church,worship; prayer; youth ministry; community outreach,Historic African Methodist Episcopal congregation offering worship and community ministries.,https://www.famechurchlv.org/,,,,,https://www.famechurchlv.org/,First AME Church Las Vegas,African American faith institution,https://www.famechurchlv.org/,false,Official church destination; current official website confirmed.
Las Vegas Rescue Mission,480 W Bonanza Rd,Las Vegas,NV,89106,USA,other essentials,homeless services,shelter; meals; clothing; recovery; outreach,"Nonprofit providing meals, shelter and supportive services for people experiencing homelessness.",https://vegasrescue.org/,,,,,https://vegasrescue.org/,Las Vegas Rescue Mission,,,false,Official nonprofit website; current official website confirmed.
Goodwill of Southern Nevada - Main Campus,3011 N Rainbow Blvd,Las Vegas,NV,89108,USA,retail,thrift and workforce services,thrift store; donations; job training; employment services,Nonprofit thrift retail and workforce-development provider.,https://goodwillvegas.org/,,,,,https://goodwillvegas.org/,Goodwill of Southern Nevada,,,false,Official organization destination; current official website confirmed.
