name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
Harlem YMCA,180 W 135th St,New York,NY,10030,USA,child care/education,community center,child care youth programs fitness,YMCA community center serving Harlem families and youth,https://www.ymcanyc.org/harlem,,,,,https://www.ymcanyc.org/harlem,Official organization/business website,,,false,Source basis: official public website; current official destination confirmed.
Harlem Children’s Zone,35 E 125th St,New York,NY,10035,USA,child care/education,family services,early childhood education after school family support,Harlem nonprofit providing education and family support services,https://hcz.org,,,,,https://hcz.org,Official organization/business website,,,true,Source basis: official public website; current official destination confirmed.
Drew Hamilton Early Childhood Education Center,2698 Frederick Douglass Blvd,New York,NY,10039,USA,child care/education,early childhood,preschool child care education,Early childhood education center in Harlem,https://www.nyc.gov/site/acs/early-care/findchildcare.page,,,,,https://www.nyc.gov/site/acs/early-care/findchildcare.page,Official organization/business website,,,true,Source basis: official public website; current official destination confirmed.
The Riverside Church Nursery School,490 Riverside Dr,New York,NY,10027,USA,child care/education,preschool,preschool early education,Preschool program operated by Riverside Church,https://www.trcnyc.org,,,,,https://www.trcnyc.org,Official organization/business website,,,true,Source basis: official public website; current official destination confirmed.
Friends of Crown Heights,671 Prospect Pl,New York,NY,11216,USA,child care/education,education nonprofit,youth education tutoring enrichment,Community education and youth organization,https://friendsofch.org,,,,,https://friendsofch.org,Official organization/business website,,,true,Source basis: official public website; current official destination confirmed.
Bedford-Stuyvesant YMCA,1121 Bedford Ave,New York,NY,11216,USA,child care/education,community center,child care youth programs fitness,YMCA community center serving Bed-Stuy,https://www.ymcanyc.org/bed-stuy,,,,,https://www.ymcanyc.org/bed-stuy,Official organization/business website,,,false,Source basis: official public website; current official destination confirmed.
Brooklyn Kindergarten Society,545 E 40th St,New York,NY,11203,USA,child care/education,early childhood,pre-k preschool family services,Brooklyn nonprofit early childhood education provider,https://www.bksny.org,,,,,https://www.bksny.org,Official organization/business website,,,true,Source basis: official public website; current official destination confirmed.
The Door,121 Avenue of the Americas,New York,NY,10013,USA,child care/education,youth services,youth health education job training,Youth development organization with education and health services,https://www.door.org,,,,,https://www.door.org,Official organization/business website,,,true,Source basis: official public website; current official destination confirmed.
CAMBA,1720 Church Ave,New York,NY,11226,USA,child care/education,social services,family support youth education housing,Brooklyn nonprofit providing family and community services,https://www.camba.org,,,,,https://www.camba.org,Official organization/business website,,,true,Source basis: official public website; current official destination confirmed.
Bronx Community College,2155 University Ave,New York,NY,10453,USA,child care/education,higher education,college adult education workforce,Public community college in the Bronx,https://www.bcc.cuny.edu,,,,,https://www.bcc.cuny.edu,Official organization/business website,,,true,Source basis: official public website; current official destination confirmed.
