name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
The Seafood Bistro,1651 Perry Hill Rd,Montgomery,AL,36109,USA,food,restaurant,"seafood, Creole, Cajun, dine-in",Creole and Cajun seafood restaurant.,https://www.theseafoodbistro.com,,https://www.instagram.com/the_seafood_bistro/,https://www.facebook.com/TheSeafoodBistro/,,https://blackrestaurantweeks.com/brw-campaigns/the-seafood-bistro/,Black Restaurant Week,,,false,"Source basis: Black Restaurant Week public directory/listing states the business name, Montgomery street address and service description. Current official destination confirmed: yes."
Island Delight at Dexter,36 Dexter Ave #104,Montgomery,AL,36104,USA,food,Caribbean restaurant,"Caribbean food, lunch, dine-in",Caribbean restaurant.,https://www.islanddelightcaribbeanrestaurant.com,,,https://www.facebook.com/IslandDelightatDexter/,,https://blackrestaurantweeks.com/brw-campaigns/island-delight-at-dexter/,Black Restaurant Week,,,false,"Source basis: Black Restaurant Week public directory/listing states the business name, Montgomery street address and service description. Current official destination confirmed: yes."
Potz And Panz Gourmet Cafe LLC,2547 Lower Wetumpka Rd,Montgomery,AL,36110,USA,food,soul food restaurant,"soul food, breakfast, lunch, cafe",Soul food cafe.,https://potzandpanzgourmetcafe.com,,,,,https://blackrestaurantweeks.com/brw-campaigns/potz-and-panz-gourmet-cafe-llc/,Black Restaurant Week,,,false,"Source basis: Black Restaurant Week public directory/listing states the business name, Montgomery street address and service description. Current official destination confirmed: yes."
Montgomery Museum of Fine Arts,1 Museum Dr,Montgomery,AL,36117,USA,culture,art museum,"art exhibits, ARTWORKS, art camps, studio programs",Art museum with family exhibits and art programs.,http://www.mmfa.org/,(334) 625-4333,,,,https://knowthecommunity.com/blog/business/montgomery-museum-of-fine-arts/,Know the Community,,,false,"Source basis: Know the Community public directory/listing states the business name, Montgomery street address and service description. Current official destination confirmed: yes."
Montgomery Zoo,2301 Coliseum Parkway,Montgomery,AL,36110,USA,recreation,zoo,"zoo, wildlife museum, train ride, sky lift","42-acre zoological facility with wildlife museum, rides and attractions.",https://www.montgomeryzoo.com/,(334) 625-4900,,,,https://knowthecommunity.com/blog/business/montgomery-zoo/,Know the Community,,,false,"Source basis: Know the Community public directory/listing states the business name, Montgomery street address and service description. Current official destination confirmed: yes."
First Baptist Montgomery,305 S Perry St,Montgomery,AL,36104,USA,faith/community,church,"Christian worship, ministry, fellowship, community care",Christian church and ministry serving people of all backgrounds.,https://www.montgomeryfbc.org,(334) 834-6310,,,,https://knowthecommunity.com/blog/business/first-baptist/,Know the Community,,,false,"Source basis: Know the Community public directory/listing states the business name, Montgomery street address and service description. Current official destination confirmed: yes."
Dentistry For Children,7047 Halcyon Summit Drive,Montgomery,AL,36117,USA,dental,pediatric dentistry,"infant dental care, children, teens, special needs dentistry","Full-service pediatric dental office for infants, children, teens and individuals with special needs.",https://chew-chewtrain.com,(334) 277-6830,,,,https://knowthecommunity.com/blog/business/dentistry-for-children/,Know the Community,,,true,"Source basis: Know the Community public directory/listing states the business name, Montgomery street address and service description. Current official destination confirmed: yes."
Dentists 4 Children,7015 Halcyon Park Dr,Montgomery,AL,36117,USA,dental,pediatric dentistry,"children dental care, pediatric dentistry",Pediatric dental practice focused on quality care and comfortable visits for children.,https://www.dentists4children.com,(334) 284-1100,,,,https://knowthecommunity.com/blog/business/pediatric-adolescent-dentistry/,Know the Community,,,true,"Source basis: Know the Community public directory/listing states the business name, Montgomery street address and service description. Current official destination confirmed: yes."
Iron Gate Real Estate,2857 Zelda Rd,Montgomery,AL,36106,USA,housing,real estate brokerage,"real estate, home buying, home selling, agents",Locally owned real estate brokerage serving the Tri-County area.,https://houseandhome.house,(334) 324-3175,,,,https://knowthecommunity.com/blog/business/iron-gate-real-estate/,Know the Community,,,true,"Source basis: Know the Community public directory/listing states the business name, Montgomery street address and service description. Current official destination confirmed: yes."
Georgia Floors Direct,1965 Eastern Boulevard,Montgomery,AL,36117,USA,home/HVAC,flooring retailer,"flooring, carpet, financing, home improvement",Flooring retailer with inventory across flooring types and financing options.,https://www.gafloorsdirect.com/,(334) 679-7213,,,,https://knowthecommunity.com/blog/business/georgia-floors-direct/,Know the Community,,,false,"Source basis: Know the Community public directory/listing states the business name, Montgomery street address and service description. Current official destination confirmed: yes."
AIM Academy,530 Antioch Lane,Montgomery,AL,36117,USA,child care/education,child care and preschool,"infants, toddlers, preschool, pre-K, before-school, after-school, summer camp","Early care and preschool education for babies through young children, plus programs for ages 5–12.",https://youraimacademy.com/,(334) 509-4225,,,,https://knowthecommunity.com/blog/business/aim-academy/,Know the Community,,,true,"Source basis: Know the Community public directory/listing states the business name, Montgomery street address and service description. Current official destination confirmed: yes."
Know the Community,6719 Taylor Cir,Montgomery,AL,36117,USA,faith/community,community directory,"local business directory, Montgomery resources",Local guide and business directory for Montgomery and the River Region.,https://knowthecommunity.com,(334) 578-7810,https://www.instagram.com/knowthecommunity/,https://www.facebook.com/KnowTheCommunity,,https://knowthecommunity.com/business-directory/,Know the Community,,,false,"Source basis: Know the Community public directory/listing states the business name, Montgomery street address and service description. Current official destination confirmed: yes."
