name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
"Ashé Cultural Arts Center/Efforts of Grace, Inc.",1712 Oretha Castle Haley Blvd,New Orleans,LA,70113,USA,culture,arts and cultural center,arts exhibitions cultural programs community events,Cultural arts center and community organization listed in StayLocal’s Black-Owned Directory.,https://www.staylocal.org/blackowned#!biz/id/63c87c1b540ac045557acf74,504-569-9070,,,,https://www.staylocal.org/blackowned,StayLocal Black-Owned Directory,Black-owned,https://www.staylocal.org/blackowned,false,Source basis: current StayLocal Black-Owned Directory entry; current public directory destination and address confirmed. This is not a Kinfolk verification.
Backatown Coffee Parlour,301 Basin St #1,New Orleans,LA,70112,USA,food,coffee shop,coffee espresso pastries cafe,Coffee shop listed in StayLocal’s Black-Owned Directory.,https://www.staylocal.org/blackowned#!biz/id/63cae67d017dfd56e93ec4e5,504-372-4442,,,,https://www.staylocal.org/blackowned,StayLocal Black-Owned Directory,Black-owned,https://www.staylocal.org/blackowned,false,Source basis: current StayLocal Black-Owned Directory entry; current public directory destination and address confirmed. This is not a Kinfolk verification.
Baroness on Baronne,339 Baronne St,New Orleans,LA,70112,USA,nightlife,bar and lounge,cocktails bar lounge nightlife,Bar and lounge listed in StayLocal’s Black-Owned Directory.,https://www.staylocal.org/blackowned#!biz/id/63c87c1c540ac045557acfaa,504-522-8664,,,,https://www.staylocal.org/blackowned,StayLocal Black-Owned Directory,Black-owned,https://www.staylocal.org/blackowned,false,Source basis: current StayLocal Black-Owned Directory entry; current public directory destination and address confirmed. This is not a Kinfolk verification.
Bayouland Production,5745 Pasteur Blvd,New Orleans,LA,70122,USA,culture,production services,video production media production events,Production company listed in StayLocal’s Black-Owned Directory.,https://www.staylocal.org/blackowned#!biz/id/63c87c1c540ac045557acfb9,504-205-8179,,,,https://www.staylocal.org/blackowned,StayLocal Black-Owned Directory,Black-owned,https://www.staylocal.org/blackowned,false,Source basis: current StayLocal Black-Owned Directory entry; current public directory destination and address confirmed. This is not a Kinfolk verification.
Bean's Formal Wear,4900 Freret St,New Orleans,LA,70115,USA,retail,formalwear,formal wear tuxedos suits clothing rentals,Formalwear retailer listed in StayLocal’s Black-Owned Directory.,https://www.staylocal.org/blackowned#!biz/id/63c87c1c540ac045557acfbe,504-891-4675,,,,https://www.staylocal.org/blackowned,StayLocal Black-Owned Directory,Black-owned,https://www.staylocal.org/blackowned,false,Source basis: current StayLocal Black-Owned Directory entry; current public directory destination and address confirmed. This is not a Kinfolk verification.
"CAG, LLC",1433 N. Claiborne Ave,New Orleans,LA,70116,USA,home,contracting and services,home services construction contracting,Home-services company listed in StayLocal’s Black-Owned Directory.,https://www.staylocal.org/blackowned#!biz/id/63c990bd6d803b00d94e926f,504-569-9000,,,,https://www.staylocal.org/blackowned,StayLocal Black-Owned Directory,Black-owned,https://www.staylocal.org/blackowned,true,Source basis: current StayLocal Black-Owned Directory entry; current public directory destination and address confirmed. This is not a Kinfolk verification.
Charbonnet Funeral Home,1615 St. Philip St,New Orleans,LA,70116,USA,elder care,funeral services,funeral home cremation memorial services,Funeral home listed in StayLocal’s Black-Owned Directory.,https://www.staylocal.org/blackowned#!biz/id/63c87c1f540ac045557ad099,504-581-4411,,,,https://www.staylocal.org/blackowned,StayLocal Black-Owned Directory,Black-owned,https://www.staylocal.org/blackowned,false,Source basis: current StayLocal Black-Owned Directory entry; current public directory destination and address confirmed. This is not a Kinfolk verification.
"Claude Bean's Body Shop, Inc.",2110 Poland Ave,New Orleans,LA,70117,USA,transportation,auto body repair,auto body collision repair vehicle repair,Auto body repair shop listed in StayLocal’s Black-Owned Directory.,https://www.staylocal.org/blackowned#!biz/id/63c87c20540ac045557ad0c8,504-945-9726,,,,https://www.staylocal.org/blackowned,StayLocal Black-Owned Directory,Black-owned,https://www.staylocal.org/blackowned,true,Source basis: current StayLocal Black-Owned Directory entry; current public directory destination and address confirmed. This is not a Kinfolk verification.
Clouds & Cocktails,2929 Tulane Ave,New Orleans,LA,70119,USA,nightlife,bar,cocktails bar social venue,Cocktail bar listed in StayLocal’s Black-Owned Directory.,https://www.staylocal.org/blackowned#!biz/id/642b64478dc3ee012d7e00e7,504-535-4535,,,,https://www.staylocal.org/blackowned,StayLocal Black-Owned Directory,Black-owned,https://www.staylocal.org/blackowned,false,Source basis: current StayLocal Black-Owned Directory entry; current public directory destination and address confirmed. This is not a Kinfolk verification.
Community Book Center,2523 Bayou Road,New Orleans,LA,70119,USA,culture,bookstore,books African American literature children books community events,Bookstore and community resource listed in StayLocal’s Black-Owned Directory.,https://www.staylocal.org/blackowned#!biz/id/63c87c21540ac045557ad0e1,504-948-7323,,,,https://www.staylocal.org/blackowned,StayLocal Black-Owned Directory,Black-owned,https://www.staylocal.org/blackowned,false,Source basis: current StayLocal Black-Owned Directory entry; current public directory destination and address confirmed. This is not a Kinfolk verification.
