name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
Black Business Pittsburgh,"307 Fourth Avenue, Suite 1000",Pittsburgh,PA,15222,USA,faith/community,business support,Black business support economic empowerment resources,Economic development and resource organization supporting Black-owned businesses in Pittsburgh.,https://blackbusinesspittsburgh.org/,(412) 983-0912,,https://www.facebook.com/blackbusinesspittsburgh,,https://blackbusinesspittsburgh.org/directory/,Black Business Pittsburgh directory,Black-owned,https://blackbusinesspittsburgh.org/,false,Source basis: Black Business Pittsburgh directory; current official destination confirmed: yes.
African American Chamber of Commerce of Western Pennsylvania,"436 Seventh Avenue, Suite 2220",Pittsburgh,PA,15219,USA,faith/community,chamber/business support,business advocacy networking technical assistance,Chamber serving African American businesses and professionals in Western Pennsylvania.,https://aaccwp.com/,(412) 392-0610,,https://www.facebook.com/61578755597728/,,https://aaccwp.com/,AACCWP official site,African American-owned/led organization,https://aaccwp.com/,false,Source basis: AACCWP official site; current official destination confirmed: yes.
POISE Foundation,"603 Stanwix Street, Suite 1700",Pittsburgh,PA,15222,USA,faith/community,community foundation,grantmaking Black community philanthropy nonprofit,Foundation focused on philanthropy and sustainable Black community development.,https://poisefoundation.org/,(412) 281-4967,,,,https://poisefoundation.org/sustainable-black-community/,POISE Foundation official site,,,false,Source basis: POISE Foundation official site; current official destination confirmed: yes.
August Wilson African American Cultural Center,980 Liberty Avenue,Pittsburgh,PA,15222,USA,culture,arts center,African American culture exhibitions theater events education,"Cultural center presenting African American arts, theater, exhibitions and programs.",https://aacc-awc.org/,,,,,https://aacc-awc.org/,Official cultural-center site,,,false,Source basis: Official cultural-center site; current official destination confirmed: yes.
Kelly Strayhorn Theater,5941 Penn Avenue,Pittsburgh,PA,15206,USA,culture,performing arts,dance theater music performances community arts,Performing arts venue and community arts organization in East Liberty.,https://kelly-strayhorn.org/,(412) 363-1313,,,,https://kelly-strayhorn.org/,Official theater site,,,false,Source basis: Official theater site; current official destination confirmed: yes.
Manchester Craftsmen’s Guild,1815 Metropolitan Street,Pittsburgh,PA,15233,USA,culture,arts education,jazz arts education ceramics youth programs,Arts education and cultural organization with jazz and visual-arts programming.,https://mcgjazz.org/,(412) 322-1773,,,,https://mcgjazz.org/,Official MCG site,,,false,Source basis: Official MCG site; current official destination confirmed: yes.
Afro-American Music Institute,7131 Frankstown Avenue,Pittsburgh,PA,15208,USA,culture,music education,music lessons jazz piano strings youth education,Music education institute providing lessons and ensemble programs.,http://www.afroamericanmusic.org/,(412) 241-5713,,,,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,Visit Pittsburgh guide + official site,,,true,Source basis: Visit Pittsburgh guide + official site; current official destination confirmed: yes.
Hill Dance Academy Theatre,1313 Brushton Avenue,Pittsburgh,PA,15221,USA,recreation,dance school,ballet modern dance youth classes performance,Dance academy and theater offering youth dance instruction and performances.,http://www.5678hdat.org/,,,,,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,Visit Pittsburgh guide + official site,,,true,Source basis: Visit Pittsburgh guide + official site; current official destination confirmed: yes.
BOOM Concepts,5137 Holmes Street,Pittsburgh,PA,15201,USA,culture,creative community space,artist residencies exhibitions events creative entrepreneurship,Creative community organization and arts space in Pittsburgh.,http://www.boomuniverse.co/,,,,,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,Visit Pittsburgh guide + official site,,,false,Source basis: Visit Pittsburgh guide + official site; current official destination confirmed: yes.
Con Alma,6139 Station Street,Pittsburgh,PA,15206,USA,nightlife,jazz club,live jazz cocktails food music venue,Jazz club and restaurant presenting live music and food.,https://conalmapgh.com/,(412) 525-5577,,,,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,Visit Pittsburgh guide + official site,Black-owned,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,false,Source basis: Visit Pittsburgh guide + official site; current official destination confirmed: yes.
Kaya African Market,2300 Penn Avenue,Pittsburgh,PA,15222,USA,food,African grocery,African groceries spices produce pantry foods,African market offering groceries and specialty food products.,https://www.kayaafricanmarket.com/,,,,,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,Visit Pittsburgh guide + official site,African-owned,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,false,Source basis: Visit Pittsburgh guide + official site; current official destination confirmed: yes.
Island Spice,1350 N. Highland Avenue,Pittsburgh,PA,15206,USA,food,Caribbean restaurant,Caribbean cuisine Jamaican food takeout catering,Caribbean restaurant serving island cuisine.,https://www.facebook.com/PittsburghIslandSpiceCaribbeanRestaurant/,(412) 441-1100,,https://www.facebook.com/PittsburghIslandSpiceCaribbeanRestaurant/,,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,Visit Pittsburgh guide + official social,,,false,Source basis: Visit Pittsburgh guide + official social; current official destination confirmed: yes.
Twelve Whiskey BBQ,1923 Murray Avenue,Pittsburgh,PA,15217,USA,food,restaurant,barbecue smoked meats catering takeout,Restaurant serving barbecue and comfort food.,https://www.twelvepgh.com/,,,,,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,Visit Pittsburgh guide + official site,,,false,Source basis: Visit Pittsburgh guide + official site; current official destination confirmed: yes.
Noodlehead,242 S Highland Avenue,Pittsburgh,PA,15206,USA,food,restaurant,Thai noodles Asian food takeout,Casual restaurant serving noodle dishes and Asian food.,https://www.noodlehead.com/,,,,,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,Visit Pittsburgh guide + official site,,,false,Source basis: Visit Pittsburgh guide + official site; current official destination confirmed: yes.
Future Focus Child Care,1150 Greenfield Avenue,Pittsburgh,PA,15217,USA,child care/education,child care,child care preschool early learning family services,Child-care and early-learning provider.,https://futurefocuschildcare.com/,,,,,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,Visit Pittsburgh guide + official site,Black-owned,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,true,Source basis: Visit Pittsburgh guide + official site; current official destination confirmed: yes.
Knotzland,5517 Penn Avenue,Pittsburgh,PA,15206,USA,beauty/braiding,hair salon,natural hair locs braiding hair care,Natural-hair salon and hair-care business.,https://knotzland.com/,,,,,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,Visit Pittsburgh guide + official site,Black-owned,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,true,Source basis: Visit Pittsburgh guide + official site; current official destination confirmed: yes.
Rooted Hair Studio,5512 Walnut Street,Pittsburgh,PA,15232,USA,beauty/braiding,hair salon,natural hair styling protective styles hair care,Hair studio offering styling and hair-care services.,https://www.rootedhairstudios.com/,,,,,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,Visit Pittsburgh guide + official site,,,true,Source basis: Visit Pittsburgh guide + official site; current official destination confirmed: yes.
Chelsea Rae Salon,5840 Ellsworth Avenue,Pittsburgh,PA,15232,USA,beauty/braiding,salon,hair styling color cuts beauty services,Salon offering hair and beauty services.,https://www.chelsearaesalon.net/,,,,,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,Visit Pittsburgh guide + official site,,,true,Source basis: Visit Pittsburgh guide + official site; current official destination confirmed: yes.
Oakland Fashion Optical,3715 Forbes Avenue,Pittsburgh,PA,15213,USA,health,optical,eyewear glasses frames eye exams optical services,Optical retailer and eye-care destination.,https://www.oakland-optical.us/,,,,,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,Visit Pittsburgh guide + official site,,,true,Source basis: Visit Pittsburgh guide + official site; current official destination confirmed: yes.
Ujamaa Collective,2012 Centre Avenue,Pittsburgh,PA,15219,USA,retail,African fashion and gifts,African fashion textiles jewelry gifts fair trade,Retail collective featuring African and diaspora fashion and gifts.,http://www.ujamaacollective.org/,,,,,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,Visit Pittsburgh guide + official site,Black-owned,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,false,Source basis: Visit Pittsburgh guide + official site; current official destination confirmed: yes.
Kiya Tomlin,134 S Highland Avenue,Pittsburgh,PA,15206,USA,retail,fashion designer,custom clothing fashion apparel tailoring,Fashion design and apparel business.,http://www.kiyatomlin.us/,,,,,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,Visit Pittsburgh guide + official site,Black-owned,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,false,Source basis: Visit Pittsburgh guide + official site; current official destination confirmed: yes.
The Tiny Bookstore,1342 Centre Avenue,Pittsburgh,PA,15219,USA,retail,bookstore,books gifts independent bookstore events,Independent bookstore and community reading destination.,http://tinybookspgh.com/,,,,,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,Visit Pittsburgh guide + official site,,,false,Source basis: Visit Pittsburgh guide + official site; current official destination confirmed: yes.
Arts N Crafts PGH,5137 Holmes Street,Pittsburgh,PA,15201,USA,retail,arts and crafts,craft supplies art workshops gifts,"Arts, crafts and occult shop.",https://www.artsncraftspgh.com/,,,,,https://www.visitpittsburgh.com/blog/black-owned-pittsburgh/,Visit Pittsburgh guide + official site,,,false,Source basis: Visit Pittsburgh guide + official site; current official destination confirmed: yes.
