name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,notes
Heard Dat Kitchen,2520 Felicity St,New Orleans,LA,70113,USA,food,restaurant,New Orleans cuisine; Cajun; Creole; seafood; catering; outdoor dining; delivery,"Neighborhood restaurant serving New Orleans comfort food and local cuisine, with reservations, catering, outdoor seating, and delivery.",https://www.hearddatkitchen.com/,https://www.instagram.com/_hearddat_/,https://www.facebook.com/profile.php?id=100063583208190,,https://www.hearddatkitchen.com/,Heard Dat Kitchen official website,,,Official site states Chef Jeffery Heard founded the restaurant in 2015 and lists current hours/address.
NOLABRAIDER Natural Hair Salon,"1995 Gentilly Blvd, Suite 200",New Orleans,LA,70119,USA,beauty,natural hair and braiding,box braids; knotless braids; Fulani braids; cornrows; crochet; loc extensions; loc retwist; protective styles; consultations,"Natural hair and braiding salon offering protective styles, loc services, consultations, and multiple stylists at its New Orleans location.",https://nolabraider.com/,https://www.instagram.com/nolabraider,https://www.facebook.com/1441299246137475,https://www.tiktok.com/@nolabraider,https://nolabraider.com/,NOLABRAIDER official website,Owner: Amber Ward,https://nolabraider.com/,Official site self-states Amber Ward is owner and gives New Orleans location.
DePaul Community Health Center - Central City,"1300 Oretha Castle Haley Blvd, Suite B",New Orleans,LA,70113,USA,health,community health center,primary care; preventive care; pediatric; dental; behavioral health; eye care; pharmacy; OB-GYN; telehealth; Medicaid enrollment,"Community health center providing primary and preventive care plus dental, behavioral health, pharmacy, pediatric, OB-GYN, and other services.",https://www.depaulcommunityhealthcenters.org/,https://www.instagram.com/depaulcommunityhealthcenters/,https://www.facebook.com/DePaulCommunityHealthCenters,,https://www.depaulcommunityhealthcenters.org/,DePaul Community Health Centers official website,,,Official location directory lists Central City address and services; organization says it serves communities.
South Broad Community Health Center,3300 South Broad St,New Orleans,LA,70125,USA,health,federally qualified community health center,adult primary care; pediatrics; immunizations; maternal childcare; LGBTQ+ care; HIV/STI testing; behavioral health; medication-assisted treatment; health coaching,"Central New Orleans community clinic serving underserved and uninsured residents with primary, pediatric, behavioral, maternal, and preventive care on a sliding fee scale.",https://accesshealthla.org/location/south-broad-new-orleans/,https://www.instagram.com/accesshealthla/,https://www.facebook.com/AccessHealthLA/,,https://accesshealthla.org/location/south-broad-new-orleans/,Access Health Louisiana official clinic page,,,Official page states clinic never turns patients away for inability to pay and lists address/services.
The Bizer Law Firm,3319 St. Claude Avenue,New Orleans,LA,70117,USA,law,civil rights and personal injury,civil rights; ADA litigation; disability access; Fair Housing Act; personal injury; insurance claims; ASL interpreters,"Civil-rights law firm focused on access for people with disabilities and minority groups, also handling personal injury and insurance cases.",https://www.bizerlaw.com/,,https://www.facebook.com/BizerandDeReus/,,https://www.bizerlaw.com/,The Bizer Law Firm official website,,,Official site states firm was founded in New Orleans in 2008 and lists Louisiana-admitted attorney Andrew Bizer.
The Love Center Day Care Learning Center Academy,2733 Bienville St,New Orleans,LA,70119,USA,childcare,licensed daycare and early learning,24-hour daycare; infant care; toddler care; preschool; early learning; ages 6 weeks to 12 years,"Louisiana-licensed Class A childcare and learning center offering flexible 24-hour care, infant and toddler programs, and early learning for children from 6 weeks through 12 years.",http://www.lovecenterchildcare.com/,https://www.instagram.com/24hourlovecenter/,https://www.facebook.com/24hourlovecenter,,http://www.lovecenterchildcare.com/,The Love Center official website,,,Official site states Class A center licensed by State of Louisiana; address appears in official site contact/footer pages.
2nd Line Tours,,New Orleans,LA,,USA,travel,cultural tours,Afro-Creole tours; African culture; New Orleans history; city tours; entertainment tourism; guided tours,"Tour company established in 2017 offering immersive Afro-Creole, African, and Indigenous cultural and history tours for locals and visitors in the Greater New Orleans area.",https://2ndline.tours/,https://www.instagram.com/2ndlinetours/,https://www.facebook.com/2ndlinetours,https://www.tiktok.com/@2ndlinetours,https://2ndline.tours/,2nd Line Tours official website,Black-owned; founder Dennis M.,https://2ndline.tours/,Official site confirms New Orleans service area and self-published testimonial states it is Black owned; no fixed storefront address published.
Dooky Chase's Restaurant,2301 Orleans Avenue,New Orleans,LA,70119,USA,food,Creole restaurant,authentic Creole cuisine; lunch; dinner; reservations; private parties; catering,"Historic Treme family restaurant serving authentic Creole cuisine, lunch and dinner, reservations, and private parties.",https://www.dookychaserestaurants.com/,https://www.instagram.com/dookychaserestaurant/,https://www.facebook.com/Dookychaserestaurant/,,https://www.dookychaserestaurants.com/,Dooky Chase's official website,Family owned and operated,https://www.dookychaserestaurants.com/,Official site explicitly states restaurant remains family owned and operated and lists address/hours.
Element79 NOLA,1359 St. Bernard Avenue,New Orleans,LA,70116,USA,nightlife,lounge and cocktails,upscale lounge; cocktails; happy hour; DJs; hip-hop; house music; VIP booths; nightlife,"Upscale New Orleans lounge offering curated cocktails, happy hour, DJs, and VIP experiences Thursday through Saturday.",https://element79nola.com/,https://www.instagram.com/element79nola/,https://www.facebook.com/profile.php?id=61574969596295,,https://element79nola.com/,Element79 NOLA official website,,,"Official site lists New Orleans address, hours, and nightlife services."
All Bout Dat Tours,,New Orleans,LA,,USA,travel,Black heritage and jazz tours,Black Heritage & Jazz Tour; walking tours; family reunion tours; school tours; swamp and plantation tours; sacred libation tour,"Tour company offering Black Heritage and Jazz, walking, educational, family reunion, swamp and plantation, and sacred libation tours focused on New Orleans history and culture.",https://www.allboutdat.com/,https://www.instagram.com/allboutdattours/,https://www.facebook.com/AllBoutDatToursLLC/,,https://www.allboutdat.com/,All Bout Dat official website,Black woman-owned and run,https://www.allboutdat.com/,Official site self-publishes a customer testimonial identifying the business as owned and run by a Black woman; no fixed street address published.
