name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,notes
Welton Street Cafe,2883 Welton Street,Denver,CO,80205,USA,food,soul food restaurant,Southern style cooking; Caribbean twist; brunch; lunch; dinner; dine-in; carryout; catering; online ordering,"Historic Five Points neighborhood gathering spot serving homestyle Southern cooking with a Caribbean twist, plus brunch, carryout and catering.",https://weltonstreetcafe.com/,https://www.instagram.com/weltonstcafe,https://www.facebook.com/Welton-Street-Cafe-275511383975/,,https://weltonstreetcafe.com/,Welton Street Cafe official website,family-owned,https://weltonstreetcafe.com/,"Official site states it is a historic, family-owned soul food staple in the Denver community."
Cake Crumbs Bakery & Cafe,2216 Kearney Street,Denver,CO,80207,USA,food,bakery and cafe,fresh-baked pastries; custom cakes; coffee; breakfast; catering; private parties; online ordering,"Park Hill neighborhood bakery and cafe offering pastries, custom cakes, cafe food, drinks, catering and private parties.",https://cake-crumbs.com/,https://www.instagram.com/cakecrumbsdenver,https://www.facebook.com/105411902597636,,https://cake-crumbs.com/,Cake Crumbs Bakery & Cafe official website,,,"Official site provides Denver address, daily hours, menu/order and catering information."
Dove African Hair Braiding,5154 Sherman St,Denver,CO,80216,USA,beauty,African hair braiding salon,box braids; micro braids; kinky braids; invisible braids; cornrows; weaves; crochet hair; twists; extensions; knotless braids,"Denver hair salon specializing in African braiding styles, weaves, crochet hair and extensions.",https://www.denverbraids.com/,https://www.instagram.com/doveafricanhair/,https://www.facebook.com/DoveAfricanHairBraidingCO/,,https://www.denverbraids.com/,Dove African Hair Braiding official website,,,"Official site lists Denver location, services, hours and contact details."
Fisher Early Learning Center,1899 E. Evans Ave.,Denver,CO,80208,USA,childcare,early learning center,infant care; toddler care; preschool; PreK; early childhood education; inclusive learning; family partnerships,"Early learning center serving infants through PreK with research-based early childhood education and a nurturing, inclusive environment.",https://morgridge.du.edu/fisher,https://www.instagram.com/fisherearlylearningcenter/,https://www.facebook.com/search/top?q=fisher%20early%20learning%20center,,https://morgridge.du.edu/fisher,Fisher Early Learning Center official University of Denver page,,,"Official University of Denver page lists Denver address, hours and age range; licensing status not asserted on source page."
Tepeyac Community Health Center,2101 E. 48th Ave,Denver,CO,80216,USA,health,community health center,primary care; pediatric care; dental care; pharmacy; lab and imaging; pregnancy and women’s health; behavioral health; health education; sliding fee,"Nonprofit community health center providing affordable, accessible integrated care and wraparound services for Denver residents.",https://www.tepeyachealth.org/,https://www.instagram.com/tepeyachealth/,https://www.facebook.com/TepeyacHealth,,https://www.tepeyachealth.org/,Tepeyac Community Health Center official website,non-profit community health center,https://www.tepeyachealth.org/,"Official site explicitly states nonprofit status and lists services, address and insurance/sliding-fee information."
Denver Health Bernard F. Gipson Sr. Eastside Family Health Center,501 28th Street,Denver,CO,80205,USA,health,family health center,primary care; family medicine; community health center; appointments; pharmacy,Denver Health primary care community health center location serving the Eastside neighborhood.,https://www.denverhealth.org/locations/denver/bernard-f-gipson-sr-eastside-family-health-center-gipson-eastside-community-health-center,https://www.instagram.com/denverhealthmedical,https://www.facebook.com/DenverHealthMedical/,,https://www.denverhealth.org/services/primary-care/primary-care-clinic-locations,Denver Health official clinic locations page,,,Official Denver Health page lists this Denver address and appointment/clinic contacts.
Davis Graham,"3400 Walnut Street, Suite 700",Denver,CO,80205,USA,law,business law firm,corporate finance; governance; mergers and acquisitions; natural resources; environmental law; real estate; technology; property rights; complex litigation,"Rocky Mountain business law firm providing strategic counsel across corporate, finance, governance, real estate, technology and litigation matters.",https://davisgraham.com/,,,,https://davisgraham.com/,Davis Graham official website,,,Official site lists Denver office and practice areas.
"Park Hill Financial Planning & Investment Management, LLC",2995 Holly St.,Denver,CO,80207,USA,finance,financial planning and investment management,financial planning; wealth management; investment management; tax planning; retirement income; estate-plan coordination; equity compensation,"Fee-only financial planning and investment management firm serving families in Denver’s Park Hill, Central Park and surrounding communities.",https://www.parkhillfp.com/,,,,https://www.parkhillfp.com/,Park Hill Financial Planning official website,registered investment adviser in Colorado; fiduciary; independent,https://www.parkhillfp.com/,Official site states fiduciary/independent positioning and Colorado investment-adviser registration; regulated service included only with source-backed registration.
Russell Comfort Solutions,5555 W 51st Ave,Denver,CO,80212,USA,home trades,HVAC contractor,furnace repair; furnace installation; AC repair; AC installation; heat pumps; boiler service; maintenance; ductwork; indoor air quality; emergency HVAC,"Denver HVAC contractor providing repair, installation and maintenance with flat-rate pricing and emergency service.",https://www.russellcomfort.com/,https://www.instagram.com/russellcomfortsolutions,https://www.facebook.com/profile.php?id=61573512367885,,https://www.russellcomfort.com/,Russell Comfort Solutions official website,locally owned and operated; licensed; insured; EPA-certified,https://www.russellcomfort.com/,"Official site explicitly states local ownership and lists Colorado licensing, insurance and EPA certification."
Wish Boutique,5014 E Hampden Ave,Denver,CO,80222,USA,retail,women’s clothing boutique,women’s clothing; accessories; seasonal arrivals; gift cards; in-store shopping,"Locally owned Denver women’s boutique carrying curated clothing and accessories, with gift cards and in-store shopping.",https://wishboutiquedenver.com/,https://www.instagram.com/wishboutiquedenver/,https://www.facebook.com/WishBoutiqueDenver,,https://wishboutiquedenver.com/,Wish Boutique official website,locally owned; small business,https://wishboutiquedenver.com/,Official site states locally owned since 2003 and provides Denver address.
