name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,notes
Hal & Mal’s,200 Commerce St B,Jackson,MS,39201,USA,food,Southern/Cajun restaurant,Southern food; Cajun dishes; brunch; lunch; dinner; takeout; delivery; catering; live music,"Southern and Cajun restaurant offering lunch, dinner, weekend brunch, takeout/delivery, event catering and live local music.",https://halandmals.com/,,,,https://halandmals.com/,Hal & Mal’s official website,,,Official site lists Jackson address and current hours.
Saltine,622 Duling Ave. Ste. 201,Jackson,MS,39216,USA,food,Oyster bar/seafood restaurant,oysters; seafood; Southern cuisine; craft cocktails; happy hour; private dining,"Modern oyster bar and restaurant featuring Southern cuisine, fresh seafood, craft cocktails, daily happy hour and private dining.",https://jackson.saltinerestaurant.com/,https://www.instagram.com/saltinerestaurant/,https://www.facebook.com/SaltineRestaurant/,,https://jackson.saltinerestaurant.com/,Saltine official website,employee-owned,https://jackson.saltinerestaurant.com/,Official site explicitly states “4Top Hospitality An employee-owned company.”
Walker's Drive In,3016 North State Street,Jackson,MS,39216,USA,food,Southern fine dining restaurant,American restaurant; Southern-inspired food; reservations; catering; private parties,"Southern-inspired American restaurant with dining, reservations, event catering and private-party service.",https://walkersdrivein.com/,https://www.instagram.com/walkersdrivein,https://www.facebook.com/walkersdrivein,,https://walkersdrivein.com/,Walker’s Drive In official website,,,Official site lists Jackson location and active reservation/catering pages.
The Bean,2914 N. State St,Jackson,MS,39216,USA,food,Coffeehouse/cafe,coffee; breakfast; cafe; community space,Coffeehouse and café described by the official Jackson tourism directory as a community-oriented local café.,https://thebeanjackson.com/,,,,https://www.visitjackson.com/directory/the-bean/,Visit Jackson official tourism directory,,,Directory lists active Jackson address and official website.
Boondocks BBQ,"904 B E Fortification Street, B",Jackson,MS,39202,USA,food,Barbecue restaurant,BBQ; brisket; ribs; smoked meats; takeout,"Barbecue shop in Belhaven, listed by Visit Jackson with an official Instagram presence.",,https://www.instagram.com/boondocksjxn/,,,https://www.visitjackson.com/directory/boondocks-bbq/,Visit Jackson official tourism directory,,,Official tourism listing provides Jackson address and official Instagram.
Bully’s Restaurant,3118 Livingston Road,Jackson,MS,39213,USA,food,Meat-and-three soul food restaurant,soul food; meat and three; Southern food; lunch,James Beard Award-winning meat-and-three restaurant serving Southern comfort food.,,,https://www.facebook.com/Bullys-Restaurant-121341084545979/,,https://www.visitjackson.com/directory/bullys-restaurant/,Visit Jackson official tourism directory,,,Directory provides active Jackson address and official Facebook link.
Campbell’s Bakery,3013 North State Street,Jackson,MS,39216,USA,food,Bakery,baked goods; iced tea cake; ice cream; macarons; pastries,"Historic Jackson bakery known for iced tea cake, ice cream and La Brioche macarons.",http://www.campbellsbakery.ms/,,,,https://www.visitjackson.com/directory/campbells-bakery/,Visit Jackson official tourism directory,,,Directory provides Jackson address and official website.
Johnny T’s Bistro & Blues,538 North Farish Street,Jackson,MS,39202,USA,food,Bistro/live music venue,bistro; American cuisine; live blues; dinner; events,Bistro and blues venue offering modern cuisine alongside live music in Jackson’s Farish Street district.,https://johnnytsbistroandblues.com,,,,https://www.visitjackson.com/directory/johnny-ts-bistro-blues/,Visit Jackson official tourism directory,,,Directory provides Jackson address and official website.
Highball Lanes,3019 North State Street,Jackson,MS,39216,USA,nightlife,Bowling and entertainment venue,bowling; food; drinks; entertainment; parties,"Eat, drink and play entertainment destination with bowling and group-friendly activities.",http://highballlanes.com/,,,,https://www.visitjackson.com/directory/highball-lanes/,Visit Jackson official tourism directory,,,Directory provides Jackson address and official website.
Fertile Ground Beer Co.,800 Manship Street,Jackson,MS,39202,USA,nightlife,Local brewery,craft beer; brewery; taproom; local beer,"Local brewery at Belhaven Town Center, serving craft beer in a community gathering setting.",https://fertilegroundbeer.com,,,,https://www.visitjackson.com/directory/fertile-ground-beer-co/,Visit Jackson official tourism directory,,,Directory provides Jackson address and official website.
