name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,notes
Naija Wife Kitchen,119 North Robinson Avenue,Oklahoma City,OK,73102,USA,food,Nigerian restaurant and catering,Nigerian cuisine; gluten-free; vegan options; jollof rice; fried plantains; stewed goat; suya wings; catering; private events,"Nigerian restaurant in downtown OKC offering gluten-free cuisine, vegan options, online ordering, catering, and private-event planning.",https://naijawifekitchen.com/,https://www.instagram.com/naijawifekitchen,,,https://naijawifekitchen.com/,Naija Wife Kitchen official website,Black-owned,https://downtownokc.com/black-owned-businesses/,"Official site lists OKC location, hours, menu/service details; Downtown OKC directory explicitly includes it in its Black-owned business directory."
Jack's Bakeshop,131 Dean A McGee Ave Suite 115,Oklahoma City,OK,73115,USA,food,artisan bakery,croissants; baked fresh daily; sourdough croissants; pastries; cakes; online ordering,Artisan bakery founded from a Mesta Park apartment and now serving fresh-baked croissants and pastries in downtown Oklahoma City.,https://www.jacks-bakehouse.com/,https://www.instagram.com/jacksbakehouseokc/,https://www.facebook.com/signaturebakeryokc/,,https://www.jacks-bakehouse.com/,Jack’s Bakeshop official website,Black-owned,https://downtownokc.com/black-owned-businesses/,Official site provides address and bakery history; Downtown OKC directory lists Jack’s Bakeshop in its Black-owned business directory.
Plant People Shop,816 North Walker Avenue,Oklahoma City,OK,73102,USA,retail,plant shop and workshops,houseplants; rare plants; succulents; cactus; terrariums; candle pouring; plant care; repotting; plant maintenance; styling consultations; local gifts,"Community-oriented Midtown plant shop selling common and rare houseplants, plant-inspired gifts, and offering terrarium workshops, candle sessions, repotting, maintenance, and styling consultations.",https://www.plantpeopleshop.com/,https://www.instagram.com/plantpeopleshop/,https://www.facebook.com/plantpeopleshop/,,https://www.plantpeopleshop.com/,Plant People Shop official website,Black-owned,https://downtownokc.com/black-owned-businesses/,Official site gives exact location and services; Downtown OKC directory includes Plant People Shop in its Black-owned business directory.
Touch of Euphoria,1900 NW Expressway St. Suite R206,Oklahoma City,OK,73118,USA,beauty,massage therapy,Swedish massage; myofascial release; deep tissue; lymphatic drainage; back pain; frozen shoulder; prenatal massage,"Solo massage studio offering mindful, personalized massage for women, mothers, athletes, and others, including Swedish, myofascial, deep tissue, and lymphatic techniques.",https://touchofeuphoria.com/,https://www.instagram.com/touchofeuphoria/,,,https://touchofeuphoria.com/,Touch of Euphoria official website,,,"Official site provides exact address, practitioner name, launch story, and service list."
Oak Room OKC,808 NW 6th St,Oklahoma City,OK,73106,USA,nightlife,bar and lounge,cocktails; craft beer; wine; premium spirits; dancing; lounge atmosphere; DJ; karaoke; shisha; reservations,"Exclusive Oklahoma City nightlife bar and lounge offering crafted cocktails, wine, premium spirits, dancing, music, events, and reservations.",https://www.oakroomokc.com/,https://www.instagram.com/oakroomokc/,,,https://www.oakroomokc.com/,Oak Room OKC official website,Black-owned,https://downtownokc.com/black-owned-businesses/,"Official site provides address, hours, services, and social link; Downtown OKC directory lists Oak Room in its Black-owned business directory."
Joel A. Porter Attorney at Law,"4500 N. Lincoln Blvd., Suite #101",Oklahoma City,OK,73105,USA,law,general practice attorney,family law; estate planning; probate; criminal defense; personal injury; civil litigation; divorce; custody; wills; trusts; powers of attorney,"Oklahoma City attorney offering family law, estate planning and probate, criminal defense, personal injury, and civil litigation representation.",https://www.japorterlaw.com/,,https://www.facebook.com/joel.a.porter,,https://www.japorterlaw.com/top-black-attorney-in-oklahoma-city,Joel A. Porter Attorney at Law official website,Black attorney / African American attorney,https://www.japorterlaw.com/top-black-attorney-in-oklahoma-city,"Ownership field records the practitioner’s self-stated/source-backed identity designation, not an inferred business ownership claim. Official page provides two address variants; this row uses the contact block address."
Advantage Heating & Air Conditioning,4317 SW 22nd St #705,Oklahoma City,OK,73108,USA,home trades,HVAC contractor,AC installation; AC repair; heating; furnace repair; water heaters; commercial HVAC; ductwork; ventilation; mini-splits; 24/7 emergency service,"Family-owned, NATE-certified HVAC contractor serving Oklahoma City with same-day and 24/7 emergency service for cooling, heating, water heaters, commercial HVAC, and ductwork.",https://advantageairokc.com/,,https://www.facebook.com/profile.php?id=61556264733909,,https://advantageairokc.com/,Advantage Heating & Air Conditioning official website,Family-owned,https://advantageairokc.com/,"Official site explicitly states family-owned, NATE-certified, fully licensed, bonded, and insured; exact OKC office address is listed."
Crossings Community Clinic,222 NW 12th St,Oklahoma City,OK,73103,USA,health,free charitable clinic,medical care; dental care; vision care; pharmacy; uninsured patients; community clinic; volunteers,"Free charitable community clinic serving uninsured patients with medical, dental, and vision healthcare through staff and licensed professional volunteers; Midtown site includes pharmacy.",https://clinic.crossings.church/,https://instagram.com/crossingsclinic,https://facebook.com/crossingscommunityclinic,,https://clinic.crossings.church/,Crossings Community Clinic official website,,,"Official site lists Midtown address, services, hours, and mission; regulated healthcare provider included because official source identifies licensed professionals and active clinic operations."
Mazaheri Law Firm,3000 W. Memorial Rd. Suite 230,Oklahoma City,OK,73120,USA,law,family and employment law,family law; employment law; legal representation; client advocacy; immigration-related support,"Oklahoma City law firm providing client-focused legal representation, with listed practice areas including family law and employment law.",https://www.mazaherilawfirm.com/,https://www.instagram.com/mazaherilawfirm/,https://www.facebook.com/mazaherilaw,,https://www.mazaherilawfirm.com/,Mazaheri Law Firm official website,,,"Official site provides exact OKC address, active practice areas, team, and contact information."
Parlor OKC,11 NE 6th St,Oklahoma City,OK,73104,USA,food,food hall and nightlife,7 kitchens; 2 bars; artisan cocktails; craft beer; Mexican food; onion burgers; hot dogs; sushi; pizza; fried chicken; Filipino cuisine; brunch; events; late night,"Automobile Alley food hall and social venue with seven kitchens, two bars, artisan cocktails, craft beer, brunch, events, and late-night hours.",https://parlorokc.com/,,https://www.facebook.com/ParlorOKC/,https://www.instagram.com/parlorokc,https://parlorokc.com/,Parlor OKC official website,,,"Official site provides exact address, current kitchen concepts, events, ordering, and late-night information."
