name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,notes
Butter and Spice,Greater Toronto Area (local pickup/delivery; street address not publicly listed),Toronto,ON,,Canada,food,gourmet bakery,brownies; gourmet bakery; baked goods; local delivery; local pickup,Black-owned gourmet bakery specializing in innovative brownies and fresh-baked goods with GTA delivery and pickup.,https://butterandspice.ca/,https://www.instagram.com/butterandspicebakeshop/,https://www.facebook.com/Butterandspicebakeshop,https://www.tiktok.com/@butterandspicebakeshop,https://butterandspice.ca/pages/about-us,Butter and Spice official About Us,Black-owned,https://butterandspice.ca/pages/about-us,Official site identifies GTA service area but does not publish a street address.
Afrobeat Kitchen,1510 Queen St W,Toronto,ON,,Canada,food,Nigerian restaurant,Nigerian cuisine; African flavours; restaurant; dine-in,Toronto restaurant serving Nigerian/African flavours at Queen Street West.,,,https://www.facebook.com/afrobeatkitchen/,,https://www.facebook.com/afrobeatkitchen/,Afrobeat Kitchen official Facebook,,,Official Facebook source provides address and operating schedule; postal code not publicly stated in the source.
Hair Braiding Studio By Beauty Rose,346 Weston Rd,Toronto,ON,M6N 3P6,Canada,beauty,hair braiding,boho braids; box braids; knotless braids; loc retwists; cornrows; crochet braids,"Hair-braiding studio offering protective styles including boho, box and knotless braids, loc retwists, cornrows and crochet braids.",https://www.beautyrosehairsalon.com/,https://www.instagram.com/beautyrosehairsalon/,https://www.facebook.com/profile.php?id=100072410536431,,https://www.beautyrosehairsalon.com/,Beauty Rose official website,,,Official site lists a second East York location; this record uses the Toronto Weston Road location.
JBI African Braiding Salon,1156 Bloor Street West,Toronto,ON,,Canada,beauty,African hair braiding,African hair braiding; box braids; cornrows; women styles; men styles; hair care,"Family-run African hair braiding salon offering styles for women, men and children, plus hair care.",https://jbisalon.online/,,,,https://jbisalon.online/,JBI official website,,,Official site publishes street address but not postal code.
Family Day Care Services,"155 Gordon Baker Road, Suite 400",Toronto,ON,M2H 3N5,Canada,childcare,licensed child care,licensed child care; early learning; before and after school; licensed home child care; EarlyON,"Family-centred child-care organization operating licensed child care, extended-day/school-age programs, licensed home child care and EarlyON centres in Toronto and surrounding regions.",https://familydaycare.com/,,https://www.facebook.com/FamilyDayCareServices,,https://familydaycare.com/,Family Day Care Services official website,,,Toronto administrative office and Toronto programs are explicitly listed; licensed services are stated on the official site.
Black Creek Community Health Centre,"2202 Jane Street, Unit 5",Toronto,ON,M3M 1A4,Canada,health,community health centre,primary care; sexual health; STI testing; pregnancy counselling; diabetes care; mental health counselling,"Community health centre offering primary care, sexual-health services, diabetes care, mental-health counselling and community programs.",https://www.bcchc.com/,https://www.instagram.com/blackcreek_chc/,https://www.facebook.com/BlackCreekCHC/,,https://www.bcchc.com/,Black Creek Community Health Centre official website,,,Official site lists North York Sheridan Mall location within Toronto.
Blacklock Law Firm,500-333 Bering Avenue,Toronto,ON,M8Z 3A8,Canada,law,personal injury and insurance defence,automobile accidents; personal injury; property and casualty claims; subrogation; occupiers liability; construction disputes,"Ontario-licensed law firm representing insurers and corporations, with limited plaintiff personal-injury cases and listed liability/dispute practices.",https://www.blacklocklawfirm.com/,,,,https://www.blacklocklawfirm.com/,Blacklock Law Firm official website,,,Official site states the firm and lawyers are licensed to practice law in Ontario.
Black and Gill LLP,60 Torlake Cres.,Toronto,ON,M8Z 1C2,Canada,finance,accounting and tax,accounting; tax preparation; tax planning; business advisory; chartered professional accountants,"Full-service Toronto accounting firm serving individuals and owner-managed businesses with accounting, tax and business-advisory solutions.",https://bgllp.ca/,https://www.instagram.com/blackandgill/,https://facebook.com/blackandgill,,https://bgllp.ca/about-us/,Black and Gill LLP official About Us,,,Official site lists Toronto contact address and CPA/accounting services.
A Different Booklist,779 Bathurst Street,Toronto,ON,M5S 0B7,Canada,retail,independent bookstore,books; African Canadian diaspora books; Caribbean studies; school orders; book launches; events,"Independent bookstore with curated African Canadian, Caribbean and other community-focused collections, school services and events.",https://www.adifferentbooklist.com/,,,,https://www.adifferentbooklist.com/,A Different Booklist official website,,,"Official site lists storefront address, collections, school-board services and events."
Afrocan Supermart,2121 Jane Street,Toronto,ON,M3M 1A2,Canada,retail,African and Caribbean supermarket,African groceries; Caribbean groceries; Afro-Latin food; fresh produce; meat; baked goods; beauty products; pickup,"African, Caribbean, Afro-Latin and tropical food supermarket carrying produce, baked goods, meats, dry goods, frozen products, beverages and Black beauty products.",https://afrocanmart.com/,https://www.instagram.com/,https://www.facebook.com/AfrocanFoods/,,https://afrocanmart.com/locations/toronto.html,Afrocan Foods official Toronto location page,,,Official location page identifies North York address within Toronto and store pickup.
Vibes Lounge,5235 Steeles Ave W,Toronto,ON,,Canada,nightlife,lounge and private events,VIP tables; bottle service; live events; venue rental; private parties; Afrobeat events,"Toronto nightlife lounge offering VIP tables, bottle service, celebrations, venue rentals and private events.",https://vibeslounge.ca/,https://www.instagram.com/vibesloungetoronto,,https://www.tiktok.com/@vibesloungetoronto,https://vibeslounge.ca/,Vibes Lounge official website,,,Official site lists Toronto location and current event/social links; postal code not published.
Passionate Hands 247,"66 Gerrard Street East, Unit 202",Toronto,ON,,Canada,beauty,braiding and beauty services,braiding; culturally rooted hairstyling; walk-in salon; beauty services; 24/7 salon,"Downtown Toronto salon offering culturally rooted braiding and beauty services, walk-ins and 24/7 hours.",https://passionatehands247.ca/,https://www.instagram.com/passionate_hands_247,,https://www.tiktok.com/@passionatehands247,https://passionatehands247.ca/,Passionate Hands 247 official website,,,"Official site lists Toronto address, services and hours; postal code not published."
