name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,notes
"The Pearl Shreveport","6871 Fern Ave.",Shreveport,LA,71105,USA,food,seafood restaurant,"fresh seafood; oysters; steaks; Louisiana cuisine; handcrafted cocktails; reservations","Seafood and oyster bar offering fresh or chargrilled oysters, steaks, Louisiana seafood, cocktails, wine and beer.",https://www.thepearlshreveport.com/,,,https://www.thepearlshreveport.com/,"The Pearl Shreveport",,,"Official site lists current Shreveport address and hours."
"Fat Calf Brasserie","3030 Creswell Avenue",Shreveport,LA,71104,USA,food,French-Southern restaurant,"French-inspired cuisine; Gulf South fare; craft cocktails; wine; catering; private events; chef's table","Neighborhood restaurant serving French-inspired Southern fare with Gulf South influence, craft cocktails, wine, catering and private events.",https://www.fatcalfbrasserie.com/,https://instagram.com/fatcalfbrasserie/?hl=en,https://facebook.com/fatcalf318,,https://www.fatcalfbrasserie.com/,"Fat Calf Brasserie",,,"Official site states it is open Tue-Sat and gives Shreveport location."
"Jan's River Restaurant","7675 W 70th Street",Shreveport,LA,71129,USA,food,seafood and homestyle restaurant,"catfish; seafood platters; shrimp; chicken; steak; sandwiches; salads; kids menu; dine-in; carryout","Local restaurant serving farm-raised catfish, seafood platters, shrimp, chicken, steak, homestyle food, dine-in and carryout.",https://www.janscatfish.com/,https://www.facebook.com/JansRiverRestaurant,,,https://www.janscatfish.com/,"Jan's River Restaurant",,,"Official site says serving since 1984 and lists current hours."
"Beautiful People Hair Salon","4438 Youree Dr Unit C",Shreveport,LA,71105,USA,beauty,hair salon,"hair color; haircuts; curly cuts; highlights; creative color; dreadlocks; extensions; appointments","Welcoming salon offering hair color, haircuts and curly cuts, highlights and creative color, dreadlocks and extensions.",https://www.beautifulpeoplehairsalon.com/,https://www.instagram.com/beautifulpeoplehairsalon/,https://www.facebook.com/beautifulpeoplehairsalon/,,https://www.beautifulpeoplehairsalon.com/,"Beautiful People Hair Salon",,,"Official site lists address, booking, services and social accounts."
"Joseph Guin Barber","6018 Line Avenue",Shreveport,LA,71106,USA,beauty,barber,"haircuts; grooming; toddler first cuts; event grooming; personal style; appointments","Barbershop providing grooming and haircut services, including first cuts, event grooming and style refreshes.",https://www.josephguinbarber.com/,https://www.facebook.com/JosephGuinBarber/,,,https://www.josephguinbarber.com/,"Joseph Guin Barber",,,"Official site lists Shreveport address, hours and services."
"Young Years","Southeast Shreveport location",Shreveport,LA,,USA,childcare,early childhood education,"state licensed childcare; preschool; school-age care; before/after school; summer program; transportation","State-licensed early childhood education center and school-age program for children ages 30 months to 12 years, with preschool, before/after-school and summer programming.",https://youngyearscec.com/,,,,https://youngyearscec.com/,"Young Years",,,"Official site verifies Shreveport and state-licensed services but does not publish a street address on the fetched page; postal code left blank."
"MLK Health Center & Pharmacy","865 Olive Street",Shreveport,LA,71104,USA,health,community health center and pharmacy,"free healthcare; primary care; pharmacy; lab work; specialty care; diabetes education; nutrition counseling; women's health; mammograms","Community health center providing no-cost primary care, pharmacy, lab work, specialty care, diabetes education, nutrition counseling and women's health services to uninsured and underinsured adults.",https://mlkhealth.org/,https://www.instagram.com/mlkhealthcenterpharmacy/,https://www.facebook.com/mlkhealth/,,https://mlkhealth.org/,"MLK Health Center & Pharmacy",,,"Official site provides services, eligibility context, address and social links."
"Caddo Parish Health Unit","1035 Creswell Avenue",Shreveport,LA,71101,USA,health,public health unit,"public health services; parish health unit; health department; appointments","Louisiana Department of Health parish health unit serving Shreveport residents.",https://ldh.la.gov/directory/caddo-parish-health-unit,,,,https://ldh.la.gov/directory/caddo-parish-health-unit,"Louisiana Department of Health",,,"Official state directory lists physical address and phone."
"Mayer, Smith & Roberts, L.L.P.","8570 Business Park Drive Suite 200",Shreveport,LA,71105,USA,law,law firm,"personal injury defense; insurance defense; professional liability defense; medical malpractice defense; commercial litigation; estate planning; wills","Established Shreveport law firm representing individuals and businesses in defense litigation, commercial litigation and estate planning.",https://www.msrlaw.com/,,,,https://www.msrlaw.com/,"Mayer, Smith & Roberts, L.L.P.",,,"Official site states attorneys serving Shreveport since 1929 and lists practice areas."
"Mechanical Concepts","935 West 70th St.",Shreveport,LA,71106,USA,home trades,commercial and industrial HVAC,"HVAC equipment; heating; ventilation; air conditioning; BAS/controls; service; parts; startup; maintenance; repair; warranty support","Commercial and industrial HVAC representative providing equipment, BAS/controls, service, parts, startup, maintenance and repair.",https://www.mechanicalconceptsllc.com/,https://www.instagram.com/mechanicalconceptsllc,https://www.facebook.com/mechanicalconceptsllc/,,https://www.mechanicalconceptsllc.com/,"Mechanical Concepts",,,"Official site lists Shreveport office, HVAC services and social links."
"Hodges & Wreyford LLC","920 Pierremont Dr. Ste 407",Shreveport,LA,71106,USA,finance,accounting and tax planning,"tax planning; tax returns; deductions; IRS recordkeeping; withholding review; retirement contributions; tax-exempt income; consultations","Accounting firm helping clients with tax planning, returns, recordkeeping, withholding, retirement contributions and tax strategies.",https://www.hfwcpa.com/taxplanning.php,,https://www.facebook.com/profile.php?id=61551327165754,,https://www.hfwcpa.com/taxplanning.php,"Hodges & Wreyford LLC",,,"Official site lists Shreveport office and detailed tax-planning services."
"WESLA Federal Credit Union","8650 Fern Avenue",Shreveport,LA,71105,USA,finance,credit union,"member banking; mortgages; home loans; credit cards; lines of credit; personal loans; auto loans; mobile banking","Community-rooted federal credit union offering member banking, mortgages, home loans, credit cards, personal loans, auto loans and mobile account access.",https://www.wesla.org/,,,,https://www.wesla.org/,"WESLA Federal Credit Union",,,"Official site lists Shreveport Auto Mall branch and products; no ownership identity inferred."
"M. Boutique","855 Pierremont Rd., Ste 128",Shreveport,LA,71106,USA,retail,women's lifestyle and fashion boutique,"women's apparel; shoes; books; candles; accessories; décor; online shopping","Lifestyle and fashion boutique offering women's apparel, shoes, books, candles, accessories, décor and online shopping.",https://www.mshreveport.com/,https://www.instagram.com/mshreveport/,https://www.facebook.com/mshreveport/,,https://www.visitshreveportbossier.org/listing/m-boutique/2351/,"Visit Shreveport-Bossier",,,"Official destination listing supplies address, description and social link; listing links to boutique website."
"Bear's on Fairfield","1401 Fairfield Ave",Shreveport,LA,71101,USA,nightlife,neighborhood bar and live music venue,"live music; karaoke; trivia; bingo; full bar; food; happy hour; private events","Neighborhood bar with live music, karaoke, trivia, bingo, full bar service, food, late hours and private event hosting.",https://www.bearsfairfield.com/,https://instagram.com/bearsshreveport/,https://facebook.com/BearsShreveport/,,https://www.bearsfairfield.com/,"Bear's on Fairfield",,,"Official site lists address, services, weekly events and social links."
"Central Station","1025 Marshall St",Shreveport,LA,71101,USA,nightlife,alternative lifestyle bar and nightclub,"nightclub; country bar; disco bar; lounge; event space; dancing; inclusive nightlife","Alternative lifestyle bar and nightclub with country bar, disco bar, lounge and 1025 Show Bar event space; welcomes all individuals.",https://www.centralstationshreveport.com/,,https://www.facebook.com/CentralStationShreveport/,,https://www.centralstationshreveport.com/,"Central Station",,,"Official site lists address, nightlife formats, operating hours and Facebook."
"Visit Shreveport-Bossier","629 Spring St.",Shreveport,LA,71101,USA,travel,destination marketing and visitor services,"visitor information; travel planning; visitor guide; maps; directions; recommendations; tourism; conventions; sports; film; festivals; events","Official destination marketing organization offering visitor information, guides, maps, directions, recommendations and tourism, convention, sports, film and festival development.",https://www.visitshreveportbossier.org/,https://www.instagram.com/visitshreveportbossier/,https://www.facebook.com/VisitShreveportBossier,https://www.tiktok.com/@visitshreveportbossier,https://www.visitshreveportbossier.org/about-us/,"Visit Shreveport-Bossier",,,"Official site lists visitor center address and community-serving travel services."
