name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,notes
"Big Bacon's","719 E Roosevelt St","Phoenix","AZ","85006","USA","food","soul food restaurant","Chicago soul food; fried chicken; jerk salmon; lamb chops; banana pudding; catering","Chicago-inspired home-cooked soul food restaurant with pickup ordering and catering in downtown Phoenix.","https://bigbacons.com/","","","","https://bigbacons.com/","Big Bacon's official website","Black-owned; family kitchen (source-backed)","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","Official site lists Phoenix address, menu, hours, ordering and catering; DTPHX identifies owner Adriane Harris and Black-owned listing."
"Mrs. White's Golden Rule Cafe","808 E Jefferson St","Phoenix","AZ","85034","USA","food","Southern soul food restaurant","fried chicken; fried catfish; smothered pork chops; home-style sides; catering","Family-run Phoenix soul food institution serving classic Southern fried meals since 1964.","https://www.mrswhitescafe.com/","","","","https://www.mrswhitescafe.com/","Mrs. White's official website","Family-owned and operated (self-stated)","https://www.mrswhitescafe.com/","Official site explicitly states family-run and family-owned/operated; address and open-seven-days status are listed."
"Latha Restaurant & Bar","628 E Adams St","Phoenix","AZ","85004","USA","food","African diaspora restaurant and bar","African food; Brazilian food; Caribbean food; Southern food; wine; beer; spirits","Restaurant and bar celebrating flavors of Africa and the African diaspora, with locally and responsibly sourced ingredients.","https://lathaphx.com/","","","","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","Downtown Phoenix Inc.","Black-owned (source-backed)","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","DTPHX Black-Owned Businesses article provides address, description and official website link."
"Grassrootz Bookstore and Juice Bar","1145 E Washington St #200","Phoenix","AZ","85034","USA","retail","bookstore and juice bar","Black-authored books; bookstore; juice bar; coworking; community events","Community bookstore focused on books by Black authors and the Black experience, with juice bar, coworking and event space.","https://grassrootzbookstore.com/","","","","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","Downtown Phoenix Inc.","Black-owned (source-backed)","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","DTPHX states Ali Nervis opened the store and provides address and official website."
"Stardust & Sage","610 E Roosevelt St Unit 136","Phoenix","AZ","85004","USA","retail","crystal and spiritual wellness shop","crystals; oracle readings; divination; guided meditation; sound baths; herbal baths; remedies","Roosevelt Row crystal and spiritual-wellness shop offering readings, meditation, sound baths, herbal baths and related products.","https://stardustandsage.com/","","","","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","Downtown Phoenix Inc.","Black-owned (source-backed)","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","DTPHX identifies the shop as owned by Havana and provides address and official website."
"Straw & Wool","610 E Roosevelt St Unit 144","Phoenix","AZ","85004","USA","retail","hat shop","hats; classic hats; fashion accessories; apparel","Phoenix hat shop established in 2020 offering classic hats and style-focused retail.","https://strawandwool.com/","","","","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","Downtown Phoenix Inc.","Black-owned (source-backed)","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","DTPHX provides Phoenix address, description and official website link."
"Archwood Exchange & Buy Black Marketplace","1401 E Van Buren St","Phoenix","AZ","85006","USA","retail","community marketplace","Buy Black marketplace; local art; jewelry; clothing; beauty products; food; vendor events","Local collective and marketplace supporting Phoenix-based Black businesses with rotating art, apparel, beauty, food and other vendors.","https://archwoodexchange.myshopify.com/","","","","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","Downtown Phoenix Inc.","Black-owned marketplace (source-backed)","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","DTPHX describes the collective, marketplace mission, address and official website."
"Sweet Crimes Candy Vault","114 W Adams St Suite C-106","Phoenix","AZ","85003","USA","food","dessert and candy shop","ice cream; candy; sundaes; nostalgic candy; comfort desserts","Micro ice-cream shop, candy store and dessert spot mash-up offering sundaes, classic candy and comfort desserts.","https://www.sweetcrimescandyvaultphx.com/","","","","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","Downtown Phoenix Inc.","Black-owned; jointly operated by Andy Milsap and Grace Foster (source-backed)","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","DTPHX provides address, official website and named operators."
"Andy's Shoe Shine","114 W Adams St","Phoenix","AZ","85003","USA","home trades","shoe repair and care","shoe shine; stiletto repair; shoe resoling; shoe repair","Downtown shoe-care business offering shining, repairs and resoling.","https://www.andysshoeshine.com/","","","","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","Downtown Phoenix Inc.","Black-owned; operated by Andy and Grace (source-backed)","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","DTPHX states the business has operated downtown for 20 years and names Andy and Grace."
"Stadium Sports Bar & Lounge","50 W Jefferson St","Phoenix","AZ","85003","USA","nightlife","sports bar and lounge","sports bar; tailgate experience; entertainment; drinks; community events","CityScape sports bar and lounge focused on sports viewing, entertainment and an inviting community atmosphere.","https://stadiumphx.com/","","","","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","Downtown Phoenix Inc.","Black-owned; owner Que Quinn (source-backed)","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","DTPHX identifies owner Que Quinn and provides address and official website."
"Nail Snob Phx","400 N 2nd Ave","Phoenix","AZ","85003","USA","beauty","nail salon","natural nail extensions; gel manicures; dry pedicures; nail studio","Creative studio salon specializing in natural nail extensions, gel manicures and dry pedicures.","https://www.nailsnobphx.com/","","","","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","Downtown Phoenix Inc.","Black-owned (source-backed)","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","DTPHX provides address, service description and official website."
"Look Better Naked Spa","620 W Adams St, inside University of S.A.Q.","Phoenix","AZ","85003","USA","beauty","spa and body care","spa; body care; skincare; inclusive wellness; esthetics","Phoenix spa founded by Nadjege Casimir with an explicitly welcoming, inclusive approach to body confidence and care.","https://www.lookbetternakedspa.com/","","","","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","Downtown Phoenix Inc.","Black-owned; founder/CEO Nadjege Casimir (source-backed)","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","DTPHX names founder/CEO, address and official website."
"Afri-Soul Education Center","1021 E Washington St","Phoenix","AZ","85034","USA","finance","business incubator and entrepreneur support","small business incubation; coaching; classes; workshops; affordable office space; marketplace","BIPOC-led small-business incubator offering coaching, classes, affordable spaces, marketplace and cultural programming.","https://afri-soul.com/","","","","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","Downtown Phoenix Inc.","BIPOC-led (source-backed)","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","DTPHX explicitly states BIPOC-led and lists services, address and official website."
"Black Theatre Troupe","1333 E Washington St","Phoenix","AZ","85034","USA","nightlife","performing arts and theatre","theatre; live performances; cultural programming; tickets; donations","Long-running Eastlake Park performing-arts organization presenting live theatre and cultural programming.","https://www.blacktheatretroupe.org/","https://www.instagram.com/blacktheatretroupe/","","","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","Downtown Phoenix Inc.","Black-led/community Black theatre (source-backed)","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","DTPHX describes its Black community history and provides official website/social and address."
"Chilte","765 Grand Ave","Phoenix","AZ","85007","USA","food","Mexican restaurant","Mexican food; global flavors; restaurant dining; catering","Brick-and-mortar restaurant blending traditional Mexican flavors with global influences, founded by Lawrence Smith and Aseret Arroyo.","https://www.chiltephx.com/","","","","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","Downtown Phoenix Inc.","Black-owned; founded by Lawrence Smith and Aseret Arroyo (source-backed)","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","DTPHX provides founders, Phoenix address, description and official website."
"Tipsy Scoop Phoenix Barlour","355 N Central Ave Suite 102","Phoenix","AZ","85004","USA","food","ice cream and dessert bar","boozy ice cream; ice cream; dessert; barlour","Phoenix dessert bar serving Tipsy Scoop products; DTPHX identifies local mother-daughter franchise owners.","https://tipsyscoop.com/","","","","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","Downtown Phoenix Inc.","Black-owned/franchise owned by Tamika Wooten and Dominika Cheatham (source-backed)","https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix","DTPHX explicitly identifies the mother-daughter owners and provides address and official brand site."
"Way Cool Plumbing & Air","2328 E Van Buren St Suite 121","Phoenix","AZ","85006","USA","home trades","HVAC, plumbing and home performance","AC repair; HVAC replacement; tune-ups; plumbing; water heaters; repipes; energy audits; insulation","Phoenix-grown family business providing HVAC, plumbing, home-performance audits and maintenance; official site lists Arizona ROC licenses.","https://www.callwaycool.com/","https://www.instagram.com/callwaycool/","https://www.facebook.com/p/Way-Cool-Plumbing-Air-61560574541945/","https://www.tiktok.com/@callwaycool","https://www.callwaycool.com/","Way Cool Plumbing & Air official website","Family-owned and operated; licensed, bonded and insured (self-stated)","https://www.callwaycool.com/","Official site states family-owned since 1982, Phoenix address, services and AZ ROC #337360 plus additional ROC numbers."
"A.M. Accounting Services LLC","11811 N Tatum Blvd Ste 3031","Phoenix","AZ","85028","USA","finance","accounting and tax services","tax preparation; business accounting; IRS issues; consulting; financial goals","Phoenix accounting firm serving individuals, business owners, executives and independent professionals with tax, accounting and consulting services.","https://www.amaccountingservices.com/","","https://www.facebook.com/AM-Accounting-Services-LLC-206498636110142","","https://www.amaccountingservices.com/","A.M. Accounting Services official website","None stated","","Official site lists Phoenix address, tax preparation, business/accounting, government-issue and consulting services."
