name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,notes
The Golden Spur,700 Lincoln Street,Columbia,SC,29201,USA,food,restaurant,restaurant; gourmet cuisine; appetizers; entrees; cocktails; beer; wine; event space,"Official University of South Carolina restaurant offering handcrafted food, drinks, campus-community dining, reservations, and event space.",https://www.goldenspurgrill.com/,https://www.instagram.com/goldenspurgrill,https://www.facebook.com/goldenspurgrill,,https://www.goldenspurgrill.com/,The Golden Spur official website,,,Official site explicitly lists Columbia address and active daily hours.
Market on Main,1320 Main St. #150,Columbia,SC,29201,USA,food,restaurant/bar,gourmet Americana; brunch; cocktails; live music; indoor/outdoor dining; catering; events,"Gourmet Americana restaurant on Main Street with bar, live music, indoor/outdoor seating, specialty retail items, takeout, reservations, and catering.",https://www.marketonmain.com/,https://www.instagram.com/marketonmaincolasc/?hl=en,https://www.facebook.com/p/Market-on-Main-61556264750067/,https://www.tiktok.com/@mainstm.o.m,https://www.marketonmain.com/,Market on Main official website,,,"Official site lists address, current hours, menu, dining and event services."
The Hollow,823 Gervais Street,Columbia,SC,29201,USA,food,restaurant/private dining,wild game; elk; duck; cocktails; dinner; lunch; private dining; reservations,"Locally inspired restaurant in downtown Columbia featuring exotic offerings, hand-shaken cocktails, reservations, and private dining for celebrations.",https://thehollowsc.com/,,https://www.facebook.com/p/The-Hollow-Restaurant-61552666811978/,,https://thehollowsc.com/,The Hollow official website,,,"Official site lists active location, hours, menu highlights, and private dining."
"J Renee Braids, Fades, & Slays","7201 Two Notch Rd, BU-616, Columbia Place Mall",Columbia,SC,29223,USA,beauty,braider/haircare,box braids; Senegalese twists; locs; silk press; blowout; color; cuts; feed-in braids; scalp treatments; crochet; cornrows; relaxers; weaves,"Licensed Columbia master haircare specialist offering full-service haircare, braiding, locs, styling, color, cuts, treatments, and weaves.",https://jreneebraidsfadesslays.com/,https://www.instagram.com/jreneebraidsfadesnslays,https://www.facebook.com/JazzsLuxeDesign,,https://jreneebraidsfadesslays.com/,"J Renee Braids, Fades, & Slays official website",,,Official site self-states SC cosmetology license and licensed braider; address and booking link provided.
DSB Law Firm,1913 Bull Street,Columbia,SC,29201,USA,law,personal injury/criminal defense,car accidents; truck accidents; personal injury; premises liability; workers compensation; dog bites; criminal defense; free consultation,"Columbia law firm serving South Carolinians with personal injury, accident, workers compensation, premises liability, and criminal defense representation.",https://dsblawfirm.com/columbia-office/,https://www.instagram.com/dsblawfirmsc/,https://www.facebook.com/daysonshalabilawfirm,,https://dsblawfirm.com/columbia-office/,Dayson Shalabi Burkett Law Firm official Columbia office page,,,"Official office page lists address, services, consultation, and social links."
"Mid-State Heating and Air, LLC",6807 Monticello Rd.,Columbia,SC,,USA,home trades,HVAC contractor,24/7 emergency HVAC repair; residential HVAC; commercial HVAC; installation; maintenance; Daikin; ductless; indoor air quality,"Family-owned HVAC company serving Columbia and the Midlands since 2009 with emergency repair, installation, maintenance, commercial/residential service, and indoor-air-quality solutions.",https://midstateheating.com/,,https://www.facebook.com/midstateheating/,,https://midstateheating.com/,Mid-State Heating and Air official website,family-owned,https://midstateheating.com/,Official site explicitly states family-owned and provides Columbia contact address.
Bright Horizons at The Columbia Federal Center,"1835 Assembly Street, Suite 113, Strom Thurmond Building",Columbia,SC,29201,USA,childcare,early education/daycare,infant care; toddler care; preschool; kindergarten prep; summer program; early education; NAEYC accredited,"Active Columbia early-education center for children ages 1 month to 4 years, offering infant, toddler, preschool, kindergarten-prep, and summer programs.",https://www.brighthorizons.com/daycare-centers/sc/columbia/1835-assembly-street-29201,,https://www.facebook.com/brighthorizons/,,https://www.brighthorizons.com/daycare-centers/sc/columbia/1835-assembly-street-29201,Bright Horizons official center page,,,"Official center page lists hours, address, enrollment, programs, and NAEYC accreditation."
CAN Community Health,1911 Hampton St.,Columbia,SC,29201,USA,health,sexual health/HIV clinic,STD testing; STD treatment; PrEP; nPEP; HIV care; hepatitis C; behavioral health; dental; pharmacy; transportation; mobile outreach,"Community health clinic offering sexual-health testing and treatment, HIV and hepatitis care, PrEP/nPEP, behavioral health, dental, pharmacy, transportation, and outreach.",https://www.cancommunityhealth.org/south-carolina/,,https://www.facebook.com/profile.php?id=61575794212805,,https://www.cancommunityhealth.org/south-carolina/,CAN Community Health South Carolina official page,,,"Official page lists Columbia address, hours, active appointment options, and services."
The Free Medical Clinic,1875 Harden Street,Columbia,SC,29204,USA,health,free medical clinic,free healthcare; uninsured care; medical checkups; specialized treatments; patient enrollment,"Community clinic providing quality healthcare at no cost to uninsured residents who cannot pay, including routine checkups and specialized treatments.",https://www.freemedclinic.org/,http://www.instagram.com/freemedclinicmidlands,http://www.facebook.com/TheFreeMedicalClinic,,https://www.freemedclinic.org/,The Free Medical Clinic official website,,,"Official site lists mission, active hours, Columbia address, and patient services."
M Boutique Style,702 Cross Hill Rd. Suite 400A,Columbia,SC,29205,USA,retail,women’s fashion boutique,women’s clothing; boutique fashion; in-store shopping,Columbia fashion boutique with published storefront hours and in-person retail shopping.,https://mboutiquestyle.com/,https://www.instagram.com/mboutique/?hl=en,,,https://mboutiquestyle.com/,M Boutique Style official website,,,Official site lists Columbia storefront address and current hours; product detail is limited.
"Travel Unlimited, Inc.","100 Ashland Park Lane, Suite F",Columbia,SC,29210,USA,travel,travel agency,domestic air; international air; hotels; rental cars; escorted tours; independent tours; river cruises; ocean cruises; destination weddings,"Locally owned full-service travel agency established in 1990, arranging air travel, lodging, car rentals, tours, cruises, destination weddings, and honeymoons.",https://www.travelunlimitedsc.com/,,https://www.facebook.com/travelunlimitedsc/,,https://www.travelunlimitedsc.com/,Travel Unlimited official website,locally owned and operated,https://www.travelunlimitedsc.com/,Official site explicitly states locally owned and operated and lists Columbia address/services.
Art Bar,1211 Park Street,Columbia,SC,29201,USA,nightlife,bar/live entertainment,bar; comedy; karaoke; trivia; DJs; live music; burgers; sandwiches; wings; patio,"Columbia nightlife venue and dive bar featuring comedy, karaoke, trivia, DJs, live music, food, outdoor patio, and lounge spaces.",https://www.artbarsc.com/,https://www.instagram.com/artbarsc/,https://www.facebook.com/artbarvista,,https://www.artbarsc.com/,Art Bar official website,,,"Official site lists active hours, address, menu/events, and social links."
