name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,notes
Lions Den Cafe,2010 Fremont Ave N,Minneapolis,MN,55411,USA,food,soul food restaurant,soul food; dine-in; online ordering; delivery,"Soul food cafe serving hearty meals with dine-in, online ordering, delivery, and a community-oriented welcoming vibe.",https://lionsdensoulfood.com/,,,,https://lionsdensoulfood.com/,Lions Den Cafe official website,,,Official site says located at this Minneapolis address and offers delivery; verify current opening hours before visit.
Relish,700 Central Ave NE,Minneapolis,MN,55414,USA,food,"coffee shop, restaurant and bar",coffee; breakfast; brunch; lunch; dinner; full bar; reservations; pickup,"Northeast Minneapolis coffee shop, restaurant, and bar offering coffee, all-day brunch, breakfast, lunch, dinner, daily specials, reservations, and pickup.",https://relishmpls.com/,https://www.instagram.com/relishmpls/,,,https://relishmpls.com/,Relish official website,,,
Union Rooftop,731 Hennepin Avenue,Minneapolis,MN,55403,USA,food,"rooftop kitchen, bar and grill",scratch American cooking; cocktails; beer; wine; brunch; private parties; late night,"Rooftop kitchen, bar, and grill with scratch American cooking, cocktails, beer and wine, brunch, late-night hours, and private-party options.",https://unionmpls.com/,https://www.instagram.com/unionrooftop/,https://www.facebook.com/268936349878973,,https://unionmpls.com/,Union Rooftop official website,,,"Official site lists current dinner, brunch, and late-night hours."
Native American Community Clinic,1213 E Franklin Avenue,Minneapolis,MN,55404,USA,health,community health center,medical care; dental care; behavioral health; substance use; traditional healing; culturally grounded care,"Community health center promoting health and wellness of mind, body, and spirit for Native American families; offers medical, dental, behavioral health, substance use, and traditional healing services.",https://nacc-healthcare.org/,https://www.instagram.com/nacc_healthcare/,http://www.facebook.com/NativeAmericanCommunityClinic,,https://nacc-healthcare.org/,Native American Community Clinic official website,FTCA deemed community health center,https://nacc-healthcare.org/,"Official site announces new clinic opening September 15, 2026 and lists this address; confirm location during transition."
Southside Community Health Services,1000 E Lake Street,Minneapolis,MN,55407,USA,health,federally qualified community health center,medical; oral health; behavioral health; vision; primary care; sliding-fee care,"Community health center serving South Minneapolis with medical, oral health, behavioral health, vision, and insurance-enrollment services.",https://www.southsidechs.org/,,https://www.facebook.com/southsidecchs,,https://www.southsidechs.org/,Southside Community Health Services official website,501(c)(3) nonprofit; federally qualified health center (FQHC); FTCA deemed facility,https://www.southsidechs.org/,Official site says the former 35th Street clinic is permanently closed; current East Lake location used.
Neighborhood HealthSource,2301 Central Avenue NE,Minneapolis,MN,55418,USA,health,federally qualified health center,primary medical care; behavioral health; substance abuse treatment; community health; sliding-fee care,"Federally qualified health center providing affordable primary medical, behavioral health, substance-abuse, and community-health services.",https://neighborhoodhealthsource.org/,https://www.instagram.com/nhsmpls/,https://www.facebook.com/NeighborhoodHealthSource/?ref=bookmarks,,https://neighborhoodhealthsource.org/,Neighborhood HealthSource official website,Federally qualified health center; FTCA and FSHCAA deemed health center,https://neighborhoodhealthsource.org/,Record uses the official Central Clinic Minneapolis location; organization also lists other locations.
Community-University Health Care Center (CUHCC),2001 Bloomington Avenue S,Minneapolis,MN,55404,USA,health,community clinic,medical care; dental care; mental health; pediatrics; legal services; care coordination,"Community clinic welcoming patients of every age and background, with medical, dental, mental-health, pediatric, legal, and care-coordination services.",https://cuhcc.umn.edu/,,,,https://cuhcc.umn.edu/,Community-University Health Care Center official website,,,Official University of Minnesota site lists address and walk-in/in-person care.
YMCA Early Childhood Learning Center at the University of Minnesota,326 16th Ave SE,Minneapolis,MN,55455,USA,childcare,early childhood learning center,full-day childcare; infant care; toddler care; preschool; pre-kindergarten; scholarships; STEM; playground,"YMCA early-childhood center offering full-day care and education for infants, toddlers, preschoolers, and pre-kindergarten children, with enrichment and need-based scholarships.",https://www.ymcanorth.org/eclc/locations/ymca-early-childhood-learning-center,,,,https://www.ymcanorth.org/eclc/locations/ymca-early-childhood-learning-center,YMCA of the North official website,,,"Official page lists Minneapolis address, hours, age ranges, and services."
"Fredrikson & Byron, P.A.","60 South Sixth Street, Suite 1500",Minneapolis,MN,55402-4400,USA,law,full-service law firm,banking law; corporate law; employment; healthcare; IP; litigation; real estate; securities; tax; estate planning; family law; immigration,"Downtown Minneapolis law firm serving businesses, entrepreneurs, agencies, families, and individuals across corporate, employment, healthcare, litigation, real estate, tax, estate-planning, family, and immigration matters.",https://www.fredlaw.com/contact-minneapolis,,,,https://www.fredlaw.com/contact-minneapolis,Fredrikson & Byron official website,,,
Northwestern Mutual Minneapolis Office,"225 S 6th St, Suite 4500",Minneapolis,MN,55402,USA,finance,financial planning and investment advisory office,financial planning; investment management; retirement planning; insurance; wealth management,Minneapolis financial-advisor office providing financial-planning and wealth-management services through Northwestern Mutual advisors.,https://www.northwesternmutual.com/office/mn/minneapolis/20692005/,,,,https://www.northwesternmutual.com/office/mn/minneapolis/20692005/,Northwestern Mutual official website,,,Verify advisor credentials and services directly; source lists office address and phone.
