name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,notes
Soul 2 Go,72 E. Lynn St,Columbus,OH,43215,USA,food,soul food restaurant,"soul food, dine-in, pickup, delivery, catering, private parties","Family-owned soul food restaurant serving Southern comfort food, online ordering, catering, and private parties.",https://soul2goohio.com/,https://www.instagram.com/soul_2go,https://www.facebook.com/106240001445054,,https://soul2goohio.com/,Soul 2 Go official website,family-owned,https://soul2goohio.com/,Official site lists Downtown Columbus address and hours.
Chef Butcher's Creole Kitchen,795 E. Long Street,Columbus,OH,43203,USA,food,Creole restaurant,"Creole cuisine, New Orleans food, dine-in, carryout, live jazz, seasoning","Family restaurant serving New Orleans Creole dishes, carryout and dine-in, with live jazz and house seasoning.",https://www.creolekitchen.biz/,https://www.instagram.com/creole_kitchen/,https://www.facebook.com/creolekitchen,,https://www.creolekitchen.biz/,Chef Butcher's Creole Kitchen official website,family restaurant,https://www.creolekitchen.biz/,Official site states relocated address and open carryout/dine-in.
Thomas Ingram Law Group,98 Hamilton Park,Columbus,OH,43203,USA,law,transactional law firm,"business law, commercial real estate, estate planning, M&A, probate, residential real estate, tax","Transactional law firm serving businesses, entrepreneurs, and individuals across business, real estate, estate, probate, M&A, and tax matters.",https://tilawgroup.com/,,,,https://tilawgroup.com/black-owned-law-firm/,Thomas Ingram Law Group official website,Black-owned; certified minority-owned,https://tilawgroup.com/black-owned-law-firm/,Official page explicitly states ownership and Columbus address.
Noir Lounge,15 W Cherry St.,Columbus,OH,43215,USA,nightlife,cocktail lounge,"specialty cocktails, drinks, VIP service, private events, bookings","Sophisticated Columbus lounge offering specialty cocktails, drinks, VIP service, and private event bookings.",https://www.noircolumbus.com/,,https://www.facebook.com/Noir-Lounge-Columbus-109219341789616,,https://www.noircolumbus.com/,Noir Lounge official website,,,Official site lists operating hours Thursday-Sunday and address.
YA Services LLC,3310 Morse Road Unit 118,Columbus,OH,43231,USA,home trades/HVAC,HVAC and appliance repair,"heating, air conditioning, HVAC, appliance repair, AC installation, emergency service",Locally owned Columbus heating and air-conditioning company specializing in HVAC and appliance repair.,https://yahomeservices.com/,https://www.instagram.com/ya.homeservices99,https://www.facebook.com/YAHomeServices,,https://yahomeservices.com/about-us/,YA Services official website,locally owned,https://yahomeservices.com/about-us/,Official site lists Columbus address and service coverage.
Uniglobe Travel Designers,"1890 E Main Street, Suite 700",Columbus,OH,43205,USA,travel,travel management company,"corporate travel, group travel, vacation planning, cruises, African safaris, travel management","Full-service travel management company providing customized corporate, group, leisure, and vacation travel planning.",https://uniglobetraveldesigners.com/,https://www.instagram.com/uniglobetd/,https://www.facebook.com/UniglobeTravelDesigners/,,https://uniglobetraveldesigners.com/,Uniglobe Travel Designers official website,"Black, women-owned",https://uniglobetraveldesigners.com/,Official site explicitly self-states ownership and Columbus address.
Kiddie Academy of Downtown Columbus,37 N. High St.,Columbus,OH,43215,USA,childcare,educational childcare,"infant daycare, toddler daycare, preschool, pre-kindergarten, health and safety, Life Essentials curriculum","Educational childcare academy offering infant, toddler, preschool, and pre-kindergarten programs with health and safety protocols.",https://kiddieacademy.com/academies/downtown-columbus/,,,,https://kiddieacademy.com/academies/downtown-columbus/,Kiddie Academy official website,,,"Official site lists current enrollment, hours, and Columbus address."
Trio Pharmacy,1570 Cleveland Ave,Columbus,OH,43211,USA,health,pharmacy,"prescription pharmacy, immunizations, diabetes care, tobacco cessation, medication therapy management, bubble packaging","Community pharmacy providing affordable medicines, immunizations, diabetes education, tobacco cessation, MTM, and personalized packaging.",https://www.triopharmacy.com/,,,,https://www.triopharmacy.com/,Trio Pharmacy official website,,,Official site lists Ohio Medicaid and major insurance acceptance.
Sole Classics,846 N. High St.,Columbus,OH,43215,USA,retail,sneaker and apparel store,"sneakers, footwear, apparel, hats, youth shoes, releases, gift cards","Columbus retail sneaker and lifestyle store selling footwear, apparel, hats, youth products, releases, and gift cards.",https://soleclassics.com/,https://www.instagram.com/soleclassics,https://www.facebook.com/soleclassics,,https://soleclassics.com/,Sole Classics official website,,,Official site states domain is now Kingsrowe.com but lists Columbus Short North location.
Columbus Women's Care,5965 E. Broad Street Suite 320 (Building 5),Columbus,OH,43213,USA,health,women's healthcare,"gynecology, obstetrics, childbirth, menopause care, robotic surgery, prenatal care","Women's healthcare practice providing obstetrics, gynecology, childbirth, menopause care, and robotic surgery.",https://columbuswomenscare.com/,https://www.instagram.com/cwc.beauty/,https://www.facebook.com/ColumbusWomensCare,,https://columbuswomenscare.com/,Columbus Women's Care official website,,,Official site lists current hours and Columbus address.
