name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,notes
Blue Flame Tampa,1524 E Fowler Ave,Tampa,FL,33612,USA,food,southern soul food,"soul food; southern cuisine; takeout; delivery; catering","Southern soul-food restaurant serving from-scratch cuisine including oxtails, seafood pasta, turkey, chicken and chitterlings; offers takeout, delivery and catering.",https://www.blueflametampa.com/,https://www.instagram.com/blueflametampa/,,,https://www.blueflametampa.com/,Blue Flame Tampa official website,,,Official site lists Tampa address and Wed-Sun operating hours.
7th + Grove,1930 E 7th Avenue,Tampa,FL,33605,USA,nightlife,restaurant and lounge,"southern food; Guyanese-inspired meals; cocktails; reservations; live music; private parties; catering","Adult-friendly Ybor City restaurant and lounge offering Southern and Guyanese-inspired food, cocktails, live music, reservations, private parties and catering.",https://7thandgrove.com/,,,,https://7thandgrove.com/,7th + Grove official website,,,Official site lists Tampa location, current reservations, hours and events.
Faith Cafe,1340 N Clearview Avenue,Tampa,FL,33607,USA,food,community soup kitchen,"free meals; soup kitchen; clothing; necessities; showers; community resources","Tampa nonprofit soup kitchen providing free meals seven days a week, plus clothing and necessities on select days, showers and resource referrals.",https://www.faithcafetampa.org/,,,,https://www.faithcafetampa.org/,Faith Cafe official website,,,Official site identifies organization as a 501(c)(3) and lists address, services and hours.
The Portico,1001 N Florida Avenue,Tampa,FL,,USA,community,cafe and gathering space,"cafe; coworking; meeting rooms; event venue; homeless initiatives; job training; employment; housing","Community gathering place with a social-enterprise cafe, coworking and meeting spaces, event venue, homeless initiatives, and job training/employment support for people transitioning from homelessness, addiction or incarceration.",https://theportico.org/,https://www.instagram.com/theporticotampa/?hl=en,https://www.facebook.com/ThePorticoTampa/,,https://theportico.org/,The Portico official website,,,Official site lists Tampa address and community/social-enterprise services; no postal code shown.
CAN Community Health - Tampa,4729 N Habana Avenue,Tampa,FL,33614,USA,health,community health clinic,"primary care; HIV/AIDS care; hepatitis C; STD services; PrEP; patient care coordinator","Tampa community health location providing primary care, HIV/AIDS care, hepatitis C care, STD services, PrEP and patient-care coordination.",https://www.cancommunityhealth.org/tampa/,,, ,https://www.cancommunityhealth.org/tampa/,CAN Community Health official website,,,Official location page lists Tampa address and services. Instagram/TikTok not identified on official page.
Law Office of Eric T. Taylor P.A.,2102 W Cass Street,Tampa,FL,33606,USA,law,personal injury and criminal defense,"personal injury; wrongful death; auto accidents; premises liability; eminent domain; criminal defense; DUI; free consultation","Tampa law office handling personal injury, wrongful death, vehicle accidents, premises liability, eminent domain and criminal defense matters; offers consultations.",https://www.erictaylor.org/,,, ,https://www.erictaylor.org/attorney-profile.php,Law Office of Eric T. Taylor official website,"Black-owned law firm",https://www.erictaylor.org/attorney-profile.php,Attorney profile explicitly states Eric Taylor became one of the few Black attorneys in the United States to own his own law firm; official contact address corroborated by site search/contact page.
Air Masters of Tampa Bay,4830 N Florida Avenue,Tampa,FL,33603,USA,home trades,HVAC,"AC repair; HVAC installation; heating; maintenance; emergency HVAC; duct cleaning; indoor air quality; commercial HVAC; financing","Family-owned Tampa HVAC company serving residential and commercial customers with AC repair, installation, maintenance, heating, emergency service, duct cleaning and indoor-air-quality solutions.",https://www.airmasters.net/,,https://www.facebook.com/AirMasterofTampaBay,,https://www.airmasters.net/,Air Masters of Tampa Bay official website,family-owned,https://www.airmasters.net/,Official site states family owned, lists Tampa address and Florida HVAC license CMC1249497.
DONMENOW,1211 E Kennedy Blvd Retail 140,Tampa,FL,33602,USA,retail,women's boutique,"women's apparel; accessories; jewelry; Tampa merchandise; online shopping; events","Downtown Tampa boutique offering women's apparel, accessories and jewelry, with online shopping and community-oriented in-store events.",https://www.donmenow.com/,https://www.instagram.com/donmenow/,https://www.facebook.com/donmenow/,,https://www.donmenow.com/,DONMENOW official website,,,Official site lists Channel District Tampa address and active social links; site includes current store/event posts.
The Learning Experience New Tampa,20780 Trout Creek Drive,Tampa,FL,33647,USA,childcare,daycare and preschool,"infant daycare; toddler care; preschool; pre-K; kindergarten readiness; school-age program; early education","Early education and childcare center serving children from 6 weeks to 6 years with infant, toddler, preschool, pre-K and kindergarten-readiness programs; school-age program also offered.",https://thelearningexperience.com/centers/new-tampa/,https://instagram.com/tlenewtampa,https://www.facebook.com/TheLearningExperienceNewTampa/,,https://thelearningexperience.com/centers/new-tampa/,The Learning Experience New Tampa official center page,,,Official page lists Tampa address, operating hours, programs and center owner by first name; no ownership identity inferred.
Florida Financial Advisors,6550 W Hillsborough Avenue Suite 130,Tampa,FL,33634,USA,finance,financial planning and wealth management,"financial planning; wealth management; retirement planning; investment advisory; tax strategies; insurance strategies; estate planning; business owner services","Tampa financial advisory firm offering financial planning, wealth management, investment advisory, retirement planning, tax and insurance strategies, estate planning and business-owner services.",https://www.floridafa.com/, ,https://www.facebook.com/floridafas/,,https://www.floridafa.com/contact-tampa-st-pete-fl-office.24.htm,Florida Financial Advisors official website,,,Official page identifies Tampa headquarters address and licensed financial-advisor/wealth-management services; regulated provider details are disclosed on the official site.
