name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,notes
Dedicated Gluten Free Bakery,4500 E Speedway Blvd Suite 41,Tucson,AZ,85712,USA,food,bakery cafe,"gluten-free bakery; breakfast; lunch; coffee; cakes; cupcakes; catering; special orders",Family-owned and operated gluten-free bakery and cafe serving scratch-baked breads pastries cakes and treats plus breakfast lunch coffee catering and custom orders.,https://www.dedicatedgf.com/,https://www.instagram.com/dedicatedgf/,https://www.facebook.com/dedicatedGF/,http://tiktok.com/@dedicatedgf,https://www.dedicatedgf.com/,Dedicated Gluten Free Bakery official website,family-owned and operated,https://www.dedicatedgf.com/,Official site lists Tucson address hours services and ownership statement; currently open Wed-Sat.
Milly's Fab Hair Braiding Salon,2914 East 22nd Street,Tucson,AZ,85713,USA,beauty,braiding salon,"women's braids; men's braids; kids braids; dreadlocs; twists; alopecia coverup; detangling; wigs; sew-ins",Tucson hair-braiding salon offering protective styling natural hair care loc maintenance braids twists kids styles alopecia coverup detangling and wig or sew-in services.,https://www.millysfab.com/,https://www.instagram.com/millysfabtucsonbraids/,https://web.facebook.com/milly.s.fab,https://www.tiktok.com/@millys.fab,https://www.millysfab.com/,Milly's Fab official website,,,Official site lists Tucson address services daily hours and social links; no ownership designation inferred.
The Sandbox Early Childhood Learning Center,2701 N Swan Rd,Tucson,AZ,85712,USA,childcare,early childhood learning center,"early childhood education; preschool; child care; enrollment; child-initiated learning",Early childhood learning center established in 1980 with child-initiated hands-on discovery activities qualified staff and enrollment information.,https://sandboxtucson.com/,,https://www.facebook.com/The-Sandbox-Tucson-781553391887300/,,https://sandboxtucson.com/,The Sandbox official website,,,Official site lists Tucson address center programs and enrollment; regulated childcare record retained because source is the provider's official site.
United Community Health Center at Three Points,15921 W Ajo Way,Tucson,AZ,85735,USA,health,community health center,"primary care; illness and injury care; chronic conditions; immunizations; health maintenance; behavioral health",Community health center providing primary care for all ages and programs including routine care chronic-condition care immunizations and behavioral health.,https://uchcaz.org/,,, ,https://uchcaz.org/,United Community Health Center official website,,,Official site lists the Tucson Three Points location and health services; no ownership designation inferred.
Moore Law Firm,4578 Camp Lowell Drive,Tucson,AZ,85712,USA,law,personal injury and immigration law,"personal injury; car accidents; wrongful death; immigration; criminal defense; probate; estate planning; malpractice",Tucson law firm serving Southern Arizona for more than 50 years with personal injury immigration probate estate planning and related legal services.,https://www.moorelawfirmaz.com/,https://www.instagram.com/moorelawfirmaz,https://www.facebook.com/MooreLawFirmAZ/,,https://www.moorelawfirmaz.com/,Moore Law Firm official website,,,Official site lists central Tucson address practice areas and attorney services; legal provider identity is source-backed.
TCI Wealth Advisors Tucson,4011 E Sunrise Dr,Tucson,AZ,85718,USA,finance,wealth management and financial planning,"financial planning; investment strategy; retirement planning; tax planning; cash flow strategy; estate planning; financial education",Registered investment advisory firm with a Tucson office providing wealth management financial planning investment strategy retirement tax cash-flow and estate-planning guidance.,https://tciwealth.com/locations/tucson/,https://www.instagram.com/tciwealthadvisors/,https://www.facebook.com/TCIWealthAdvisors,,https://tciwealth.com/locations/tucson/,TCI Wealth Advisors official Tucson location page,,,Official site lists Tucson address services and local community sponsorships; no ownership designation inferred.
Pride Heating Cooling Plumbing and Electrical,19 W Ventura St,Tucson,AZ,85705,USA,home trades,HVAC plumbing and electrical,"AC repair; furnace repair; cooling; heating; plumbing; electrical; generators; free estimates",Local Tucson home-services company offering HVAC cooling and heating plumbing electrical generator work and free estimates; site states service since 2010.,https://prideoftucson.com/,https://www.instagram.com/prideoftucson/,https://www.facebook.com/PrideMechanical,https://www.youtube.com/@PrideOfTucson/shorts,https://prideoftucson.com/,Pride of Tucson official website,,,Official site lists Tucson address service areas and ROC license numbers 356279 356280 356281; second Tucson address also appears but this record uses Ventura St.
Bon Voyage Travel,1640 East River Road Suite 115,Tucson,AZ,85718,USA,travel,travel agency,"cruise planning; river cruises; land tours; hotels; vacation planning; travel advisors",Arizona travel agency since 1976 offering advisor-led vacation planning for cruises river journeys land tours hotels and global travel.,https://bvtravel.com/,,, ,https://bvtravel.com/,Bon Voyage Travel official website,,,Official site lists Tucson location address and travel offerings; no ownership designation inferred.
Janet & Ray's,5443 E 22nd St,Tucson,AZ,85711,USA,food,Caribbean restaurant,"Caribbean food; jerk chicken; oxtails; curry goat; seafood; homemade desserts; dine-in; takeout; delivery",Woman-owned locally owned Tucson restaurant serving scratch-made Caribbean fusion and comfort food including jerk chicken oxtails curry goat seafood desserts coffee and tea.,https://janetandrays.com/,https://www.instagram.com/janetandrays/,https://www.facebook.com/profile.php?id=100066717601357,,https://janetandrays.com/,Janet & Ray's official website,woman-owned; locally owned,https://janetandrays.com/,Official site explicitly states woman-owned and locally owned and lists Tucson address ordering options and hours; open Fri-Sun and closed Mon-Thu.
Owl's Club,236 S Scott Ave,Tucson,AZ,85701,USA,nightlife,craft cocktail bar,"craft cocktails; neighborhood bar; drinks; events; nightlife",Neighborhood craft cocktail bar in Tucson's Armory Park neighborhood with a published drink list events and evening hours.,https://www.owlsclubwest.com/,https://www.instagram.com/owlsclubwest/,https://www.facebook.com/owlclubwest/,,https://www.owlsclubwest.com/,Owl's Club official website,,,Official site lists Tucson address evening hours drinks and events; no ownership designation inferred.
