name,address,city,state_or_region,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,location_type,languages,hours,price_range,address_enrichment_note,notes
PerioMedCare,Thompson Boulevard,Nassau,New Providence,,Bahamas,health,medical and dental clinic,medical care; dentistry; dental implants; women’s health; gynecology; gynecologic oncology,Medical and dental care centre offering routine and advanced dental care and women’s health services.,https://clinic.periomedcare.com/,+1 242-356-4325/6,,,,https://clinic.periomedcare.com/,PerioMedCare official website,,,true,physical,English,,,"Official website states Thompson Boulevard, Nassau and lists clinic services and phone.",Source basis: official business website; current destination and street address confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Genesis Dental Center Bahamas Ltd.,"Mackey St. Plaza, Mackey St., Shop 6",Nassau,New Providence,,Bahamas,health,dental clinic,general dentistry; dental implants; dentures; crowns; bridges,Dental practice providing comprehensive patient-focused dental services.,https://www.genesisdentalcenter.com/,242-393-2333,https://www.instagram.com/genesisdentalbahamas,https://www.facebook.com/share/19yw1Pi2te/?mibextid=wwXIfr,,https://www.genesisdentalcenter.com/,Genesis Dental Center official website,,,true,physical,English,Mon-Thu 8:00am-4:00pm; Fri 8:00am-12:00pm; every other Sat 8:00am-12:00pm; Sun closed,,"Official website provides exact Mackey St. Plaza shop address, phone, hours and social links.",Source basis: official business website; current destination and street address confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Bahamas Isle Dental Suites,"Suite 6 Commonwealth House, East Ave, Centreville",Nassau,New Providence,,Bahamas,health,dental clinic,cleanings; exams; preventive dental care,Dental practice offering preventive cleanings and examinations.,https://www.bahamaislesdentalsuites.com/,+1 242-601-5308,,https://www.facebook.com/profile.php?id=61556720906274,,,https://www.bahamaislesdentalsuites.com/services/cleanings-and-exams/,Bahamas Isle Dental Suites official website,,,true,physical,English,,"Official page gives Suite 6 Commonwealth House, East Ave, Centreville address and contact numbers.",Source basis: official business webpage; current destination and street address confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Skin Solutions Day Spa & Salon,"Two doors west of Baha Mar Hotel, Cable Beach, W Bay Street",Nassau,New Providence,,Bahamas,hair_beauty,day spa and salon,facials; skin care; massage; hair services; nail services,"Day spa and salon providing skin, massage, hair and nail services at Cable Beach.",https://www.skinsolutionsbahamas.net/,+1 242-327-0500; +1 242-601-2362,,https://www.facebook.com/skinsolutionsdayspasalon,,,https://www.skinsolutionsbahamas.net/,Skin Solutions official website,,,false,physical,English,,"Official website confirms current Nassau location on W Bay Street and lists services, phones and Facebook.",Source basis: official business website; current destination and street address confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Central Supercenter,"75 East Street North, Mason’s Addition",Nassau,New Providence,,Bahamas,food_groceries,supermarket,groceries; meat; snacks; liquor; grocery shopping,Grocery warehouse and supermarket serving Nassau shoppers.,https://centralsupercenter.com/,+1 242-356-3689; +1 242-810-6888,https://www.instagram.com/centralsupercenter/,https://www.facebook.com/centralsupercenter/,,,https://centralsupercenter.com/contact/,Central Supercenter official contact page,,,false,physical,English,Mon-Sat 8:00am-6:00pm; Sun and holidays closed,"Official contact page confirms store address, grocery categories, hours, phones and social profiles.",Source basis: official business website; current destination and street address confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Ace Hardware Nassau,"St. Albans Drive, off West Bay Street",Nassau,New Providence,,Bahamas,retail,hardware and home improvement,tools; hardware; home improvement; building supplies,Hardware store serving Nassau with tools and home-improvement products.,https://www.acehardwarenassau.com/,+1 242-605-2470/1/2,https://www.instagram.com/acehardwarenassau/,,,,https://www.acehardwarenassau.com/,Ace Hardware Nassau official website,,,false,physical,English,,Official website identifies the Nassau store on St. Albans Drive off West Bay Street and gives phone.,Source basis: official business website; current destination and street address confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Pirates of Nassau Museum,"King and George Streets, Downtown",Nassau,New Providence,,Bahamas,experiences,museum and interactive attraction,pirate history; interactive exhibits; family attraction; pirate-themed food,Interactive pirate experience with exhibits and family activities in downtown Nassau.,http://www.piratesofnassau.com/,242-356-3759,,https://www.facebook.com/piratesnassau/,,,http://www.piratesofnassau.com/,Pirates of Nassau official website,,,false,physical,English,,Official website describes the operating interactive experience and gives King and George Street address and phone.,Source basis: official business website; current destination and street address confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Sbarro Bahamas - Cable Beach,"Madeira Plaza, Cable Beach",Nassau,New Providence,,Bahamas,food,restaurant,pizza; Italian food; takeaway; casual dining,"Sbarro restaurant location at Madeira Plaza, Cable Beach.",https://sbarrobahamas.com/,+1 242-327-3076,,https://www.facebook.com/sbarronassau/,,,https://sbarrobahamas.com/contact-us/,Sbarro Bahamas official contact page,,,false,physical,English,,"Official contact page confirms Cable Beach location, address, phone and Facebook destination.",Source basis: official business website; current destination and street address confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Sbarro Bahamas - Mall at Marathon,Mall at Marathon,Nassau,New Providence,,Bahamas,food,restaurant,pizza; Italian food; takeaway; casual dining,Sbarro restaurant location at Mall at Marathon.,https://sbarrobahamas.com/,+1 242-393-3292/3,,https://www.facebook.com/sbarronassau/,,,https://sbarrobahamas.com/contact-us/,Sbarro Bahamas official contact page,,,false,physical,English,,"Official contact page confirms Mall at Marathon Nassau location, phone and Facebook destination.",Source basis: official business website; current destination and street address confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
McKinney Bancroft & Hughes,"Mareva House, 4 George Street",Nassau,New Providence,,Bahamas,legal,law firm,admiralty; corporate; family law; financial services; immigration; real estate; tax; trusts,Full-service law firm with a Nassau office and multiple legal practice areas.,https://www.mckinney.com.bs/,+1 242-502-9750; +1 242-328-2520,,,,https://www.mckinney.com.bs/contact-us/,McKinney Bancroft & Hughes official contact page,,,true,physical,English,,,"Official contact page confirms exact Mareva House/George Street office, phones and legal practice areas.",Source basis: official business website; current destination and street address confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Alexiou Knowles & Co.,"St. Andrew’s Court, Frederick Street Steps",Nassau,New Providence,,Bahamas,legal,law firm,commercial law; corporate litigation; financial services; real estate; development; trusts; estate planning,"Bahamian law firm with Nassau office and commercial, financial and real-estate practice areas.",https://bahamaslaw.com/,+1 242-322-1126; +1 242-323-5600,,, ,https://bahamaslaw.com/contact-us/,Alexiou Knowles & Co. official contact page,,,true,physical,English,,,Official contact page confirms Nassau office address and phone numbers and official firm destination.,Source basis: official business website; current destination and street address confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
The Bahamas Chamber of Commerce and Employers’ Confederation,#2 Shirley Street and Collins Avenue,Nassau,New Providence,,Bahamas,community,business chamber,business advocacy; employer support; chamber events; business resources,National chamber and employers’ confederation serving Nassau’s business community.,https://www.thebahamaschamber.com/,242-322-2145,https://www.instagram.com/bahamaschamber242/,https://www.facebook.com/thebccec,https://www.tiktok.com/@bahamaschamberofcommerce,https://www.thebahamaschamber.com/,BCCEC official website,,,false,physical,English,,,"Official website confirms Nassau office address, phone, mission and official social destinations.",Source basis: official organization website; current destination and street address confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Bahamas Real Estate Association,"205 Marina Lane, Sandyport",Nassau,New Providence,,Bahamas,housing,real estate association,licensed agent directory; real estate regulation; member resources,Regulatory professional association for licensed Bahamian real-estate brokers and salesmen.,https://www.breabahamas.com/,+1 242-356-4578; +1 242-325-4942,https://www.instagram.com/bahamasrealestateassociation,https://www.facebook.com/Bahamas-Real-Estate-Association-136197526399376,,,https://www.breabahamas.com/,Bahamas Real Estate Association official website,,,true,physical,English,Mon-Fri 9:00am-5:00pm,"Official association website confirms Sandyport street address, service hours, phones and official social destinations.",Source basis: official organization website; current destination and street address confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Baha Mar Resort,Baha Mar Boulevard,Nassau,New Providence,,Bahamas,experiences,resort and entertainment complex,resort; dining; casino; water park; spa; kids club; nightlife; shopping,"Resort complex in Nassau offering lodging, dining, casino, water activities, spa, shopping and nightlife.",https://bahamar.com/,+1 242-788-8000,,https://www.facebook.com/BahaMarResorts,https://www.instagram.com/BahaMarresorts/,https://bahamar.com/contact/,Baha Mar official contact page,,,false,physical,English,,,Official contact page confirms Baha Mar Boulevard Nassau destination; official site provides current resort offerings and social profiles.,Source basis: official business website; current destination and street address confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
BOND at Baha Mar,Baha Mar Boulevard,Nassau,New Providence,,Bahamas,nightlife,nightclub,nightclub; cocktails; VIP bottle service; DJs; table reservations,"Nightclub inside Baha Mar with DJs, cocktails and VIP table service.",https://bahamar.com/bond/,,,,https://www.facebook.com/BahaMarResorts,https://www.instagram.com/BahaMarresorts/,https://bahamar.com/bond/,Baha Mar official BOND page,,,false,physical,English,Friday-Saturday 11:00pm-4:00am; adults 18+,Official Baha Mar page confirms BOND is an operating Nassau nightclub inside Baha Mar and official Baha Mar contact page confirms street destination.,Source basis: official operator website; current destination and street address confirmed on official pages. Address-backed coordinates are added only by guarded staging geocoding.
