name,address,city,state_or_region,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,location_type,languages,hours,price_range,address_enrichment_note,notes
House of Flavourz,"31A City Walk, Perry Vale",London,England,SE23 2AR,United Kingdom,food/groceries,restaurant and lounge,Afro-Caribbean food; cocktails; breakfast; events; private hire,"Afro-Caribbean fusion restaurant, immersive lounge and events space.",https://www.houseofflavourz.co.uk/,020 4629 7887,https://www.instagram.com/house.of.flavourz,,https://www.tiktok.com/@house_of_flavourz,https://www.houseofflavourz.co.uk/,House of Flavourz official website,,,false,physical,,Thursday-Sunday 10:00-23:00; private hire 7 days,££,,Source is the business/organisation official website page showing a current London destination and public street address; current destination confirmed from the cited page. Address-backed coordinates are added only by guarded staging geocoding.
Borough Market,8 Southwark Street,London,England,SE1 1TL,United Kingdom,food/groceries,food market,food market; groceries; prepared food,"Food market with traders, food and sustainable production.",https://boroughmarket.org.uk/,020 7407 1002,,,,https://boroughmarket.org.uk/,Borough Market official website,,,false,physical,,Market hours published on official Visit page,££,,Source is the business/organisation official website page showing a current London destination and public street address; current destination confirmed from the cited page. Address-backed coordinates are added only by guarded staging geocoding.
Brixton Village,"43-44 Brixton Market, Coldharbour Lane",London,England,SW9 8PS,United Kingdom,food/groceries,market and independent traders,restaurants; food shops; boutiques; market,"Market of independent food, retail and service traders.",https://brixtonvillage.com/,020 7274 2990,,,,https://brixtonvillage.com/,Brixton Village official website,,,false,physical,,Current hours vary by trader,££,,Source is the business/organisation official website page showing a current London destination and public street address; current destination confirmed from the cited page. Address-backed coordinates are added only by guarded staging geocoding.
Broadway Market,Broadway Market,London,England,E8 4PH,United Kingdom,food/groceries,street market,street market; food; retail,Working Victorian street market with food and retail traders.,https://broadwaymarket.co.uk/,,,,,https://broadwaymarket.co.uk/,Broadway Market official website,,,false,physical,,Street operates 365 days; market Saturday 09:00-17:00 and Sunday 10:00-16:00,££,,Source is the business/organisation official website page showing a current London destination and public street address; current destination confirmed from the cited page. Address-backed coordinates are added only by guarded staging geocoding.
Tate Modern,Bankside,London,England,SE1 9TG,United Kingdom,experiences,museum and gallery,art museum; exhibitions; visitor experience,Modern and contemporary art museum on Bankside.,https://www.tate.org.uk/visit/tate-modern,020 7887 8888,,,,https://www.tate.org.uk/visit/tate-modern,Tate official visitor page,,,false,physical,,Daily 10:00-18:00,££,,Source is the business/organisation official website page showing a current London destination and public street address; current destination confirmed from the cited page. Address-backed coordinates are added only by guarded staging geocoding.
Victoria and Albert Museum,Cromwell Road,London,England,SW7 2RL,United Kingdom,experiences,museum,museum; galleries; exhibitions; family visits,"Museum of art, design and performance collections.",https://www.vam.ac.uk/south-kensington/visit,,,,,https://www.vam.ac.uk/south-kensington/visit,V&A official visitor page,,,false,physical,,Daily 10:00-17:45; Friday 10:00-22:00,££,,Source is the business/organisation official website page showing a current London destination and public street address; current destination confirmed from the cited page. Address-backed coordinates are added only by guarded staging geocoding.
National Theatre,"Upper Ground, South Bank",London,England,SE1 9PX,United Kingdom,experiences,theatre,theatre; performances; events; education,Performing arts venue with theatre productions and public programme.,https://www.nationaltheatre.org.uk/about-us/contact-us/,020 7452 3000,,,,https://www.nationaltheatre.org.uk/about-us/contact-us/,National Theatre official contact page,,,false,physical,,See official programme for performance times,£££,,Source is the business/organisation official website page showing a current London destination and public street address; current destination confirmed from the cited page. Address-backed coordinates are added only by guarded staging geocoding.
Barbican Centre,Silk Street,London,England,EC2Y 8DS,United Kingdom,experiences,arts centre,theatre; cinema; concerts; exhibitions; tours,"Arts centre presenting theatre, dance, music, cinema, exhibitions and tours.",https://www.barbican.org.uk/,,,,,https://www.barbican.org.uk/,Barbican official website,,,false,physical,,Programme-dependent,£££,,Source is the business/organisation official website page showing a current London destination and public street address; current destination confirmed from the cited page. Address-backed coordinates are added only by guarded staging geocoding.
London Chamber of Commerce and Industry,33 Queen Street,London,England,EC4R 1AP,United Kingdom,B2B suppliers,business chamber,business membership; trade documents; B2B events,"Business chamber providing membership, trade documentation, events and networking.",https://www.londonchamber.co.uk/contact-us/,020 7248 4444,,,,https://www.londonchamber.co.uk/contact-us/,London Chamber official contact page,,,false,physical,,Monday-Friday 08:30-17:30; trade counter 10:00-16:00,££,,Source is the business/organisation official website page showing a current London destination and public street address; current destination confirmed from the cited page. Address-backed coordinates are added only by guarded staging geocoding.
Trussell,"The United Reformed Church, Church House, 86 Tavistock Place",London,England,WC1H 9RT,United Kingdom,community-serving,anti-poverty organisation office,community support; volunteering; anti-poverty information,London office of UK anti-poverty and hunger charity; not a food bank or emergency-food pickup at this address.,https://www.trussell.org.uk/contact-us,01722 580 180,,,,https://www.trussell.org.uk/contact-us,Trussell official contact page,,,false,physical,,Contact form/phone; office destination noted by official page,,,Source is the business/organisation official website page showing a current London destination and public street address; current destination confirmed from the cited page. Address-backed coordinates are added only by guarded staging geocoding.
