name,address,city,state_or_region,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,location_type,languages,hours,price_range,address_enrichment_note,notes
Hotel Balmoral,"Avenida Central, entre las calles 7 y 9",San José,San José,10101,Costa Rica,hospitality,hotel,hotel lodging restaurant events meetings,"Hotel in central San José with lodging, El Patio restaurant, events and meetings.",https://www.balmoral.co.cr/es/,+506 2222 5022,https://www.instagram.com/hotelbalmoralcr/,https://www.facebook.com/hotelbalmoralcr/,,https://www.balmoral.co.cr/es/contacto/,Hotel Balmoral official contact page,,,false,physical,Spanish; English,,Not stated,,"Official contact page gives current destination, street address and phone; address-backed coordinates are added only by guarded staging geocoding."
Dentalia Dental Center,"Edificio del INS San José, 200 m oeste, frente a la Alianza Francesa, Barrio Amón",San José,San José,,Costa Rica,health,dental clinic,general dentistry oral rehabilitation orthodontics implantology restorative dentistry,"Dental center offering general dentistry, oral rehabilitation, orthodontics and implantology.",https://dentaliacr.com/,+506 6195 9807; +506 7202 7787,,,,https://dentaliacr.com/,Dentalia official website,,,true,physical,English; Spanish,Mon-Fri 08:00-18:00; Sat 08:00-17:00; Sun/holidays by appointment,,"Official website states current location, services, English-speaking dentists, phones and hours; address-backed coordinates are added only by guarded staging geocoding.",
Dental Costa Rica,"100 m norte, 25 m oeste y 25 m norte del Banco Improsa, Sabana Norte",San José,San José,,Costa Rica,health,dental clinic,general dentistry periodontics orthodontics implants cosmetic dentistry facial surgery,"Dental clinic with general, periodontal, orthodontic, implant, cosmetic and facial-surgery services.",https://www.dentalcostarica.cr/es/sobre-nosotros/contactenos,+506 6144 3030; emergency +506 8821 0798,https://www.instagram.com/dental.costarica/,https://www.facebook.com/dentalcostarica.cr/,,https://www.dentalcostarica.cr/es/sobre-nosotros/contactenos,Dental Costa Rica official contact page,,,true,physical,Spanish; English,Emergency service 24/7,,"Official contact page confirms current San José location, services, phones and social destinations; address-backed coordinates are added only by guarded staging geocoding.",
ASEJUR,"Barrio Los Yoses, Calle 37, Avenida 8",San José,San José,1000,Costa Rica,legal,law firm,corporate law commercial law notary public legal services,Costa Rican firm of lawyers and notaries public specializing in corporate and commercial law.,https://asejur.com/contact-us/,+506 2280 0303,,,,https://asejur.com/contact-us/,ASEJUR official contact page,,,true,physical,English; Spanish,,Not stated,,"Official website identifies the firm, current street address, phone and legal/notarial services; address-backed coordinates are added only by guarded staging geocoding."
LBA Abogados,"425 metros sur de la Pops de Curridabat, contiguo al AMPM",San José,San José,,Costa Rica,legal,law firm,labor corporate commercial family real estate banking finance fintech notarial regulatory legal services,"Law firm and public notary practice with corporate, commercial, family, real-estate, finance and regulatory areas.",https://www.lba.cr/,+506 2280 5656; WhatsApp +506 6115 6565,https://www.instagram.com/lbaabogados_/,https://www.facebook.com/lbaabogados/,,https://www.lba.cr/,LBA official website,,,true,physical,Spanish; English,Mon-Fri 08:00-18:00,,"Official website confirms San José office address, phone, hours, practice areas and social destinations; address-backed coordinates are added only by guarded staging geocoding.",
Adobe Rent a Car San José,"100 m oeste y 800 m sur de la esquina suroeste del Cementerio, Barrio Corazón de Jesús",San José,San José,,Costa Rica,auto,car rental,car rental 4x4 SUV sedan minivan pickup cargo van corporate long-term rental,Physical downtown San José rental office with multiple vehicle types and corporate/long-term options.,https://www.adobecar.com/en/rental-car-san-jose-costa-rica/,+506 2542 4800; WhatsApp +506 2542 4801,,,,https://www.adobecar.com/en/rental-car-san-jose-costa-rica/,Adobe official San José page,,,false,physical,English; Spanish,Daily 08:00-17:00,,"Official location page confirms current office directions, phones, services and daily schedule; address-backed coordinates are added only by guarded staging geocoding.",
Hyatt Centric San José Escazú,"Plaza Tempo, Autopista Próspero Fernández",San José,San José,10201,Costa Rica,hospitality,hotel,hotel lodging restaurants lounge bar coffee bar room service,"Hotel with on-site dining, lounge/bar/café, restaurant and room service.",https://www.hyatt.com/hyatt-centric/en-US/sjoct-hyatt-centric-san-jose-escazu/dining,+506 2207 1234,https://www.instagram.com/hyattcentricescazu/,https://www.facebook.com/profile.php?id=61562623007615,,https://www.hyatt.com/hyatt-centric/en-US/sjoct-hyatt-centric-san-jose-escazu/dining,Hyatt official dining page,,,false,physical,English; Spanish,"19-49 daily 06:00-23:00; Cense breakfast 06:00-10:00, lunch 12:00-15:00, dinner 18:00-22:00; room service 06:30-21:30",,"Official Hyatt page confirms current property address, phone, dining destinations, hours and social destinations; address-backed coordinates are added only by guarded staging geocoding.",
19-49 Lounge Bar & Café,"Plaza Tempo, Autopista Próspero Fernández",San José,San José,10201,Costa Rica,food,cafe and bar,breakfast coffee lunch small bites comfort food dinner cocktails lounge,"On-site lounge, bar and coffee destination at Hyatt Centric San José Escazú.",https://www.hyatt.com/hyatt-centric/en-US/sjoct-hyatt-centric-san-jose-escazu/dining,+506 2207 1234,https://www.instagram.com/hyattcentricescazu/,https://www.facebook.com/profile.php?id=61562623007615,,https://www.hyatt.com/hyatt-centric/en-US/sjoct-hyatt-centric-san-jose-escazu/dining,Hyatt official dining page,,,false,physical,English; Spanish,Daily 06:00-23:00,,"Official Hyatt page names this dining destination and confirms current address, phone, services, hours and social destinations; address-backed coordinates are added only by guarded staging geocoding.",
Cense Restaurant,"Plaza Tempo, Autopista Próspero Fernández",San José,San José,10201,Costa Rica,food,restaurant,Costa Rican cuisine international cuisine buffet breakfast lunch a la carte dinner tasting menu terrace,"Restaurant featuring Costa Rican and international dishes, buffet breakfast, lunch, dinner and tasting menus.",https://www.hyatt.com/hyatt-centric/en-US/sjoct-hyatt-centric-san-jose-escazu/dining,+506 2207 1234,https://www.instagram.com/hyattcentricescazu/,https://www.facebook.com/profile.php?id=61562623007615,,https://www.hyatt.com/hyatt-centric/en-US/sjoct-hyatt-centric-san-jose-escazu/dining,Hyatt official dining page,,,false,physical,English; Spanish,Breakfast daily 06:00-10:00; lunch 12:00-15:00; dinner daily 18:00-22:00,,"Official Hyatt page names this restaurant and confirms current address, phone, services, hours and social destinations; address-backed coordinates are added only by guarded staging geocoding.",
Teatro Nacional de Costa Rica,"Avenida Segunda, entre calles 1 y 3",San José,San José,,Costa Rica,experiences,performing arts venue,live music theatre concerts cultural performances ticketing,"National performing-arts venue with current 2026 programming, ticketing and visitor services.",https://www.teatronacional.go.cr/,2010-1100,,,,https://www.teatronacional.go.cr/,Teatro Nacional official website,,,false,physical,Spanish; English,09:00-16:00; ticket office 09:00-16:00,,"Official website shows current 2026 programming, visitor hours, phone and street address; address-backed coordinates are added only by guarded staging geocoding.",
Museo Nacional de Costa Rica,"Entre Avenida Central y Segunda, sobre la Cuesta de Moras, costado este de Plaza de la Democracia",San José,San José,,Costa Rica,experiences,museum,history archaeology natural history exhibitions guided visits cultural educational activities,"National museum with history, archaeology and natural-history exhibitions, guided visits and cultural programming.",https://www.museocostarica.go.cr/visitar/,+506 2211 5700,https://www.instagram.com/museonacionalcr/,https://www.facebook.com/museonacional.mcj.cr/,,https://www.museocostarica.go.cr/visitar/,Museo Nacional official visitor page,,,false,physical,Spanish; English,Tue-Sat 08:30-16:30; Sun 09:00-16:30; Mon closed,,"Official visitor page confirms current Bellavista San José destination, address directions, hours, phone, services and social destinations; address-backed coordinates are added only by guarded staging geocoding.",
Hotel Presidente,"Avenida Central, Calle 7",San José,San José,10104,Costa Rica,hospitality,hotel,hotel lodging rooftop restaurant cocktail bar breakfast tours airport shuttle,"Central San José hotel with Azotea Calle 7 restaurant/cocktail bar, breakfast and tours.",https://www.hotel-presidente.com/,+506 2010 0000; WhatsApp +506 8749 1041,https://www.instagram.com/hotelpresidentecr/,https://www.facebook.com/hotelpresidente/,,https://www.hotel-presidente.com/,Hotel Presidente official website,,,false,physical,English; Spanish,,Not stated,,"Official website confirms current central address, phones, lodging, restaurant/bar and travel services plus social destinations; address-backed coordinates are added only by guarded staging geocoding."
Hospital Clínica Bíblica,"Calle Central Alfredo Volio, entre avenidas 14 y 16",San José,San José,10104,Costa Rica,health,hospital,hospital emergency care medical services specialties,Private hospital central San José campus with integrated medical services and 24/7 care information.,https://www.clinicabiblica.com/,+506 2522 1000,,,,https://www.clinicabiblica.com/,Hospital Clínica Bíblica official website,,,true,physical,Spanish; English,24/7 emergency care,,Official hospital website confirms the current central San José campus; street address is cross-checked against the public medical-facilities listing; address-backed coordinates are added only by guarded staging geocoding.,
