name,address,city,state_or_region,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,location_type,languages,hours,price_range,address_enrichment_note,notes
L'Étoile,"Av. Niemeyer, 121 - Leblon",Rio de Janeiro,RJ,22450-220,Brazil,food,restaurant,"French cuisine, South American cuisine, tasting menu","French restaurant with South American influences, vegetarian options and private dining packages.",https://www.letoile-rio.com.br/,+55-21-2529-1299,https://www.instagram.com/letoilerio/,https://www.facebook.com/letoilerio/,,https://www.letoile-rio.com.br/,Official business website,,,false,physical,Portuguese,Tuesday-Saturday 19:30-23:00,High,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
Odontovic - Madureira,"Rua Maria de Freitas, 113 - Madureira",Rio de Janeiro,RJ,21310-200,Brazil,health,dental clinic,"dental implants, All-On-4, immediate-load implants",Dental clinic specializing in dental implants and full-arch rehabilitation.,https://odontovic.com.br/,(21) 99329-8708,https://www.instagram.com/odontovicimplantes/,https://www.facebook.com/drvictorhugoalmeida/,,https://odontovic.com.br/,Official business website,,,true,physical,Portuguese,Monday-Friday 08:00-12:00 and 13:00-18:00,High,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
Odontovic - Campo Grande,"Rua Ivo Prado, 79, salas 214/215 - Campo Grande",Rio de Janeiro,RJ,23050-160,Brazil,health,dental clinic,"dental implants, All-On-4, immediate-load implants",Dental clinic specializing in dental implants and full-arch rehabilitation.,https://odontovic.com.br/,(21) 99329-8708,https://www.instagram.com/odontovicimplantes/,https://www.facebook.com/drvictorhugoalmeida/,,https://odontovic.com.br/,Official business website,,,true,physical,Portuguese,Monday-Friday 08:00-12:00 and 13:00-18:00,High,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
Escola Favinho,"Rua Martins Ferreira, 23 e 25 - Humaitá",Rio de Janeiro,RJ,22271-010,Brazil,child care/education,early childhood education,"creche, preschool, bilingual education, English immersion",Early childhood school and preschool with bilingual program and daily English immersion.,https://escolafavinho.com.br/,(21) 2537-8189 / (21) 2286-5482 / (21) 98578-5638,https://www.instagram.com/escolafavinho/,,,https://escolafavinho.com.br/,Official business website,,,true,physical,Portuguese,Monday-Friday 07:30-19:00,High,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
Escola Parque - Gávea 355,"Rua Marquês de São Vicente, 355 - Gávea",Rio de Janeiro,RJ,22451-047,Brazil,child care/education,school,"early childhood education, elementary school, high school, constructivist education","Constructivist school unit serving early childhood, elementary year 1 and high school.",https://www.escolaparque.g12.br/,(21) 2529-2500,https://www.instagram.com/escolaparqueoficial/,https://www.facebook.com/escolaparqueoficial/,,https://www.escolaparque.g12.br/,Official business website,,,true,physical,Portuguese,,High,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
Escola Parque - Gávea 483,"Rua Marquês de São Vicente, 483 - Gávea",Rio de Janeiro,RJ,22451-041,Brazil,child care/education,school,"elementary education, constructivist education",Constructivist school unit serving elementary years 2-9.,https://www.escolaparque.g12.br/,(21) 2529-2500,https://www.instagram.com/escolaparqueoficial/,https://www.facebook.com/escolaparqueoficial/,,https://www.escolaparque.g12.br/,Official business website,,,true,physical,Portuguese,,High,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
Escola Parque - Barra Itaúna,"Rua Pedra de Itaúna, 111 - Barra da Tijuca",Rio de Janeiro,RJ,22793-390,Brazil,child care/education,school,"elementary education, high school, constructivist education",Constructivist school unit serving elementary years 3-9 and high school.,https://www.escolaparque.g12.br/,(21) 2499-6006,https://www.instagram.com/escolaparqueoficial/,https://www.facebook.com/escolaparqueoficial/,,https://www.escolaparque.g12.br/,Official business website,,,true,physical,Portuguese,,High,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
Escola Parque - Barra Pollis,"Rua Sylvio da Rocha Pollis, 430 - Barra da Tijuca",Rio de Janeiro,RJ,22793-395,Brazil,child care/education,school,"early childhood education, elementary education, constructivist education",Constructivist school unit serving early childhood and elementary years 1-2.,https://www.escolaparque.g12.br/,(21) 3388-3350,https://www.instagram.com/escolaparqueoficial/,https://www.facebook.com/escolaparqueoficial/,,https://www.escolaparque.g12.br/,Official business website,,,true,physical,Portuguese,,High,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
Jacques Janine Ipanema,"Rua Vinicius de Moraes, 288",Rio de Janeiro,RJ,22411-010,Brazil,hair/beauty,beauty salon,"hair styling, hair spa, beauty services",Beauty salon providing hair and beauty services in Rio de Janeiro.,https://jacquesjaninerj.com.br/,+55-21-97625-7713,https://www.instagram.com/jacquesjanineipanema/,https://www.facebook.com/Jacques-Janine-Ipanema-454127845330764/,,https://jacquesjaninerj.com.br/,Official business website,,,false,physical,Portuguese,,High,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
Jacques Janine Leblon,"Rua Dias Ferreira, 228",Rio de Janeiro,RJ,22431-050,Brazil,hair/beauty,beauty salon,"hair styling, hair spa, beauty services",Beauty salon providing hair and beauty services in Rio de Janeiro.,https://jacquesjaninerj.com.br/,,https://www.instagram.com/jacquesjanineriosul/,https://www.facebook.com/jacquesjanineriosul/,,https://jacquesjaninerj.com.br/,Official business website,,,false,physical,Portuguese,,High,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
Jacques Janine Rio Sul,"Shopping Rio Sul - Piso G4, Rua Lauro Müller, 116 - Botafogo",Rio de Janeiro,RJ,22290-906,Brazil,hair/beauty,beauty salon,"hair styling, hair spa, beauty services",Beauty salon providing hair and beauty services in Rio de Janeiro.,https://jacquesjaninerj.com.br/,+55-21-98567-7048,https://www.instagram.com/jacquesjaninebarrashopping/,https://www.facebook.com/jacquesjaninebarrashop/,,https://jacquesjaninerj.com.br/,Official business website,,,false,physical,Portuguese,,High,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
Jacques Janine São Conrado,"Shopping Fashion Mall - Piso 2, Estr. da Gávea, 899 - São Conrado",Rio de Janeiro,RJ,22610-001,Brazil,hair/beauty,beauty salon,"hair styling, hair spa, beauty services",Beauty salon providing hair and beauty services in Rio de Janeiro.,https://jacquesjaninerj.com.br/,+55-21-98412-5685,https://www.instagram.com/jacquesjaninebarrashopping/,https://www.facebook.com/jacquesjaninebarrashop/,,https://jacquesjaninerj.com.br/,Official business website,,,false,physical,Portuguese,,High,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
Jacques Janine Barra da Tijuca,"Barra Shopping - Nível Lagoa, Av. das Américas, 4666 - Barra da Tijuca",Rio de Janeiro,RJ,22640-102,Brazil,hair/beauty,beauty salon,"hair styling, hair spa, beauty services",Beauty salon providing hair and beauty services in Rio de Janeiro.,https://jacquesjaninerj.com.br/,+55-21-99901-9229,https://www.instagram.com/jacquesjaninebarrashopping/,https://www.facebook.com/jacquesjaninebarrashop/,,https://jacquesjaninerj.com.br/,Official business website,,,false,physical,Portuguese,,High,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
Shopping Leblon,"Av. Afrânio de Melo Franco, 290 - Leblon",Rio de Janeiro,RJ,22430-060,Brazil,retail,shopping center,"retail stores, cinema, theater, dining, shopper delivery","Shopping center with retail, cinema, theater, dining and shopper delivery services.",https://shoppingleblon.com.br/,,https://www.instagram.com/shoppingleblon/,,,https://shoppingleblon.com.br/,Official business website,,,Varies,physical,Portuguese,https://vm.tiktok.com/ZMNdWMSr3/,Monday-Saturday 10:00-22:00; Sunday and holidays 13:00-21:00,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
Moov Car Service - Botafogo,"Rua da Passagem, 180 - Botafogo",Rio de Janeiro,RJ,22290-031,Brazil,auto,auto workshop,"mechanical services, tires, vehicle inspection, luxury car service",Automotive workshop and tire retailer serving major vehicle brands.,https://www.moovcar.com.br/oficina/rj/,(21) 3550-7688 / (21) 99012-2515,https://www.instagram.com/moovcarservice/,https://www.facebook.com/moovcarservice/,,https://www.moovcar.com.br/oficina/rj/,Official business website,,,true,physical,Portuguese,Monday-Friday 08:00-18:30; Saturday 08:00-14:00,High,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
Moov Car Service - Barra da Tijuca,"Praça Euvaldo Lodi, 75 - Barra da Tijuca",Rio de Janeiro,RJ,22640-010,Brazil,auto,auto workshop,"mechanical services, tires, vehicle inspection, luxury car service",Automotive workshop and tire retailer serving major vehicle brands.,https://www.moovcar.com.br/oficina/rj/,(21) 3993-6388 / (21) 99012-2515,https://www.instagram.com/moovcarservice/,https://www.facebook.com/moovcarservice/,,https://www.moovcar.com.br/oficina/rj/,Official business website,,,true,physical,Portuguese,Monday-Friday 08:00-18:30; Saturday 08:00-14:00,High,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
Moov Car Service - Recreio,"Av. das Américas, 11001 - Barra da Tijuca",Rio de Janeiro,RJ,22793-082,Brazil,auto,auto workshop,"mechanical services, tires, vehicle inspection, luxury car service",Automotive workshop and tire retailer serving major vehicle brands.,https://www.moovcar.com.br/oficina/rj/,(21) 3570-4276 / (21) 99012-2515,https://www.instagram.com/moovcarservice/,https://www.facebook.com/moovcarservice/,,https://www.moovcar.com.br/oficina/rj/,Official business website,,,true,physical,Portuguese,Monday-Friday 08:00-18:30; Saturday 08:00-14:00,High,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
CMA - Campos Mello Advogados - Rio de Janeiro,"Rua Lauro Müller, 116, 25º andar, Condomínio do Edifício Rio Sul Center - Botafogo",Rio de Janeiro,RJ,22290-906,Brazil,legal/financial services,law firm,"business law, litigation, arbitration, mediation, contracts, corporate, tax",Brazilian full-service law firm with business legal services.,https://cmalaw.com/,+55 (21) 3262-3000,,,,https://cmalaw.com/,Official business website,,,true,physical,Portuguese,,High,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
R21 Bar & Restaurante - Recreio dos Bandeirantes,"Estrada Benvindo de Novaes, 1878 - Recreio dos Bandeirantes",Rio de Janeiro,RJ,22790-382,Brazil,nightlife,bar and restaurant,"live music, food, drinks, kids space, reservations","Bar and restaurant offering live music, food, drinks and a kids space.",https://r21.com.br/,,https://www.instagram.com/r21barerestaurante/,https://www.facebook.com/r21barerestaurante/,,https://r21.com.br/,Official business website,,,false,physical,Portuguese,,Varies,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
R21 Bar & Restaurante - Méier,"Rua Adolfo Bergamini, 371 - Engenho de Dentro",Rio de Janeiro,RJ,20730-000,Brazil,nightlife,bar and restaurant,"live music, food, drinks, kids space, reservations","Bar and restaurant offering live music, food, drinks and a kids space.",https://r21.com.br/,,https://www.instagram.com/r21barerestaurante/,https://www.facebook.com/r21barerestaurante/,,https://r21.com.br/,Official business website,,,false,physical,Portuguese,,Varies,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
R21 Bar & Restaurante - Vista Alegre,"Av. Brás de Pina, 2540 - Vista Alegre",Rio de Janeiro,RJ,21235-603,Brazil,nightlife,bar and restaurant,"live music, food, drinks, kids space, reservations","Bar and restaurant offering live music, food, drinks and a kids space.",https://r21.com.br/,,https://www.instagram.com/r21barerestaurante/,https://www.facebook.com/r21barerestaurante/,,https://r21.com.br/,Official business website,,,false,physical,Portuguese,,Varies,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
R21 Bar & Restaurante - Vila Valqueire,"Estrada Intendente Magalhães, 799 - Vila Valqueire",Rio de Janeiro,RJ,21341-332,Brazil,nightlife,bar and restaurant,"live music, food, drinks, kids space, reservations","Bar and restaurant offering live music, food, drinks and a kids space.",https://r21.com.br/,,https://www.instagram.com/r21barerestaurante/,https://www.facebook.com/r21barerestaurante/,,https://r21.com.br/,Official business website,,,false,physical,Portuguese,,Varies,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
R21 Bar & Restaurante - Freguesia/Anil,"Estr. de Jacarepaguá, 6930 - Anil",Rio de Janeiro,RJ,22755-145,Brazil,nightlife,bar and restaurant,"live music, food, drinks, kids space, reservations","Bar and restaurant offering live music, food, drinks and a kids space.",https://r21.com.br/,,https://www.instagram.com/r21barerestaurante/,https://www.facebook.com/r21barerestaurante/,,https://r21.com.br/,Official business website,,,false,physical,Portuguese,,Varies,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
R21 Bar & Restaurante - Barra da Tijuca,"Av. Olegário Maciel, 130 - Barra da Tijuca",Rio de Janeiro,RJ,22621-200,Brazil,nightlife,bar and restaurant,"live music, food, drinks, kids space, reservations","Bar and restaurant offering live music, food, drinks and a kids space.",https://r21.com.br/,,https://www.instagram.com/r21barerestaurante/,https://www.facebook.com/r21barerestaurante/,,https://r21.com.br/,Official business website,,,false,physical,Portuguese,,Varies,,Official website provides current destination/address; address-backed coordinates are added only by guarded staging geocoding.
