name,address,city,state_or_region,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,location_type,languages,hours,price_range,address_enrichment_note,notes
Dukkah Restaurant & Bar,59 Florida Road,Durban,KwaZulu-Natal,4001,South Africa,Food & drink,Restaurant and bar,African-inspired cuisine; lunch; dinner; cocktails; private dining; functions,"Modern restaurant and bar serving cuisine inspired by the eastern coastline of Africa, with dining, drinks, private dining and functions.",https://dukkah.co.za/,+27 31 271 3531,https://www.instagram.com/dukkahdurban/,https://www.facebook.com/dukkahdurban,,https://dukkah.co.za/,Dukkah official website,,,false,physical,,Monday-Friday 11:00-02:00; Saturday-Sunday 08:00-02:00,upscale,,Source is the business's current official website/contact page with a public destination and street address; address-backed coordinates are added only by guarded staging geocoding.
Kebabish Halaal Indian Restaurant - Florida Road,"49 Florida Road, Berea",Durban,KwaZulu-Natal,4001,South Africa,Food & drink,Halaal Indian and Pakistani restaurant,Indian and Pakistani cuisine; bunny chow; biryani; curries; dine-in; takeaway; delivery; catering,"Halaal Indian and Pakistani restaurant offering dine-in, takeaway, delivery, catering and a large menu including bunny chow, biryanis and curries.",https://kebabish.co.za/kebabish-branches-durban/durban-florida-road/,031 303 7806,https://www.instagram.com/kebabish_official/,https://www.facebook.com/kebabishtikka,https://www.tiktok.com/@kebabishtikka,https://kebabish.co.za/kebabish-branches-durban/durban-florida-road/,Kebabish official branch page,,,false,physical,,Mon-Thu 10:00-22:00; Fri 10:00-12:00 and 13:30-23:00; Sat 10:00-23:00; Sun 08:30-22:00,mid-range,,Source is the business's current official website/contact page with a public destination and street address; address-backed coordinates are added only by guarded staging geocoding.
uShaka Marine World,"1 King Shaka Avenue, Point",Durban,KwaZulu-Natal,4001,South Africa,Experiences,Marine world and theme park,Sea World aquarium; Wet n Wild waterpark; Kids World; animal encounters; beach; Village Walk; events; education bookings,"Marine world, waterpark and family entertainment destination on Durban’s Golden Mile, with aquarium, animal encounters, kids activities, dining and events.",https://ushakamarineworld.co.za/,031 328 8000,https://www.instagram.com/ushakamarineworld/,https://www.facebook.com/uShakaFanPage,,https://ushakamarineworld.co.za/,uShaka Marine World official website,,,false,physical,,Daily 09:00-17:00,varies,,Source is the business's current official website/contact page with a public destination and street address; address-backed coordinates are added only by guarded staging geocoding.
Durban Dental Care,"North Coast Road Medical Centre, 490 Chris Hani Rd (Northcoast Road), Durban North",Durban,KwaZulu-Natal,,South Africa,Health,Dental clinic,dental care; dental appointments; oral health,Dental practice providing dental care and appointments from North Coast Road Medical Centre in Durban North.,https://durbandentalcare.co.za/book-now/,031 563 2473,https://www.instagram.com/durbandental/,https://www.facebook.com/durbandental/,,https://durbandentalcare.co.za/book-now/,Durban Dental Care official contact page,,,true,physical,,Monday-Friday 09:00-16:00; Saturday 09:00-12:00,,,Source is the business's current official website/contact page with a public destination and street address; address-backed coordinates are added only by guarded staging geocoding.
Dentalhouse,"Suite 3, 565 Peter Mokaba Ridge Road",Durban,KwaZulu-Natal,4001,South Africa,Health,Dental clinic,preventative dentistry; cosmetic dentistry; restorative dentistry; root canal; paediatric dentistry; hygiene; whitening; orthodontics,"Family-oriented dental practice offering preventative, cosmetic, restorative, paediatric, orthodontic, root canal, hygiene and whitening care.",https://dentalhouse.co.za/,031 207 4022,https://www.instagram.com/dentalhouse_ridge/,https://www.facebook.com/dentalhouse.ridge,,https://dentalhouse.co.za/,Dentalhouse official website,,,true,physical,,Mon-Fri 08:00-17:00; Sat 09:00-13:00 (alternate Saturdays closed),varies,,Source is the business's current official website/contact page with a public destination and street address; address-backed coordinates are added only by guarded staging geocoding.
Little Leaders Pre-School,"29 Harrison Drive, Glenhills, Durban North",Durban,KwaZulu-Natal,,South Africa,Child care and education,Preschool and daycare,preschool; daycare; Grade R; inclusive education; occupational therapy gym; speech therapy,"Owner-managed mainstream preschool for children from 12 months to Grade R, with inclusive education and therapy spaces.",https://littleleaderspreschool.co.za/,+27 31 564 0833,,https://www.facebook.com/littleleaderspreschooldurban/,,https://littleleaderspreschool.co.za/,Little Leaders official website,,,true,physical,,,,,Source is the business's current official website/contact page with a public destination and street address; address-backed coordinates are added only by guarded staging geocoding.
Rajaram Mvulane Attorneys,"508 Windermere Road, Morningside",Durban,KwaZulu-Natal,4001,South Africa,Legal and financial services,Law firm,employment law; family law; property law; debt collection; commercial law; insolvency,"Legal practice providing employment, family, property, debt collection, commercial and insolvency services.",https://www.rajarammvulane.co.za/,,,https://web.facebook.com/Rajaram-Mvulane-Attorneys-872028913139448/,,https://www.rajarammvulane.co.za/,Rajaram Mvulane Attorneys official website,,,true,physical,,Monday-Friday 08:00-15:30,,,Source is the business's current official website/contact page with a public destination and street address; address-backed coordinates are added only by guarded staging geocoding.
ValidTrade SA - Durban,"25 Island Circle, Riverhorse Valley",Durban,KwaZulu-Natal,4017,South Africa,B2B suppliers,Automotive parts distributor,automotive parts; automotive accessories; fitment centre supply; workshop supply; parts search and buy,B2B distributor of automotive parts and accessories supplying fitment centres and workshops.,https://validtradesa.co.za/contact-validtrade/,031 001 8973,https://www.instagram.com/validtradesa,https://www.facebook.com/p/Validtrade-SA-61568904565841/,,https://validtradesa.co.za/contact-validtrade/,ValidTrade SA official contact page,,,false,physical,,Mon-Fri 07:30-16:30; Sat 08:00-12:00,,,Source is the business's current official website/contact page with a public destination and street address; address-backed coordinates are added only by guarded staging geocoding.
The Empire Steak,"116 Florida Road, Morningside",Durban,KwaZulu-Natal,,South Africa,Food & drink,Halaal steakhouse,steaks; grills; seafood; curries; pasta; salads; breakfast; kids menu; halaal dining,"SANHA Halaal-certified steakhouse offering flame-grilled steaks, grills, seafood, curries, pasta, salads, breakfast and a kids menu.",https://www.theempiresteak.co.za/,031 303 8250,https://www.instagram.com/the_empire_steak_/,https://www.facebook.com/theempiresteak,,https://www.theempiresteak.co.za/,The Empire Steak official website,,,false,physical,,Mon-Thu 09:30-21:30; Fri 13:00-22:30; Sat 08:00-22:30; Sun 08:00-21:30,mid-range,,Source is the business's current official website/contact page with a public destination and street address; address-backed coordinates are added only by guarded staging geocoding.
The Edward Hotel Durban,149 OR Tambo Parade,Durban,KwaZulu-Natal,,South Africa,Housing and travel,Hotel accommodation,hotel rooms; family rooms; restaurant; pool; gym; Wi-Fi; meeting venues; events,"Golden Mile hotel with 131 rooms, beachfront restaurant, rooftop pool, gym, Wi-Fi and meeting/event venues.",https://the-edward-hotel.co.za/,+27 31 337 3681,https://www.instagram.com/edwardhotel.durban/,https://www.facebook.com/people/The-Edward-Hotel-Durban/61580606686374/,,https://the-edward-hotel.co.za/,The Edward Hotel official website,,,false,physical,,Check-in 14:00; check-out 11:00; gym daily 06:00-23:00,varies,,Source is the business's current official website/contact page with a public destination and street address; address-backed coordinates are added only by guarded staging geocoding.
