name,address,city,state_or_region,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,location_type,languages,hours,price_range,address_enrichment_note,notes
De Werf Farmstall Restaurant Weekend Market,"Intersection R304 and N7, Philadelphia Rd, Cape Farms",Cape Town,Western Cape,7304,South Africa,food,restaurant farmstall market,restaurant; farmstall; food market; pizza; convenience shop,"Farmstall, restaurant and weekend food market with on-site convenience shop.",https://dewerf.co.za/,+27 64 867 8578,,https://www.facebook.com/dewerffarmstalldestination/,https://www.instagram.com/dewerffarmstall/,https://dewerf.co.za/contact/,De Werf official contact page,,,false,physical,English,Farmstall daily 08:00-18:00; restaurant daily 08:00-16:00; market Sat-Sun 10:00-16:00,,,Source basis: official De Werf contact page confirms current destination and street address; address-backed coordinates are added only by guarded staging geocoding.
Pinocchio Crèche,"Opposite corner Hill and Main Road, Green Point",Cape Town,Western Cape,8005,South Africa,child care,early childhood education,crèche; daycare; pre-Grade R; Grade R; baby room; school readiness,Early childhood education and care for ages 0-6 with play-based curriculum and Grade R preparation.,https://www.pinocchiocreche.co.za/,+27 21 439 8124; +27 64 142 5432,,,,https://www.pinocchiocreche.co.za/,Pinocchio Crèche official website,,,true,physical,English,Monday-Friday; full day 07:00-17:25; half day 07:00-13:00,,,"Source basis: official Pinocchio website confirms current childcare destination, address and hours; address-backed coordinates are added only by guarded staging geocoding."
Dinas Day Care,"11th Street, Kensington",Cape Town,Western Cape,7405,South Africa,child care,day care early childhood development,daycare; early childhood development; baby care; preschool; coding class; little chefs,Day care and early childhood development for children aged 3 months to 5 years.,https://dinasgroup.co.za/,+27 87 265 3651,,,,https://dinasgroup.co.za/,Dinas Group official website,,,true,physical,English,Monday-Friday 07:00-17:00,,,"Source basis: official Dinas Group website confirms current day-care destination, address, ownership designation and hours; address-backed coordinates are added only by guarded staging geocoding."
Sassy Beauty Salon,"Shop 2, 1 Park Road, Durbanville",Cape Town,Western Cape,7550,South Africa,hair and beauty,beauty salon,gel nails; makeup; sugaring; skincare; facials; waxing; threading; eyelash extensions; microblading,"Beauty salon offering nail, skincare, hair-removal and cosmetic services.",https://sassybeautysalon.co.za/,+27 83 218 5650,,https://www.facebook.com/SassyBeautySalonSA,,https://sassybeautysalon.co.za/contact-us/,Sassy Beauty Salon official contact page,,,false,physical,English,,,,Source basis: official salon contact page confirms current destination and street address; address-backed coordinates are added only by guarded staging geocoding.
Aubergine Restaurant,"39 Barnet Street, Gardens",Cape Town,Western Cape,,South Africa,food,restaurant,fine dining; lunch; dinner; reservations,Cape Town restaurant with lunch and dinner service.,https://www.aubergine.co.za/,+27 21 465 0000,https://www.instagram.com/auberginecapetown/,http://www.facebook.com/auberginecapetown,,https://www.aubergine.co.za/contact/,Aubergine official contact page,,,false,physical,English,Lunch Thu-Fri 12:00-14:00; dinner Mon-Sat 18:00-22:00; closed Sunday,,,"Source basis: official Aubergine contact page confirms current restaurant destination, street address and hours; address-backed coordinates are added only by guarded staging geocoding."
Bay Harbour Market,"31 Harbour Road, Hout Bay",Cape Town,Western Cape,,South Africa,retail,market food and craft,food market; arts and crafts; jewellery; fashion; live music,"Working-harbour market with food, craft, fashion and live entertainment.",https://www.bayharbour.co.za/,,https://www.instagram.com/bayharbourmarket/,https://www.facebook.com/bayharbour,,https://www.bayharbour.co.za/,Bay Harbour Market official website,,,false,physical,English,Friday 09:30-21:00; Saturday-Sunday 09:30-17:00; public holidays 09:30-17:00,,,"Source basis: official market website confirms current destination, physical address and trading hours; address-backed coordinates are added only by guarded staging geocoding."
Groot Constantia,"Groot Constantia Road, Constantia",Cape Town,Western Cape,7806,South Africa,experiences,wine estate museum,wine tasting; visitors route; wine shop; museum; heritage site,"Provincial heritage wine estate and living museum offering tastings, visitor route, retail and food.",https://grootconstantia.co.za/,+27 21 794 5128,https://www.instagram.com/grootconstantia/,https://www.facebook.com/GrootConstantia/,,https://grootconstantia.co.za/experience-groot-constantia/,Groot Constantia official experience page,,,false,physical,English,Open daily; estate 10:00-17:00; wine shop 09:00-18:00,,,"Source basis: official estate experience page confirms current visitor destination, street address via directions and hours; address-backed coordinates are added only by guarded staging geocoding."
Claremont Dental Studio,"154 Belvedere Road, Claremont",Cape Town,Western Cape,,South Africa,health,dental clinic,general dentistry; pediatric dentistry; checkups; cleanings; dental hygiene,Dental studio with pediatric expertise and care for anxious adults.,https://www.claremontdental.co.za/,+27 21 683 1237; +27 76 705 8007,,,,https://www.claremontdental.co.za/dentists-and-childrens-dental-health/,Claremont Dental Studio official website,,,true,physical,English,Monday-Friday 08:30-16:00; Saturday 09:00-12:00,,,"Source basis: official dental website confirms current destination, street address, services and hours; address-backed coordinates are added only by guarded staging geocoding."
Dr Tooth,"35 Monte Vista Boulevard, Monte Vista",Cape Town,Western Cape,7460,South Africa,health,dental clinic,routine exams; dental hygiene; fillings; crowns; dentures; pediatric dentistry; root canals; implants,"Dental practice providing general, pediatric, restorative and aesthetic dentistry.",https://www.drtooth.co.za/,087 822 1959,https://www.instagram.com/drtoothsa/,https://www.facebook.com/drtoothsa,,https://www.drtooth.co.za/,Dr Tooth official website,,,true,physical,English,Monday-Friday 09:00-17:00; Saturday 09:00-13:00; Sundays and public holidays emergencies by appointment,,,"Source basis: official Dr Tooth website confirms current practice destination, street address, services and hours; address-backed coordinates are added only by guarded staging geocoding."
Cader & Co,"3 Belgravia Avenue, Lansdowne",Cape Town,Western Cape,7780,South Africa,legal,conveyancing and notarial practice,conveyancing; mortgage bonds; notarial practice; antenuptial contracts; construction law; sectional title,"Admitted legal practice offering conveyancing, notarial, property and construction-law services.",https://www.caderco.co.za/,+27 71 622 6229,,,,https://www.caderco.co.za/,Cader & Co official website,,,true,physical,English,,,,"Source basis: official Cader & Co website confirms current legal practice destination, street address and services; address-backed coordinates are added only by guarded staging geocoding."
