name,address,city,state_or_region,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,location_type,languages,hours,price_range,address_enrichment_note,notes
Smile Inn Dental,"#24 Mucurapo Road, St James",Port of Spain,Port of Spain,,Trinidad and Tobago,health/dental,dental clinic,Invisalign; general dentistry; cosmetic dentistry; children’s dentistry; oral surgery; emergencies,"Dental clinic providing general, cosmetic, pediatric and emergency dental services.",https://www.smileinndental.com/,+1 868 241-3688,https://www.instagram.com/smileinntt/,,https://www.tiktok.com/@smileinntt,https://www.smileinndental.com/,Smile Inn Dental,,,true,physical,English,Contact site for hours,,,Source is an official current website/public destination confirming the named organization and public street address; address-backed coordinates are added only by guarded staging geocoding.
International School of Port of Spain,"1 International Drive, Westmoorings",Port of Spain,Port of Spain,,Trinidad and Tobago,child care/education,international school,preschool; elementary; middle school; high school; IB education,Preschool–Grade 12 international school for ages 3–18.,https://isps.edu.tt/,+1 868 633-4777,https://www.instagram.com/ispstt/,https://www.facebook.com/ispstt/,,https://isps.edu.tt/,International School of Port of Spain,,,true,physical,English,Contact school calendar,,,Source is an official current website/public destination confirming the named organization and public street address; address-backed coordinates are added only by guarded staging geocoding.
Jessop & Associates,"3 Calcutta Street, St. James",Port of Spain,Port of Spain,,Trinidad and Tobago,legal/financial services,chartered accountants,accounting outsourcing; payroll; bookkeeping; VAT; tax; financial planning; business registration,Chartered accountants and financial and management consultants serving SMEs and beyond.,https://jessopglobal.com/jessop-associates-chartered-accountants/,+1 868 761-3043; +1 868 764-1106; +1 868 741-4182,,,,https://jessopglobal.com/jessop-associates-chartered-accountants/,Jessop & Associates,,,true,physical,English,Contact firm for hours,,,Source is an official current website/public destination confirming the named organization and public street address; address-backed coordinates are added only by guarded staging geocoding.
Grant Thornton ORBIT Solutions Limited,"Park Place, 17-20 Queen’s Park West",Port of Spain,Port of Spain,,Trinidad and Tobago,legal/financial services,accounting and advisory,assurance; advisory; business process outsourcing; tax; payroll; corporate secretarial; transaction advisory,"Professional services firm offering assurance, advisory, tax and outsourcing services.",https://www.grantthornton.tt/Contact/,+1 868 225-4125,https://www.instagram.com/grantthorntontt/,https://www.facebook.com/grantthornton.tt/,,https://www.grantthornton.tt/Contact/,Grant Thornton Trinidad and Tobago,,,true,physical,English,Contact firm for hours,,,Source is an official current website/public destination confirming the named organization and public street address; address-backed coordinates are added only by guarded staging geocoding.
Hamel-Smith (Trinidad),"#10-12 Sweet Briar Road, St. Clair",Port of Spain,Port of Spain,,Trinidad and Tobago,legal/financial services,law firm,business law; legal and related business solutions,Independent legal and related business solutions provider in the Caribbean.,https://trinidadlaw.com/contact/,+1 868 299-0981,,https://www.facebook.com/people/M-Hamel-Smith-Co/100069931433082/,,https://trinidadlaw.com/contact/,Hamel-Smith (Trinidad),,,true,physical,English,Contact firm for hours,,,Source is an official current website/public destination confirming the named organization and public street address; address-backed coordinates are added only by guarded staging geocoding.
WSP Trinidad and Tobago,Nos. 11-13 Victoria Avenue,Port of Spain,Port of Spain,,Trinidad and Tobago,B2B suppliers,engineering and professional services,engineering; infrastructure; professional services,WSP office providing engineering and professional services.,https://www.wsp.com/en-gl/contact-us/offices/trinidad-and-tobago/na/port-of-spain/001650,,,,,https://www.wsp.com/en-gl/contact-us/offices/trinidad-and-tobago/na/port-of-spain/001650,WSP,,,true,physical,English,Contact office for hours,,,Source is an official current website/public destination confirming the named organization and public street address; address-backed coordinates are added only by guarded staging geocoding.
Hilton Trinidad & Conference Centre,Lady Young Road,Port of Spain,Port of Spain,,Trinidad and Tobago,travel/hospitality,hotel and conference centre,hotel rooms; restaurant; pool; fitness; tennis; conference space; concierge,"Hotel and conference centre with restaurants, pool, fitness and meeting facilities.",https://www.hilton.com/en/hotels/poshihh-hilton-trinidad-and-conference-centre/,+1 868 624-3211,,,,https://www.hilton.com/en/hotels/poshihh-hilton-trinidad-and-conference-centre/,Hilton Trinidad & Conference Centre,,,false,physical,English,Check-in 3pm; check-out 12pm,$$$,,Source is an official current website/public destination confirming the named organization and public street address; address-backed coordinates are added only by guarded staging geocoding.
First Citizens Bank – Port of Spain (Independence),62 Independence Square,Port of Spain,Port of Spain,,Trinidad and Tobago,legal/financial services,bank branch,personal banking; commercial banking; ATM services,First Citizens banking branch in Port of Spain.,https://www.firstcitizensgroup.com/tt/mobile-banking-2/branch-locations/,+1 868 625-2893,,,,https://www.firstcitizensgroup.com/tt/mobile-banking-2/branch-locations/,First Citizens Bank,,,true,physical,English,Mon-Thu 8am-2pm; Fri 8am-1pm and 3pm-5pm,,,Source is an official current website/public destination confirming the named organization and public street address; address-backed coordinates are added only by guarded staging geocoding.
First Citizens Bank – Port of Spain (Maraval),44-46 Maraval Road,Port of Spain,Port of Spain,,Trinidad and Tobago,legal/financial services,bank branch,personal banking; commercial banking; ATM services,First Citizens banking branch in Port of Spain.,https://www.firstcitizensgroup.com/tt/mobile-banking-2/branch-locations/,+1 868 622-5839,,,,https://www.firstcitizensgroup.com/tt/mobile-banking-2/branch-locations/,First Citizens Bank,,,true,physical,English,Mon-Thu 8am-2pm; Fri 8am-1pm and 3pm-5pm,,,Source is an official current website/public destination confirming the named organization and public street address; address-backed coordinates are added only by guarded staging geocoding.
First Citizens Bank – Port of Spain (OWP),"One Woodbrook Place, 189 Tragarete Road",Port of Spain,Port of Spain,,Trinidad and Tobago,legal/financial services,bank branch,personal banking; commercial banking; ATM services,First Citizens banking branch in One Woodbrook Place.,https://www.firstcitizensgroup.com/tt/mobile-banking-2/branch-locations/,+1 868 622-7142,,,,https://www.firstcitizensgroup.com/tt/mobile-banking-2/branch-locations/,First Citizens Bank,,,true,physical,English,Mon-Thu 8am-2pm; Fri 8am-1pm and 3pm-5pm,,,Source is an official current website/public destination confirming the named organization and public street address; address-backed coordinates are added only by guarded staging geocoding.
First Citizens Bank – Port of Spain (Park Street),Corner Park and Henry Streets,Port of Spain,Port of Spain,,Trinidad and Tobago,legal/financial services,bank branch,personal banking; commercial banking; ATM services,First Citizens banking branch in central Port of Spain.,https://www.firstcitizensgroup.com/tt/mobile-banking-2/branch-locations/,+1 868 623-2961,,,,https://www.firstcitizensgroup.com/tt/mobile-banking-2/branch-locations/,First Citizens Bank,,,true,physical,English,Mon-Thu 8am-2pm; Fri 8am-1pm and 3pm-5pm,,,Source is an official current website/public destination confirming the named organization and public street address; address-backed coordinates are added only by guarded staging geocoding.
Republic Bank Head Office,9-17 Park Street,Port of Spain,Port of Spain,,Trinidad and Tobago,legal/financial services,bank head office,personal banking; commercial banking; corporate banking; loans; mortgages; investments,Republic Bank head office and financial services provider.,https://republictt.com/about/contact-us,+1 868 625-4411; +1 868 625-3617,https://www.instagram.com/republicbankofficial/,https://www.facebook.com/republicbanktnt/,,https://republictt.com/about/contact-us,Republic Bank,,,true,physical,English,Contact bank for hours,,,Source is an official current website/public destination confirming the named organization and public street address; address-backed coordinates are added only by guarded staging geocoding.
Republic Bank Credit Card Centre,87 Cipriani Boulevard,Port of Spain,Port of Spain,,Trinidad and Tobago,legal/financial services,financial services centre,credit card services; banking support,Republic Bank specialist credit card centre.,https://republictt.com/about/contact-us,+1 868 625-3617,,,,https://republictt.com/about/contact-us,Republic Bank,,,true,physical,English,Contact bank for hours,,,Source is an official current website/public destination confirming the named organization and public street address; address-backed coordinates are added only by guarded staging geocoding.
