name,address,city,state_or_region,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,location_type,languages,hours,price_range,address_enrichment_note,notes
ARTIS Amsterdam,Plantage Kerklaan 38-40,Amsterdam,North Holland,1018 CZ,Netherlands,experiences,zoo and museums,"zoo, museum, family activities","ARTIS Zoo, ARTIS-Micropia and ARTIS-Groote Museum.",https://www.artis.nl/en/plan-your-visit/,,https://www.instagram.com/artis.amsterdam/,https://www.facebook.com/Artis/,https://www.tiktok.com/@artisamsterdam,https://www.artis.nl/en/plan-your-visit/,ARTIS official visit page,,,false,physical,Dutch; English,Zoo daily 09:00-18:00; museums daily 10:00-17:00,€5-€35.50,,Current official website page confirms the named destination and public street address; address-backed coordinates are added only by guarded staging geocoding.
NEMO Science Museum,Oosterdok 2,Amsterdam,North Holland,1011 VX,Netherlands,experiences,science museum,"science museum, exhibitions, schools, youth groups","Interactive science museum with exhibitions, demonstrations and school/youth group visits.",https://www.nemosciencemuseum.nl/en/visit,+31 20 531 32 33,https://www.instagram.com/nemosciencemuseum,https://www.facebook.com/NEMOsciencemuseum/,https://www.tiktok.com/@nemosciencemuseum,https://www.nemosciencemuseum.nl/en/visit,NEMO official visit page,,,false,physical,Dutch; English,See official visit page for current opening schedule,Adults €75 museumkaart listing; standard ticket not exposed,,Current official website page confirms the named destination and public street address; address-backed coordinates are added only by guarded staging geocoding.
Rijksmuseum,Museumstraat 1,Amsterdam,North Holland,1071 XX,Netherlands,experiences,art museum,"Dutch art, history, museum, family activities","National museum of Dutch art and history with galleries, gardens, café and shop.",https://www.rijksmuseum.nl/en/visit,,,,,https://www.rijksmuseum.nl/en/visit/practical-info/opening-hours-and-prices,Rijksmuseum official visit/practical info,,,false,physical,Dutch; English,Daily 09:00-17:00,Adults €25; under 18 free,,Current official website page confirms the named destination and public street address; address-backed coordinates are added only by guarded staging geocoding.
Anne Frank House,Westermarkt 20,Amsterdam,North Holland,1016 DK,Netherlands,experiences,history museum,"Anne Frank, museum, education, audio tour",Museum and educational destination at the Anne Frank House.,https://www.annefrank.org/en/museum/practical-information/,,https://www.instagram.com/annefrankhouse_official/,https://www.facebook.com/annefrankhouse/,https://www.tiktok.com/@annefrankhouse,https://www.annefrank.org/en/museum/practical-information/,Anne Frank House official practical information,,,false,physical,Dutch; English; French; German; Hebrew; Italian; Japanese; Portuguese; Spanish,Ticketed visits; official page says average visit about one hour,Ticket price not exposed,,Current official website page confirms the named destination and public street address; address-backed coordinates are added only by guarded staging geocoding.
A'DAM LOOKOUT,IJpromenade 4,Amsterdam,North Holland,1031 KT,Netherlands,experiences,observation deck,"observation deck, swing, city views",Observation deck and swing experience in A DAM Tower.,https://www.adamlookout.com/plan-your-visit/,+31 (0)20 242 01 00,https://instagram.com/adamlookout,https://facebook.com/adamlookout,https://www.tiktok.com/@adamlookout,https://www.adamlookout.com/plan-your-visit/,A DAM LOOKOUT official plan-your-visit page,,,false,physical,Dutch; English; German; French; Spanish; Italian,Daily 10:00-22:00; last admission 21:00,Tickets €16.50,,Current official website page confirms the named destination and public street address; address-backed coordinates are added only by guarded staging geocoding.
Middl.Eat Amsterdam,Reguliersdwarsstraat 21,Amsterdam,North Holland,1017 BJ,Netherlands,food/groceries,restaurant,"Mediterranean, Middle Eastern, halal, charcoal grill, vegan, café, bar","Mediterranean and Middle Eastern charcoal-grill restaurant with café, bar, shisha lounge and private events.",https://middleat.nl/,+31 20 845 8144,https://www.instagram.com/middl.eat/,https://www.facebook.com/Middl.Eat.Nl,https://www.tiktok.com/@middl.eat,https://middleat.nl/,Middl.Eat official website,,,false,physical,Dutch; English,Mon-Thu 16:00-01:00; Fri-Sat 14:00-03:00; Sun 14:00-01:00,Menu prices not fully summarized,,Current official website page confirms the named destination and public street address; address-backed coordinates are added only by guarded staging geocoding.
Maya Restaurant,Reguliersdwarsstraat 86,Amsterdam,North Holland,1017 BN,Netherlands,food/groceries,Indian restaurant,"Indian food, halal, takeaway, delivery, catering","North Indian restaurant offering dine-in, pickup, home delivery and catering.",https://mayarestaurant.nl/,+31 (0)6 53711530,,,,https://mayarestaurant.nl/,Maya Restaurant official website,,,false,physical,English; Dutch not specified,Daily 16:00-23:00; website notes temporary closure for kitchen renovation for a few days,Menu examples €3.95-€26.95,,Current official website page confirms the named destination and public street address; address-backed coordinates are added only by guarded staging geocoding.
Corner Bakery Amsterdam Oud-Zuid,Johannes Vermeerstraat 40,Amsterdam,North Holland,1071 DS,Netherlands,food/groceries,bakery and café,"bakery, café, breakfast, lunch, reservations",Bakery/café location in Amsterdam Oud-Zuid.,https://cornerbakeryamsterdam.com/contact/,,https://www.instagram.com/cornerbakeryamsterdam/,https://www.facebook.com/CornerBakeryAmsterdam/,,https://cornerbakeryamsterdam.com/contact/,Corner Bakery official locations page,,,false,physical,Dutch; English not specified,Mon-Fri 09:00-16:00; Sat-Sun 09:00-17:00,Menu prices not exposed,,Current official website page confirms the named destination and public street address; address-backed coordinates are added only by guarded staging geocoding.
Corner Bakery Amsterdam Nieuw-West,Kon. Wilhelminaplein 60-62,Amsterdam,North Holland,1062 KS,Netherlands,food/groceries,bakery and café,"bakery, café, breakfast, lunch, reservations",Bakery/café location in Amsterdam Nieuw-West.,https://cornerbakeryamsterdam.com/contact/,,https://www.instagram.com/cornerbakeryamsterdam/,https://www.facebook.com/CornerBakeryAmsterdam/,,https://cornerbakeryamsterdam.com/contact/,Corner Bakery official locations page,,,false,physical,Dutch; English not specified,Mon-Fri 10:00-15:00; Sat-Sun 10:00-16:00,Menu prices not exposed,,Current official website page confirms the named destination and public street address; address-backed coordinates are added only by guarded staging geocoding.
Gebroeders Niemeijer,Nieuwendijk 35,Amsterdam,North Holland,1012 MA,Netherlands,food/groceries,artisan bakery,"French bakery, bread, pastries, breakfast, lunch, orders","Artisanal French bakery with breads, pastries, breakfast and lunch kitchen.",https://www.gebroedersniemeijer.nl/en/,+31 (0)20 707 6752,,,,https://www.gebroedersniemeijer.nl/en/,Gebroeders Niemeijer official website,,,false,physical,Dutch; English; French not specified,"Bakery Tue-Fri 08:15-17:00, Sat 08:30-17:00, Sun 09:00-17:00; closed Mon",Examples €2.75-€6.95,,Current official website page confirms the named destination and public street address; address-backed coordinates are added only by guarded staging geocoding.
