name,address,city,state_or_region,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,location_type,languages,hours,price_range,address_enrichment_note,notes
"Vij’s Restaurant","3106 Cambie St","Vancouver","BC","V5Z 2W2","Canada","food","Indian restaurant","Indian cuisine; patio; private dining; takeout","Indian restaurant with patio, private dining room and takeout ordering.","https://www.vijs.ca/","604-736-6664","https://www.instagram.com/vijsrestaurant/","https://www.facebook.com/VijsRestaurant","","https://www.vijs.ca/","Official business website","","","false","physical","","Daily from 5:30 p.m.","$$$","","Official website confirms current destination, street address, phone, services and daily opening; address-backed coordinates are added only by guarded staging geocoding."
"Persia Foods","2827 W Broadway","Vancouver","BC","","Canada","food/groceries","Persian and international grocery","groceries; affordable groceries; Persian foods","Grocery market listing a Vancouver West Broadway location.","http://www.persiafoods.ca/","778-826-1036","","","","http://www.persiafoods.ca/locations","Official business locations page","","","false","physical","","Monday-Saturday 9am-9pm; Sunday 10am-8pm","$","","Official locations page confirms current Vancouver street address, grocery positioning, phone and hours; address-backed coordinates are added only by guarded staging geocoding."
"Persia Foods","1730 Commercial Dr","Vancouver","BC","","Canada","food/groceries","Persian and international grocery","groceries; affordable groceries; Persian foods","Grocery market listing a Vancouver Commercial Drive location.","http://www.persiafoods.ca/","778-826-1036","","","","http://www.persiafoods.ca/locations","Official business locations page","","","false","physical","","Monday-Saturday 9am-9pm; Sunday 10am-8pm","$","","Official locations page confirms current Vancouver street address, grocery positioning, phone and hours; address-backed coordinates are added only by guarded staging geocoding."
"Persia Foods","6437 Main St","Vancouver","BC","","Canada","food/groceries","Persian and international grocery","groceries; affordable groceries; Persian foods","Grocery market listing a Vancouver Main Street location.","http://www.persiafoods.ca/","778-826-1036","","","","http://www.persiafoods.ca/locations","Official business locations page","","","false","physical","","Monday-Saturday 9am-9pm; Sunday 10am-8pm","$","","Official locations page confirms current Vancouver street address, grocery positioning, phone and hours; address-backed coordinates are added only by guarded staging geocoding."
"Vancouver Aboriginal Health Society Dental Clinic","455 East Hastings St","Vancouver","BC","V6A 1P5","Canada","health/dental","dental clinic","preventative dental; urgent dental; exams; cleanings; fillings; root canals; extractions","Community dental clinic providing preventative and urgent dental services, screenings, hygiene and restorative treatments.","https://www.vahs.life/dental-clinic","604-254-9900","https://www.instagram.com/vanaboriginal","https://www.facebook.com/vanabhealthsociety/","","https://www.vahs.life/dental-clinic","Official clinic page","Self-identified Indigenous-serving organization","https://www.vahs.life/dental-clinic","true","physical","","Monday-Friday 9am-4pm; closed weekends and holidays","$","","Official clinic page confirms current destination, street address, services, phone and hours; identity designation is self-described by organization; address-backed coordinates are added only by guarded staging geocoding."
"Muse Hair & Beauty Salon","3020 Cambie St","Vancouver","BC","V5Z 2V9","Canada","hair/beauty","hair and beauty salon","hair services; digital perm; balayage; Japanese straightening; spa services","Hair and beauty salon offering hair services, spa services and organic skincare products.","https://musesalon.ca/","604-876-5580","https://www.instagram.com/musesalonvancouver/","https://www.facebook.com/Muse-Salon-Vancouver-102276765324756","https://www.tiktok.com/@musesalon604","https://musesalon.ca/pages/contact-us","Official salon contact page","","","false","physical","","","$$","","Official contact page confirms current destination, street address, phone, services and official social destinations; address-backed coordinates are added only by guarded staging geocoding."
"Poppy Hair Salon","2686 W 4th Ave","Vancouver","BC","V6K 1P7","Canada","hair/beauty","hair salon","haircuts; colouring; styling; treatments","Kitsilano hair salon offering haircuts, colouring, styling and treatments.","https://www.poppyhairsalonvancouver.ca/","604-568-4960","https://www.instagram.com/poppyhairandbeauty/","https://www.facebook.com/PoppyHairBoutique","","https://www.poppyhairsalonvancouver.ca/","Official salon website","","","false","physical","","Mon 10am-5pm; Tue 9am-6pm; Wed-Fri 9am-8pm; Sat 9am-5pm; Sun 10am-5pm","$$","","Official website confirms current destination, street address, phone, services, hours and official social destinations; address-backed coordinates are added only by guarded staging geocoding."
"LURE Salon","840 Howe Street","Vancouver","BC","V6Z 2L2","Canada","hair/beauty","luxury hair and beauty salon","haircuts; colour; makeup artistry","Downtown luxury hair and beauty salon offering expert cuts, colour and bespoke makeup artistry.","https://luresalon.ca/","604-669-5873","https://www.instagram.com/lurevancouver/","http://www.facebook.com/pages/LURE-Salon/22209855436","","https://luresalon.ca/","Official salon website","","","false","physical","","","$$$$","","Official website confirms current destination, street address, phone, services and official social destinations; address-backed coordinates are added only by guarded staging geocoding."
"Fasken","550 Burrard Street, Suite 2900","Vancouver","BC","V6C 0A3","Canada","legal/financial services","business law firm","business law; litigation; regulatory matters","Business law firm providing business law, litigation and regulatory advice.","https://www.fasken.com/en/offices/vancouver","604-631-3131","","https://www.facebook.com/154446131283771/","","https://www.fasken.com/en/offices/vancouver","Official Vancouver office page","","","true","physical","","","$$$$","","Official office page confirms current destination, street address, phone and legal services; address-backed coordinates are added only by guarded staging geocoding."
"Pioneer Plumbing & Heating Inc","626 Kingsway","Vancouver","BC","V5T 3K4","Canada","trades","plumbing heating and cooling contractor","plumbing; heating; cooling; hot water; drain cleaning; gas fitting","Licensed and insured plumbing, heating and cooling contractor serving residential and commercial clients.","https://www.pioneerplumbing.com/","604-872-4946","https://www.instagram.com/pioneerplumbing_hvac/?hl=en","https://facebook.com/PioneerPlumbing","","https://www.pioneerplumbing.com/","Official contractor website","","","true","physical","","Office weekdays 8am-5pm; 24-hour emergency service","$$$","","Official website confirms current destination, street address, phone, licensed services, hours and official social destinations; address-backed coordinates are added only by guarded staging geocoding."
