name,address,city,state_or_region,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,location_type,languages,hours,price_range,address_enrichment_note,notes
Nest Lagos,"12, Samuel Manuwa Street, Victoria Island, Lagos",Lagos,Lagos,,Nigeria,food,restaurant,"Afro-fusion, African classics, continental cuisine, catering","Afro-fusion restaurant with African classics, continental dishes, drinks and catering.",https://nestlagos.com/,+234 916 000 9016,https://www.instagram.com/nestlagos/,https://www.facebook.com/nestlagos,,https://nestlagos.com/,Official website,,,false,physical,English,,,,Source is the official destination named in source_url and confirms a current public street address; address-backed coordinates are added only by guarded staging geocoding.
R.S.V.P.,"9 Eletu Ogabi Street, Victoria Island, Lagos",Lagos,Lagos,,Nigeria,food,restaurant and bar,"New American restaurant, bar, lounge, poolside, private events","New American restaurant and bar with lounge, poolside and private-event facilities.",https://rsvplagos.com/,+234 818 616 6666,https://www.instagram.com/rsvplagos/,https://www.facebook.com/Rsvplagos,,https://rsvplagos.com/,Official website,,,false,physical,English,Monday-Sunday 11am until late,upscale casual,,Source is the official destination named in source_url and confirms a current public street address; address-backed coordinates are added only by guarded staging geocoding.
Blenco Lekki,"Lekki-Epe Expressway, Ilasan B/S, Lekki, Lagos",Lagos,Lagos,,Nigeria,retail,supermarket,"groceries, fresh produce, meat, bakery, wine, loyalty programme","Supermarket offering groceries, fresh produce, premium meats, bakery items, wine and shopping rewards.",https://blenco.ng/,,,,,https://blenco.ng/,Official website,,,false,physical,English,,,,Source is the official destination named in source_url and confirms a current public street address; address-backed coordinates are added only by guarded staging geocoding.
Blenco Ajah,"No. 53 Addo Road, Ajah, Lagos",Lagos,Lagos,,Nigeria,retail,supermarket,"groceries, fresh produce, meat, bakery, wine, loyalty programme","Supermarket offering groceries, fresh produce, premium meats, bakery items, wine and shopping rewards.",https://blenco.ng/,,,,,https://blenco.ng/,Official website,,,false,physical,English,,,,Source is the official destination named in source_url and confirms a current public street address; address-backed coordinates are added only by guarded staging geocoding.
Blenco Sangotedo,"KM 43 Lekki-Epe Expressway, Sangotedo, Lagos",Lagos,Lagos,,Nigeria,retail,supermarket,"groceries, fresh produce, meat, bakery, wine, loyalty programme","Supermarket offering groceries, fresh produce, premium meats, bakery items, wine and shopping rewards.",https://blenco.ng/,,,,,https://blenco.ng/,Official website,,,false,physical,English,,,,Source is the official destination named in source_url and confirms a current public street address; address-backed coordinates are added only by guarded staging geocoding.
Blenco Egbeda/Akowonjo,"No. 40 Shasha Road, Akowonjo, Lagos",Lagos,Lagos,,Nigeria,retail,supermarket,"groceries, fresh produce, meat, bakery, wine, loyalty programme","Supermarket offering groceries, fresh produce, premium meats, bakery items, wine and shopping rewards.",https://blenco.ng/,,,,,https://blenco.ng/,Official website,,,false,physical,English,,,,Source is the official destination named in source_url and confirms a current public street address; address-backed coordinates are added only by guarded staging geocoding.
Blenco Abule-Egba,"No. 75/76 Ekoro Road, Abule-Egba, Lagos",Lagos,Lagos,,Nigeria,retail,supermarket,"groceries, fresh produce, meat, bakery, wine, loyalty programme","Supermarket offering groceries, fresh produce, premium meats, bakery items, wine and shopping rewards.",https://blenco.ng/,,,,,https://blenco.ng/,Official website,,,false,physical,English,,,,Source is the official destination named in source_url and confirms a current public street address; address-backed coordinates are added only by guarded staging geocoding.
Blenco Eputu,"Lekki-Epe Expressway, Eputu, Lagos",Lagos,Lagos,,Nigeria,retail,supermarket,"groceries, fresh produce, meat, bakery, wine, loyalty programme","Supermarket offering groceries, fresh produce, premium meats, bakery items, wine and shopping rewards.",https://blenco.ng/,,,,,https://blenco.ng/,Official website,,,false,physical,English,,,,Source is the official destination named in source_url and confirms a current public street address; address-backed coordinates are added only by guarded staging geocoding.
Eko Hotel,"Plot 1415 Adetokunbo Ademola Street, Victoria Island, Lagos",Lagos,Lagos,,Nigeria,housing,hotel,"hotel accommodation, dining, meetings, events","Hotel with accommodation, dining and event services.",https://www.ekohotels.com/contact.php,+234 909 277 2700; +234 809 277 2700,https://www.instagram.com/ekohotels/,https://www.facebook.com/EkoHotels/,,https://www.ekohotels.com/contact.php,Official website,,,false,physical,English,,premium,,Source is the official destination named in source_url and confirms a current public street address; address-backed coordinates are added only by guarded staging geocoding.
Lagos Oriental Hotel,"3 Lekki Road, Victoria Island, Lagos",Lagos,Lagos,,Nigeria,housing,hotel,"hotel accommodation, rooms, suites, dining, meetings, events","Hotel offering rooms and suites, dining, meetings and events.",http://www.lagosoriental.com/ContactUs.html,+234 201 280 6600-5; +234 702 696 0065,,https://www.facebook.com/lagosorientalhotel,,http://www.lagosoriental.com/ContactUs.html,Official website,,,false,physical,English,,,,Source is the official destination named in source_url and confirms a current public street address; address-backed coordinates are added only by guarded staging geocoding.
