id,name,city,state,listing_status,status,category,subcategory,address,website,phone,latitude,longitude,created_date
80da276d-923b-44b7-bec9-c83bcf5697f0,Abington Black Law Group,Abington,PA,live_unclaimed,active,Professional Services,Family Law / Estate Attorney,1200 Edge Hill Rd Suite 201,,,40.119800,-75.120100,Tue Aug 11 2026 00:00:00 GMT+0000 (Coordinated Universal Time)
31cda334-9b42-4cce-b0cb-7d3d0a01d983,Abington Dental Associates — Diverse Community,Abington,PA,live_unclaimed,active,Health & Wellness,Dental,1200 Old York Rd,,,40.121200,-75.118100,Tue Aug 11 2026 00:00:00 GMT+0000 (Coordinated Universal Time)
0dd5c471-0839-48ca-b14d-552178686133,Abington Mental Health — BIPOC Affirming,Abington,PA,live_unclaimed,active,Health & Wellness,Mental Health Counseling,1011 Old York Rd Suite 201,,,40.118900,-75.119800,Tue Aug 11 2026 00:00:00 GMT+0000 (Coordinated Universal Time)
8cf8eeb7-d1bc-49ec-b29c-4ac0a2185e63,AnBrea's Beauty Salon,Abington,PA,live_unclaimed,active,Beauty & Personal Care,Black Hair Salon,"Abington, PA 19001",,,40.125700,-75.126200,Wed Aug 12 2026 00:00:00 GMT+0000 (Coordinated Universal Time)
61ec2bfc-06f0-42eb-ae71-b03b2c63664f,StyleAndBeauty Bar,Abington,PA,live_unclaimed,active,Beauty & Personal Care,Salon & Beauty Supply,"Abington, PA 19001",,,40.125700,-75.126200,Wed Aug 12 2026 00:00:00 GMT+0000 (Coordinated Universal Time)
5fac20af-1d38-484c-8cc8-0d8957dcf478,Alfred Street Baptist Church,Alexandria,VA,live_unclaimed,active,Faith & Spirituality,Baptist,301 S Alfred St,,,38.804900,-77.055800,Mon Aug 10 2026 00:00:00 GMT+0000 (Coordinated Universal Time)
e69d6b41-115a-4b89-9ac2-c4ee90a07687,Raymon Frazier CPA — Tax & Accounting,Alexandria,VA,live_unclaimed,active,Professional Services,CPA & Accounting,2800 Eisenhower Ave,,,38.824000,-77.071900,Mon Aug 10 2026 00:00:00 GMT+0000 (Coordinated Universal Time)
3d88b763-a470-42ea-9c95-459ae35ab11b,7th Street Community Childcare,Allentown,PA,live_unclaimed,active,Childcare & Early Education,Bilingual Daycare,921 N 7th St,,,40.612500,-75.483600,Tue Aug 11 2026 00:00:00 GMT+0000 (Coordinated Universal Time)
01d9601f-7185-4b3d-8c03-cb54944a4d4b,7th Street Community Dental — Allentown,Allentown,PA,live_unclaimed,active,Health & Wellness,Dental,830 N 7th St,,,40.612100,-75.483200,Tue Aug 11 2026 00:00:00 GMT+0000 (Coordinated Universal Time)
6edb7620-4c3f-490b-a878-d4415967786f,Allentown Arabic Dental Care,Allentown,PA,live_unclaimed,active,Health & Wellness,Dental,2218 W Tilghman St,,,40.596800,-75.512100,Tue Aug 11 2026 00:00:00 GMT+0000 (Coordinated Universal Time)
7b40098b-0fff-48cd-aee2-8e799b3327e9,Allentown Criminal Defense — Black & Latino Community,Allentown,PA,live_unclaimed,active,Professional Services,Criminal Defense Attorney,555 Hamilton St Suite 700,,,40.604800,-75.485500,Tue Aug 11 2026 00:00:00 GMT+0000 (Coordinated Universal Time)
8caf2b6a-ecbd-493d-addf-6ce1762b35be,Allentown Immigration Law — Puerto Rican Community,Allentown,PA,live_unclaimed,active,Professional Services,Immigration / Family Law Attorney,702 Hamilton St Suite 300,,,40.605400,-75.484300,Tue Aug 11 2026 00:00:00 GMT+0000 (Coordinated Universal Time)
9aa21ec3-545b-4331-b1d4-83a9a2e8824c,Allentown Latino Auto Repair,Allentown,PA,live_unclaimed,active,Professional Services,Auto Repair,1012 N 7th St,,,40.613300,-75.483500,Tue Aug 11 2026 00:00:00 GMT+0000 (Coordinated Universal Time)
21f5ea69-f44c-4048-a136-d667ee11a25a,Allentown Latino Plumbing,Allentown,PA,live_unclaimed,active,Professional Services,Plumbing,1118 N 7th St,,,40.613800,-75.483400,Tue Aug 11 2026 00:00:00 GMT+0000 (Coordinated Universal Time)
0b477fe8-dafc-44a4-a8b4-85dc945601b7,Allentown Social — Live Music Bar,Allentown,PA,live_unclaimed,active,Entertainment & Recreation,Bar / Live Music,802 Hamilton St,,,40.605800,-75.483600,Tue Aug 11 2026 00:00:00 GMT+0000 (Coordinated Universal Time)
47f0c440-2c0d-43ba-b235-89f00d125654,Ayat,Allentown,PA,live_unclaimed,active,Food,Middle Eastern,"1243 W Tilghman Street, Allentown, PA 18102",,,40.608400,-75.490200,Sat Aug 08 2026 00:00:00 GMT+0000 (Coordinated Universal Time)
